model,case_id,layer,strategy,lambda,finite_effect_norm
qwen2_5_vl_7b,qwen2_5_vl_7b:113058:76:7,7,deterministic_random_region,0.25,2.0011146068573
qwen2_5_vl_7b,qwen2_5_vl_7b:113058:76:7,7,deterministic_random_region,0.5,2.0732271671295166
qwen2_5_vl_7b,qwen2_5_vl_7b:113058:76:7,7,deterministic_random_region,0.75,2.146144151687622
qwen2_5_vl_7b,qwen2_5_vl_7b:113058:76:7,7,deterministic_random_region,1.0,2.2197861671447754
qwen2_5_vl_7b,qwen2_5_vl_7b:113058:76:7,7,deterministic_random_region,1.25,2.2940828800201416
qwen2_5_vl_7b,qwen2_5_vl_7b:115823:113:21,21,highest_p_ffn_token,0.0,3.03043794631958
qwen2_5_vl_7b,qwen2_5_vl_7b:115823:113:21,21,highest_p_ffn_token,0.25,3.5646231174468994
qwen2_5_vl_7b,qwen2_5_vl_7b:115823:113:21,21,highest_p_ffn_token,0.5,4.128998756408691
qwen2_5_vl_7b,qwen2_5_vl_7b:115823:113:21,21,highest_p_ffn_token,0.75,4.711785793304443
qwen2_5_vl_7b,qwen2_5_vl_7b:115823:113:21,21,highest_p_ffn_token,1.0,5.306114196777344
qwen2_5_vl_7b,qwen2_5_vl_7b:115823:113:21,21,highest_p_ffn_token,1.25,5.907822608947754
qwen2_5_vl_7b,qwen2_5_vl_7b:115823:113:21,21,highest_8_region,0.0,1.4088236093521118
qwen2_5_vl_7b,qwen2_5_vl_7b:115823:113:21,21,highest_8_region,0.25,2.2260336875915527
qwen2_5_vl_7b,qwen2_5_vl_7b:115823:113:21,21,highest_8_region,0.5,3.216057538986206
qwen2_5_vl_7b,qwen2_5_vl_7b:115823:113:21,21,highest_8_region,0.75,4.253654956817627
qwen2_5_vl_7b,qwen2_5_vl_7b:115823:113:21,21,highest_8_region,1.0,5.306114196777344
qwen2_5_vl_7b,qwen2_5_vl_7b:115823:113:21,21,highest_8_region,1.25,6.3622355461120605
qwen2_5_vl_7b,qwen2_5_vl_7b:115823:113:21,21,deterministic_random_region,0.0,5.275129795074463
qwen2_5_vl_7b,qwen2_5_vl_7b:115823:113:21,21,deterministic_random_region,0.25,5.282564163208008
qwen2_5_vl_7b,qwen2_5_vl_7b:115823:113:21,21,deterministic_random_region,0.5,5.2902069091796875
qwen2_5_vl_7b,qwen2_5_vl_7b:115823:113:21,21,deterministic_random_region,0.75,5.298058032989502
qwen2_5_vl_7b,qwen2_5_vl_7b:115823:113:21,21,deterministic_random_region,1.0,5.306114196777344
qwen2_5_vl_7b,qwen2_5_vl_7b:115823:113:21,21,deterministic_random_region,1.25,5.314375400543213
qwen2_5_vl_7b,qwen2_5_vl_7b:120777:142:7,7,highest_p_ffn_token,0.0,0.6627609729766846
qwen2_5_vl_7b,qwen2_5_vl_7b:120777:142:7,7,highest_p_ffn_token,0.25,0.6724345088005066
qwen2_5_vl_7b,qwen2_5_vl_7b:120777:142:7,7,highest_p_ffn_token,0.5,0.6823147535324097
qwen2_5_vl_7b,qwen2_5_vl_7b:120777:142:7,7,highest_p_ffn_token,0.75,0.6923931241035461
qwen2_5_vl_7b,qwen2_5_vl_7b:120777:142:7,7,highest_p_ffn_token,1.0,0.7026597857475281
qwen2_5_vl_7b,qwen2_5_vl_7b:120777:142:7,7,highest_p_ffn_token,1.25,0.7131083011627197
qwen2_5_vl_7b,qwen2_5_vl_7b:120777:142:7,7,highest_8_region,0.0,0.4936518967151642
qwen2_5_vl_7b,qwen2_5_vl_7b:120777:142:7,7,highest_8_region,0.25,0.5448537468910217
qwen2_5_vl_7b,qwen2_5_vl_7b:120777:142:7,7,highest_8_region,0.5,0.5968794822692871
qwen2_5_vl_7b,qwen2_5_vl_7b:120777:142:7,7,highest_8_region,0.75,0.649528443813324
qwen2_5_vl_7b,qwen2_5_vl_7b:120777:142:7,7,highest_8_region,1.0,0.7026597857475281
qwen2_5_vl_7b,qwen2_5_vl_7b:120777:142:7,7,highest_8_region,1.25,0.7561696767807007
