feature_set,seed,threshold_rule,auroc,real_aupr,hall_aupr,precision,recall,f1,decision_threshold
A,43,fixed_0.5,0.8278776718277613,0.9731339600020346,0.3839697467583593,0.9156994502138057,0.9677211103938025,0.9409918392969241,0.5
A,43,train_f1,0.8278776718277613,0.9731339600020346,0.3839697467583593,0.9173349784083898,0.959974176888315,0.9381703470031546,0.5292660593986511
A,44,fixed_0.5,0.8219969167486869,0.9743639045548435,0.39616642153027526,0.9246968730057434,0.9354422207876049,0.9300385109114249,0.5
A,44,train_f1,0.8219969167486869,0.9743639045548435,0.39616642153027526,0.9209707529558183,0.9554551323434474,0.9378960709759189,0.4387143552303314
A,45,fixed_0.5,0.820315945065916,0.9735821851612789,0.3875595847406307,0.9308996088657105,0.921885087153002,0.9263704184236133,0.5
A,45,train_f1,0.820315945065916,0.9735821851612789,0.3875595847406307,0.9237074401008827,0.9457714654615881,0.9346092503987241,0.4386212229728699
B,43,fixed_0.5,0.7815407084422525,0.9655222437242501,0.3254413316798685,0.9020527859237537,0.9928986442866365,0.9452980946527351,0.5
B,43,train_f1,0.7815407084422525,0.9655222437242501,0.3254413316798685,0.9060083283759667,0.9832149774047773,0.9430340557275542,0.5960018634796143
B,44,fixed_0.5,0.7728730328398015,0.9636088058593563,0.3275883772442815,0.9025249559600704,0.9922530664945126,0.9452644526445264,0.5
B,44,train_f1,0.7728730328398015,0.9636088058593563,0.3275883772442815,0.9070875521143538,0.9832149774047773,0.9436183395291202,0.6072036623954773
B,45,fixed_0.5,0.7834456920911429,0.9664621887838649,0.3277684275212326,0.9038348082595871,0.9890251775338929,0.9445129469790382,0.5
B,45,train_f1,0.7834456920911429,0.9664621887838649,0.3277684275212326,0.9013505578391074,0.9909619109102646,0.9440344403444034,0.45113512873649597
F,43,fixed_0.5,0.8671062240049106,0.9818115497734486,0.41931155219043076,0.903112155020552,0.9928986442866365,0.9458794587945879,0.5
F,43,train_f1,0.8671062240049106,0.9818115497734486,0.41931155219043076,0.9117824773413897,0.974176888315042,0.9419475655430711,0.5388975143432617
F,44,fixed_0.5,0.8674484155122113,0.9816492728555319,0.4117871938007588,0.9024103468547913,0.9909619109102646,0.9446153846153846,0.5
F,44,train_f1,0.8674484155122113,0.9816492728555319,0.4117871938007588,0.9062126642771804,0.9793415106520336,0.9413589823146137,0.5357263684272766
