model,label,layer,n,mean,median,q25,q75
qwen2_5_vl_7b,HALL,1,916,0.26718196272850037,0.2695605754852295,0.23354512453079224,0.29919329285621643
qwen2_5_vl_7b,HALL,2,916,0.23231109976768494,0.23008011281490326,0.20191699266433716,0.26316457986831665
qwen2_5_vl_7b,HALL,3,916,0.17040076851844788,0.168386772274971,0.14835944771766663,0.18896403908729553
qwen2_5_vl_7b,HALL,4,916,0.1681070625782013,0.1641654372215271,0.1436621993780136,0.18842655420303345
qwen2_5_vl_7b,HALL,5,916,0.14825765788555145,0.14480459690093994,0.12757429480552673,0.16539517045021057
qwen2_5_vl_7b,HALL,6,916,0.12200431525707245,0.11544837057590485,0.09920133650302887,0.13851740956306458
qwen2_5_vl_7b,HALL,7,916,0.11599759012460709,0.11320249736309052,0.09836442023515701,0.13070622086524963
qwen2_5_vl_7b,HALL,8,916,0.0989118367433548,0.0936412662267685,0.08191705495119095,0.11168576031923294
qwen2_5_vl_7b,HALL,9,916,0.11943996697664261,0.10903985798358917,0.09054838120937347,0.13816899061203003
qwen2_5_vl_7b,HALL,10,916,0.20121906697750092,0.19690681993961334,0.15341758728027344,0.24574556946754456
qwen2_5_vl_7b,HALL,11,916,0.12349751591682434,0.11964651942253113,0.10402604192495346,0.1389276534318924
qwen2_5_vl_7b,HALL,12,916,0.12521034479141235,0.11985202878713608,0.10128741711378098,0.14252869784832
qwen2_5_vl_7b,HALL,13,916,0.13731466233730316,0.13123776018619537,0.11150673031806946,0.15666384994983673
qwen2_5_vl_7b,HALL,14,916,0.1295614093542099,0.1234091967344284,0.10511916875839233,0.14387549459934235
qwen2_5_vl_7b,HALL,15,916,0.18473480641841888,0.17328760027885437,0.14145919680595398,0.21836550533771515
qwen2_5_vl_7b,HALL,16,916,0.16648229956626892,0.16243526339530945,0.13514181971549988,0.1917271465063095
qwen2_5_vl_7b,HALL,17,916,0.16820088028907776,0.15888437628746033,0.12748640775680542,0.19589738547801971
qwen2_5_vl_7b,HALL,18,916,0.1790284961462021,0.17221084237098694,0.14456745982170105,0.20734691619873047
qwen2_5_vl_7b,HALL,19,916,0.1512460857629776,0.14053139090538025,0.11596545577049255,0.17686907947063446
qwen2_5_vl_7b,HALL,20,916,0.1911810040473938,0.18799957633018494,0.1505630612373352,0.22566966712474823
qwen2_5_vl_7b,HALL,21,916,0.19089563190937042,0.18434473872184753,0.15010352432727814,0.22109875082969666
qwen2_5_vl_7b,HALL,22,916,0.27069395780563354,0.2707327604293823,0.22050489485263824,0.3192552626132965
qwen2_5_vl_7b,HALL,23,916,0.2544313669204712,0.24635553359985352,0.19106078147888184,0.30968794226646423
qwen2_5_vl_7b,HALL,24,916,0.2975541055202484,0.29472455382347107,0.22733020782470703,0.3674827814102173
qwen2_5_vl_7b,HALL,25,916,0.21830709278583527,0.20816996693611145,0.16549856960773468,0.2624815106391907
qwen2_5_vl_7b,HALL,26,916,0.22019603848457336,0.2118718922138214,0.17085306346416473,0.25807076692581177
qwen2_5_vl_7b,HALL,27,916,0.31474411487579346,0.31572967767715454,0.24588678777217865,0.3763822913169861
qwen2_5_vl_7b,HALL,28,916,0.4664144515991211,0.4826467037200928,0.37351006269454956,0.5625494122505188
qwen2_5_vl_7b,REAL,1,7801,0.24320434033870697,0.24230697751045227,0.20954594016075134,0.2751729190349579
qwen2_5_vl_7b,REAL,2,7801,0.21975897252559662,0.21773302555084229,0.1901407092809677,0.24788954854011536
qwen2_5_vl_7b,REAL,3,7801,0.1710474044084549,0.16930285096168518,0.15030039846897125,0.19050011038780212
qwen2_5_vl_7b,REAL,4,7801,0.17058610916137695,0.16647399961948395,0.14405220746994019,0.19236670434474945
qwen2_5_vl_7b,REAL,5,7801,0.1561346799135208,0.15192903578281403,0.13260766863822937,0.17429938912391663
qwen2_5_vl_7b,REAL,6,7801,0.12735985219478607,0.12412998080253601,0.10587099939584732,0.14503754675388336
qwen2_5_vl_7b,REAL,7,7801,0.11255481094121933,0.11069389432668686,0.09626184403896332,0.12655164301395416
qwen2_5_vl_7b,REAL,8,7801,0.10137000679969788,0.096058189868927,0.08139736950397491,0.11583448201417923
qwen2_5_vl_7b,REAL,9,7801,0.12365732342004776,0.11020825803279877,0.0884779542684555,0.1455778032541275
qwen2_5_vl_7b,REAL,10,7801,0.20192492008209229,0.19878457486629486,0.15302886068820953,0.2458144873380661
qwen2_5_vl_7b,REAL,11,7801,0.12484642118215561,0.12200569361448288,0.10537854582071304,0.14049284160137177
qwen2_5_vl_7b,REAL,12,7801,0.12471969425678253,0.11824243515729904,0.09883838891983032,0.14304271340370178
qwen2_5_vl_7b,REAL,13,7801,0.13373024761676788,0.12757161259651184,0.10907823592424393,0.15154823660850525
qwen2_5_vl_7b,REAL,14,7801,0.13083459436893463,0.12253288924694061,0.1042575016617775,0.14762942492961884
qwen2_5_vl_7b,REAL,15,7801,0.18154773116111755,0.1691623479127884,0.13169698417186737,0.22114387154579163
qwen2_5_vl_7b,REAL,16,7801,0.15397602319717407,0.14751526713371277,0.12444212287664413,0.17677755653858185
qwen2_5_vl_7b,REAL,17,7801,0.1661187708377838,0.15462444722652435,0.12659908831119537,0.19502699375152588
qwen2_5_vl_7b,REAL,18,7801,0.17003647983074188,0.16287767887115479,0.13798344135284424,0.1937033236026764
qwen2_5_vl_7b,REAL,19,7801,0.14910390973091125,0.13906069099903107,0.11684545874595642,0.17046310007572174
qwen2_5_vl_7b,REAL,20,7801,0.20933523774147034,0.2056131809949875,0.16828285157680511,0.24512067437171936
qwen2_5_vl_7b,REAL,21,7801,0.21406373381614685,0.20459583401679993,0.15892453491687775,0.26402875781059265
qwen2_5_vl_7b,REAL,22,7801,0.2721511125564575,0.2741723954677582,0.2230072170495987,0.3223589062690735
qwen2_5_vl_7b,REAL,23,7801,0.2987724542617798,0.29673177003860474,0.2328435629606247,0.36408668756484985
qwen2_5_vl_7b,REAL,24,7801,0.3237920105457306,0.32962751388549805,0.2664313018321991,0.3823913037776947
qwen2_5_vl_7b,REAL,25,7801,0.2278263121843338,0.21786102652549744,0.170179083943367,0.2774113714694977
qwen2_5_vl_7b,REAL,26,7801,0.2459954470396042,0.23541070520877838,0.18619978427886963,0.2976566255092621
qwen2_5_vl_7b,REAL,27,7801,0.3543400764465332,0.3598298132419586,0.2872910797595978,0.4208318889141083
qwen2_5_vl_7b,REAL,28,7801,0.5101647973060608,0.5230231881141663,0.4451398551464081,0.5888926982879639
