model,label,layer,n_mentions,mean,q25,median,q75,raw_d_js_real_auroc
qwen2_5_vl_7b,HALL,1,916,0.0007915393798612058,0.00038166739977896214,0.0006358871469274163,0.0009988537058234215,0.5165832227309342
qwen2_5_vl_7b,HALL,2,916,0.00786953791975975,0.003272670553997159,0.005791188217699528,0.01063799113035202,0.5863658729230212
qwen2_5_vl_7b,HALL,3,916,0.004665090702474117,0.0025707995519042015,0.0035967007279396057,0.005561964586377144,0.5229093907454481
qwen2_5_vl_7b,HALL,4,916,0.0031124837696552277,0.0018670556601136923,0.0024866508319973946,0.003509068861603737,0.5426463912083828
qwen2_5_vl_7b,HALL,5,916,0.002052015857771039,0.0012054016115143895,0.0016305935569107533,0.00235919700935483,0.5049200108148715
qwen2_5_vl_7b,HALL,6,916,0.0019462945638224483,0.0012858741683885455,0.0016809341032058,0.0023056510835886,0.5062841848178684
qwen2_5_vl_7b,HALL,7,916,0.0004701183643192053,0.00024050299543887377,0.00034543892252258956,0.0005597090348601341,0.5176386802945989
qwen2_5_vl_7b,HALL,8,916,0.0006180144264362752,0.0002994153765030205,0.0004395351861603558,0.0006757640512660146,0.49434318408400224
qwen2_5_vl_7b,HALL,9,916,0.0013944270322099328,0.0009168310207314789,0.0012163157807663083,0.001680856803432107,0.4752313134191172
qwen2_5_vl_7b,HALL,10,916,0.004281161818653345,0.0011164218885824084,0.00263789901509881,0.005553842522203922,0.41221089671070055
qwen2_5_vl_7b,HALL,11,916,0.0018350161844864488,0.0009580650366842747,0.0013994532637298107,0.002090821508318186,0.5547647009760812
qwen2_5_vl_7b,HALL,12,916,0.0010893222643062472,0.0007707829354330897,0.0009913529502227902,0.0012976187281310558,0.5968338232305902
qwen2_5_vl_7b,HALL,13,916,0.0007821801700629294,0.000505742384120822,0.0006768247112631798,0.000900029088370502,0.638257733724654
qwen2_5_vl_7b,HALL,14,916,0.0008662727195769548,0.000496286666020751,0.0006785116856917739,0.0010033047292381525,0.5424322069334969
qwen2_5_vl_7b,HALL,15,916,0.0011323075741529465,0.000580713851377368,0.0008459953824058175,0.0014276583679020405,0.61122384376877
qwen2_5_vl_7b,HALL,16,916,0.0013918819604441524,0.0009036066476255655,0.0011925884755328298,0.0016218258533626795,0.5067954701810148
qwen2_5_vl_7b,HALL,17,916,0.0010636155493557453,0.0006902639288455248,0.0009355713846161962,0.001276531838811934,0.6010101716888833
qwen2_5_vl_7b,HALL,18,916,0.0010190478060394526,0.0007293316884897649,0.0009087038924917579,0.0011886758729815483,0.48182449456429555
qwen2_5_vl_7b,HALL,19,916,0.0008841953822411597,0.0005541399586945772,0.0007380250608548522,0.0010272038634866476,0.5007373648770816
qwen2_5_vl_7b,HALL,20,916,0.002118089236319065,0.0012288999278098345,0.001856215880252421,0.002690286375582218,0.6271210610665188
qwen2_5_vl_7b,HALL,21,916,0.0011775328312069178,0.0006820124108344316,0.000991661800071597,0.0014706393703818321,0.7018661251020891
qwen2_5_vl_7b,HALL,22,916,0.0025476415175944567,0.001551007735542953,0.0021526999771595,0.003047430654987693,0.47257048838772764
qwen2_5_vl_7b,HALL,23,916,0.0028031168039888144,0.0014545663725584745,0.002018122933804989,0.0030080676078796387,0.5055164520952133
qwen2_5_vl_7b,HALL,24,916,0.007530540227890015,0.004068657290190458,0.006244094111025333,0.009297648444771767,0.5455297971539871
qwen2_5_vl_7b,HALL,25,916,0.0031791268847882748,0.0017342064529657364,0.002738401060923934,0.0040812743827700615,0.5046195510708794
qwen2_5_vl_7b,HALL,26,916,0.0008959795814007521,0.00039668523822911084,0.000612867996096611,0.0010073145385831594,0.6426303536272643
qwen2_5_vl_7b,HALL,27,916,0.0016139100771397352,0.0008046719012781978,0.0012353622587397695,0.001962134148925543,0.5248130488253382
qwen2_5_vl_7b,HALL,28,916,0.009378593415021896,0.00505454745143652,0.008257618173956871,0.012521792203187943,0.5387397847885362
qwen2_5_vl_7b,REAL,1,7801,0.0008351066499017179,0.0004223283613100648,0.0006464947946369648,0.0009970373939722776,0.5165832227309342
qwen2_5_vl_7b,REAL,2,7801,0.009256651625037193,0.004497305490076542,0.0076398830860853195,0.012743992730975151,0.5863658729230212
qwen2_5_vl_7b,REAL,3,7801,0.00502565735951066,0.002594784600660205,0.003751592244952917,0.006316483486443758,0.5229093907454481
qwen2_5_vl_7b,REAL,4,7801,0.0033947608899325132,0.0020175608806312084,0.0026736261788755655,0.0037146853283047676,0.5426463912083828
qwen2_5_vl_7b,REAL,5,7801,0.0021017612889409065,0.0012391258496791124,0.001650266582146287,0.002256746869534254,0.5049200108148715
qwen2_5_vl_7b,REAL,6,7801,0.001938088913448155,0.0013335120165720582,0.0016899843467399478,0.002223998075351119,0.5062841848178684
qwen2_5_vl_7b,REAL,7,7801,0.0005370266153477132,0.00024520111037418246,0.00035492179449647665,0.0006090720416978002,0.5176386802945989
qwen2_5_vl_7b,REAL,8,7801,0.0006612931611016393,0.0002940307604148984,0.0004215149092487991,0.0006929741357453167,0.49434318408400224
qwen2_5_vl_7b,REAL,9,7801,0.0014295072760432959,0.0008008591830730438,0.0011714388383552432,0.0017449853476136923,0.4752313134191172
qwen2_5_vl_7b,REAL,10,7801,0.0034860079176723957,0.0005796909099444747,0.0016811937093734741,0.004611573182046413,0.41221089671070055
qwen2_5_vl_7b,REAL,11,7801,0.0021506212651729584,0.0010958884377032518,0.00154341128654778,0.002297049853950739,0.5547647009760812
qwen2_5_vl_7b,REAL,12,7801,0.0013184029376134276,0.0008597060805186629,0.001132625387981534,0.0015460330760106444,0.5968338232305902
qwen2_5_vl_7b,REAL,13,7801,0.0010470888810232282,0.0006126364460214972,0.0008270682883448899,0.0011909536551684141,0.638257733724654
qwen2_5_vl_7b,REAL,14,7801,0.0009031405788846314,0.0005422409740276635,0.0007405811920762062,0.0010763132013380527,0.5424322069334969
qwen2_5_vl_7b,REAL,15,7801,0.0013771486701443791,0.000752341584302485,0.001151802483946085,0.0017328099347651005,0.61122384376877
qwen2_5_vl_7b,REAL,16,7801,0.0014729476533830166,0.0008729796390980482,0.001207810128107667,0.001730109564960003,0.5067954701810148
qwen2_5_vl_7b,REAL,17,7801,0.0012527029030025005,0.0008059456013143063,0.0011007911525666714,0.0015366553561761975,0.6010101716888833
qwen2_5_vl_7b,REAL,18,7801,0.0010109320282936096,0.0007114075124263763,0.0008988808840513229,0.001158990664407611,0.48182449456429555
qwen2_5_vl_7b,REAL,19,7801,0.0009794679936021566,0.000540504464879632,0.0007302656886167824,0.0010822955518960953,0.5007373648770816
qwen2_5_vl_7b,REAL,20,7801,0.002621921943500638,0.0017040959792211652,0.002304528374224901,0.00322995544411242,0.6271210610665188
qwen2_5_vl_7b,REAL,21,7801,0.0021445464808493853,0.0009985871147364378,0.0015397383831441402,0.002627316862344742,0.7018661251020891
qwen2_5_vl_7b,REAL,22,7801,0.0024004343431442976,0.0014924636343494058,0.0020589896012097597,0.0028757282998412848,0.47257048838772764
qwen2_5_vl_7b,REAL,23,7801,0.0026168948970735073,0.001413795631378889,0.0021278797648847103,0.0032400889322161674,0.5055164520952133
qwen2_5_vl_7b,REAL,24,7801,0.008434227667748928,0.004247657023370266,0.0070758480578660965,0.01146882027387619,0.5455297971539871
qwen2_5_vl_7b,REAL,25,7801,0.0031326296739280224,0.0019177042413502932,0.0027281269431114197,0.0038497578352689743,0.5046195510708794
qwen2_5_vl_7b,REAL,26,7801,0.001595967449247837,0.0004997844807803631,0.0009211129508912563,0.002011144533753395,0.6426303536272643
qwen2_5_vl_7b,REAL,27,7801,0.0018084406619891524,0.0007987464778125286,0.0013027149252593517,0.002265225164592266,0.5248130488253382
qwen2_5_vl_7b,REAL,28,7801,0.009803768247365952,0.005816469434648752,0.00928046926856041,0.012915616855025291,0.5387397847885362
