feature_set,dimensions,formal_ae_ensemble_auroc,ae_cosine_ensemble_auroc,ae_cosine_minus_ae_auroc,mean_hall_aupr,mean_hall_precision,mean_hall_recall,mean_hall_f1,seed43_auroc,seed44_auroc,seed45_auroc
A,56,0.8341006184141364,0.8376918653670444,0.0035912469529080226,0.39241235759862053,0.4370318720696676,0.3406193078324226,0.38267213396265637,0.8296891701679562,0.8282586685575393,0.830788063513566
B,28,0.7877036833211626,0.795133119551835,0.007429436230672382,0.3145567745407883,0.43717141799333586,0.13479052823315119,0.20329627291432847,0.7924202817259152,0.7737831916942712,0.7970769084232028
F,84,0.8693745656460893,0.8658715123806299,-0.0035030532654594104,0.4021225044515784,0.46501699767400256,0.16939890710382513,0.24654422830388492,0.8618251860004869,0.8621109335478204,0.863867751801797
C_JS,56,0.7998426624615916,0.8144069680068579,0.01456430554526622,0.32777205289536904,0.37000569082972556,0.2586520947176685,0.3042951321067357,0.7933110379691464,0.8078541770294249,0.8058151389756126
D_JS,56,0.8218311126162834,0.8315747512056076,0.009743638589324255,0.34646886989429654,0.39913274903580404,0.2367941712204007,0.29672410489581247,0.8258174672889613,0.822755382460745,0.825454109296673
E_JS,56,0.8054447254883284,0.8235350146577908,0.018090289169462426,0.3483686338858449,0.39832321817615934,0.2877959927140255,0.33362147953892124,0.8157139984548466,0.8135409059961124,0.8093358309785618
G_JS,168,0.8717663784496961,0.8669333643775113,-0.004833014072184727,0.3908911731766431,0.452014652014652,0.14025500910746813,0.21222286692248807,0.8631904242821916,0.8637442806393689,0.8647355776862915
H_JS,196,0.8824095926509965,0.8799190029174472,-0.00249058973354932,0.4211275741781044,0.4959935897435897,0.19854280510018216,0.2779379582147519,0.8797708375225335,0.8754599300800446,0.8718580998846426
C_OT,56,0.8054165035083448,0.8100625469631386,0.004646043454793802,0.34092636526782627,0.4212176297997194,0.26229508196721313,0.32126784024737876,0.7856381871611159,0.8075014022796305,0.802908275037306
D_OT,56,0.8252494999417921,0.8398825965632684,0.014633096621476271,0.3726710513779532,0.4423315814620163,0.2604735883424408,0.32676048185820883,0.8372085639598259,0.8309891451209488,0.827316759975588
E_OT,56,0.8117170605396749,0.8121262792494366,0.00040921870976173835,0.34441293185030325,0.40988169945725916,0.27868852459016397,0.3312431275077251,0.7852342600726011,0.8087978494851252,0.8063478288478023
G_OT,168,0.8722673185944043,0.8735620019261501,0.0012946833317457607,0.4087104593405703,0.4884242068920592,0.18579234972677594,0.26685675368397205,0.8668240042050751,0.8735620019261501,0.871131383900066
H_OT,196,0.8912360168908551,0.8872708287031648,-0.003965188187690316,0.4359168283573284,0.5120004873294347,0.2604735883424408,0.3436451796943982,0.8834396949203963,0.8813830181290945,0.8827200344308155
