model,case_id,layer,control,spearman,js,top32_overlap,gross_relative_error,kappa_difference,candidate_completeness_relative_error
qwen2_5_vl_7b,qwen2_5_vl_7b:393547:4:7,7,native_vs_fp32_gauss_k64,0.999997190281183,2.3079383408286508e-09,1.0,0.001582062558590835,2.110004425048828e-05,2.988565029227175e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:393547:4:7,7,fp32_trapezoid_vs_gauss_k64,1.0,3.4584185209418173e-15,1.0,5.567381085379501e-07,4.172325134277344e-07,4.224117219564505e-06
