model,label,layer,n_mentions,mean,q25,median,q75,raw_strength_real_auroc
qwen2_5_vl_7b,HALL,1,916,1.5095347166061401,0.92067551612854,1.2922234535217285,1.930185317993164,0.6814179292879818
qwen2_5_vl_7b,HALL,2,916,0.38353416323661804,0.2544565200805664,0.34265071153640747,0.46890828013420105,0.6883800727596787
qwen2_5_vl_7b,HALL,3,916,0.4203793704509735,0.23404428362846375,0.3034478425979614,0.4363664388656616,0.66580046002388
qwen2_5_vl_7b,HALL,4,916,0.8110146522521973,0.4264451861381531,0.5921421051025391,0.9301260709762573,0.6936557512221309
qwen2_5_vl_7b,HALL,5,916,1.3217346668243408,0.6233092546463013,0.9652568101882935,1.6600643396377563,0.6551826996762815
qwen2_5_vl_7b,HALL,6,916,2.8427467346191406,1.5546119213104248,2.378112316131592,3.684135675430298,0.638773427323448
qwen2_5_vl_7b,HALL,7,916,1.9829845428466797,1.120442271232605,1.6728425025939941,2.5411291122436523,0.6965085794061785
qwen2_5_vl_7b,HALL,8,916,4.769803047180176,2.418428659439087,4.331562519073486,6.747506141662598,0.5897765878184915
qwen2_5_vl_7b,HALL,9,916,9.243189811706543,5.128237724304199,8.023383140563965,12.433967590332031,0.6085341203036896
qwen2_5_vl_7b,HALL,10,916,16.18073272705078,12.089957237243652,16.023048400878906,20.144859313964844,0.6292266583222731
qwen2_5_vl_7b,HALL,11,916,5.320385932922363,3.9609711170196533,5.050222396850586,6.570466041564941,0.6940819506400758
qwen2_5_vl_7b,HALL,12,916,9.057294845581055,6.481689453125,8.966740608215332,11.517151832580566,0.5841214512303595
qwen2_5_vl_7b,HALL,13,916,10.390172958374023,7.810899257659912,10.515535354614258,12.717510223388672,0.6347100836361255
qwen2_5_vl_7b,HALL,14,916,10.747542381286621,8.249509811401367,10.717596054077148,13.251194953918457,0.6559486830990764
qwen2_5_vl_7b,HALL,15,916,19.385068893432617,14.574581146240234,19.09110450744629,23.669193267822266,0.5211125099290259
qwen2_5_vl_7b,HALL,16,916,9.338892936706543,6.183951377868652,8.214425086975098,11.703838348388672,0.5576881309024876
qwen2_5_vl_7b,HALL,17,916,14.755070686340332,10.351806640625,14.563837051391602,19.232492446899414,0.631124788614605
qwen2_5_vl_7b,HALL,18,916,9.392443656921387,5.805833339691162,9.076586723327637,12.298404693603516,0.6621354669007277
qwen2_5_vl_7b,HALL,19,916,9.870543479919434,7.188687324523926,9.933862686157227,12.324859619140625,0.6636910842804277
qwen2_5_vl_7b,HALL,20,916,22.10080337524414,17.18577003479004,22.43673324584961,26.798019409179688,0.6496145382771998
qwen2_5_vl_7b,HALL,21,916,15.955684661865234,11.503421783447266,15.975689888000488,20.127243041992188,0.6899151883450167
qwen2_5_vl_7b,HALL,22,916,34.78749465942383,28.417007446289062,34.953216552734375,41.192535400390625,0.5145485770775106
qwen2_5_vl_7b,HALL,23,916,35.577754974365234,24.626100540161133,35.31220245361328,43.989013671875,0.6711670321070695
qwen2_5_vl_7b,HALL,24,916,32.66376495361328,20.620798110961914,32.6837158203125,43.96796798706055,0.5904903021614629
qwen2_5_vl_7b,HALL,25,916,23.49309730529785,14.37514591217041,21.734386444091797,31.83481216430664,0.5676643180333503
qwen2_5_vl_7b,HALL,26,916,22.239439010620117,11.814279556274414,19.88887596130371,30.3847713470459,0.6073480250264633
qwen2_5_vl_7b,HALL,27,916,53.81626510620117,33.69248962402344,51.815101623535156,71.68525695800781,0.5763570788427639
qwen2_5_vl_7b,HALL,28,916,93.48159790039062,56.1534309387207,90.28706359863281,127.13862609863281,0.5812695326822392
qwen2_5_vl_7b,REAL,1,7801,2.2639920711517334,1.2312589883804321,1.9820094108581543,2.98748779296875,0.6814179292879818
qwen2_5_vl_7b,REAL,2,7801,0.5310618877410889,0.3376680016517639,0.48785150051116943,0.6793075203895569,0.6883800727596787
qwen2_5_vl_7b,REAL,3,7801,0.6286642551422119,0.2980078458786011,0.4414287507534027,0.6539527773857117,0.66580046002388
qwen2_5_vl_7b,REAL,4,7801,1.3925633430480957,0.5863109827041626,1.013381004333496,1.9840753078460693,0.6936557512221309
qwen2_5_vl_7b,REAL,5,7801,2.0110225677490234,0.8711282014846802,1.6707439422607422,2.5446887016296387,0.6551826996762815
qwen2_5_vl_7b,REAL,6,7801,3.797917604446411,2.1718497276306152,3.2947282791137695,4.784712314605713,0.638773427323448
qwen2_5_vl_7b,REAL,7,7801,3.252758741378784,1.6662167310714722,2.799400568008423,4.667370796203613,0.6965085794061785
qwen2_5_vl_7b,REAL,8,7801,5.632533073425293,3.1504788398742676,5.8300676345825195,7.472476482391357,0.5897765878184915
qwen2_5_vl_7b,REAL,9,7801,11.200039863586426,7.001825332641602,10.396242141723633,14.38310432434082,0.6085341203036896
qwen2_5_vl_7b,REAL,10,7801,18.891679763793945,14.389490127563477,19.29946517944336,23.419397354125977,0.6292266583222731
qwen2_5_vl_7b,REAL,11,7801,6.739843845367432,5.152909278869629,6.746161937713623,8.342942237854004,0.6940819506400758
qwen2_5_vl_7b,REAL,12,7801,10.127189636230469,7.857089519500732,9.843406677246094,12.42387866973877,0.5841214512303595
qwen2_5_vl_7b,REAL,13,7801,12.111539840698242,9.907610893249512,12.316337585449219,14.354203224182129,0.6347100836361255
qwen2_5_vl_7b,REAL,14,7801,13.174103736877441,10.030960083007812,13.230671882629395,16.432174682617188,0.6559486830990764
qwen2_5_vl_7b,REAL,15,7801,19.89979362487793,15.953901290893555,19.2199764251709,23.58135223388672,0.5211125099290259
qwen2_5_vl_7b,REAL,16,7801,10.130029678344727,7.0511474609375,8.857887268066406,12.350995063781738,0.5576881309024876
qwen2_5_vl_7b,REAL,17,7801,17.445720672607422,14.181096076965332,17.249141693115234,20.938526153564453,0.631124788614605
qwen2_5_vl_7b,REAL,18,7801,12.011015892028809,9.046307563781738,11.626143455505371,14.80805778503418,0.6621354669007277
qwen2_5_vl_7b,REAL,19,7801,12.211947441101074,9.528542518615723,12.115693092346191,14.615565299987793,0.6636910842804277
qwen2_5_vl_7b,REAL,20,7801,25.407407760620117,22.126544952392578,26.046052932739258,29.189895629882812,0.6496145382771998
qwen2_5_vl_7b,REAL,21,7801,20.39470863342285,15.77014446258545,20.425983428955078,25.142635345458984,0.6899151883450167
qwen2_5_vl_7b,REAL,22,7801,35.224998474121094,29.28354263305664,35.26300811767578,41.17291259765625,0.5145485770775106
qwen2_5_vl_7b,REAL,23,7801,43.75816345214844,34.26679611206055,44.477352142333984,53.64747619628906,0.6711670321070695
qwen2_5_vl_7b,REAL,24,7801,38.109737396240234,25.819551467895508,37.30210876464844,49.099605560302734,0.5904903021614629
qwen2_5_vl_7b,REAL,25,7801,25.73952865600586,18.207996368408203,25.26122283935547,32.529396057128906,0.5676643180333503
qwen2_5_vl_7b,REAL,26,7801,26.396095275878906,17.596153259277344,25.10606575012207,33.244110107421875,0.6073480250264633
qwen2_5_vl_7b,REAL,27,7801,60.487430572509766,41.076393127441406,58.74109649658203,77.5171890258789,0.5763570788427639
qwen2_5_vl_7b,REAL,28,7801,105.49395751953125,74.09526062011719,102.67953491210938,132.93576049804688,0.5812695326822392
