model,label,layer,n,mean,median,q25,q75
qwen2_5_vl_7b,HALL,1,916,0.27289220690727234,0.27436205744743347,0.2384527027606964,0.3074781000614166
qwen2_5_vl_7b,HALL,2,916,0.2341211587190628,0.23192621767520905,0.20174548029899597,0.2651173174381256
qwen2_5_vl_7b,HALL,3,916,0.1699250042438507,0.16811861097812653,0.1475343406200409,0.18793386220932007
qwen2_5_vl_7b,HALL,4,916,0.17006328701972961,0.16630907356739044,0.14492669701576233,0.19049203395843506
qwen2_5_vl_7b,HALL,5,916,0.15770596265792847,0.15191665291786194,0.1334284245967865,0.17668978869915009
qwen2_5_vl_7b,HALL,6,916,0.13192036747932434,0.12320248037576675,0.10483633726835251,0.14853690564632416
qwen2_5_vl_7b,HALL,7,916,0.13209056854248047,0.12874695658683777,0.10907254368066788,0.15035167336463928
qwen2_5_vl_7b,HALL,8,916,0.10940185189247131,0.10370813310146332,0.08946157246828079,0.12367559969425201
qwen2_5_vl_7b,HALL,9,916,0.18554000556468964,0.1396685242652893,0.11454752087593079,0.186090886592865
qwen2_5_vl_7b,HALL,10,916,0.2868877649307251,0.16930897533893585,0.11843040585517883,0.4892660677433014
qwen2_5_vl_7b,HALL,11,916,0.1350402534008026,0.1320345401763916,0.11190061271190643,0.15277238190174103
qwen2_5_vl_7b,HALL,12,916,0.1885702759027481,0.15693160891532898,0.12605024874210358,0.20460012555122375
qwen2_5_vl_7b,HALL,13,916,0.20996099710464478,0.16698475182056427,0.1308116316795349,0.23529474437236786
qwen2_5_vl_7b,HALL,14,916,0.18134720623493195,0.15741124749183655,0.1312643140554428,0.1956334114074707
qwen2_5_vl_7b,HALL,15,916,0.3784022629261017,0.41638612747192383,0.23388662934303284,0.5000817775726318
qwen2_5_vl_7b,HALL,16,916,0.2260192483663559,0.20588818192481995,0.16912665963172913,0.25208935141563416
qwen2_5_vl_7b,HALL,17,916,0.34562599658966064,0.34178751707077026,0.23799777030944824,0.4425640106201172
qwen2_5_vl_7b,HALL,18,916,0.2500497102737427,0.22265881299972534,0.190730020403862,0.27818113565444946
qwen2_5_vl_7b,HALL,19,916,0.2513025104999542,0.22528527677059174,0.18162281811237335,0.2927422821521759
qwen2_5_vl_7b,HALL,20,916,0.40942052006721497,0.42964810132980347,0.33356788754463196,0.4958244860172272
qwen2_5_vl_7b,HALL,21,916,0.36768314242362976,0.3733028471469879,0.2528044581413269,0.47396042943000793
qwen2_5_vl_7b,HALL,22,916,0.48941317200660706,0.505544126033783,0.4528089165687561,0.5564366579055786
qwen2_5_vl_7b,HALL,23,916,0.4281282424926758,0.44920212030410767,0.36529985070228577,0.5122977495193481
qwen2_5_vl_7b,HALL,24,916,0.4623669981956482,0.49330395460128784,0.4077731668949127,0.5510436296463013
qwen2_5_vl_7b,HALL,25,916,0.3882114589214325,0.41043174266815186,0.27688437700271606,0.4921051859855652
qwen2_5_vl_7b,HALL,26,916,0.36116448044776917,0.35901546478271484,0.2465527504682541,0.47074243426322937
qwen2_5_vl_7b,HALL,27,916,0.4759742319583893,0.5011208057403564,0.43139827251434326,0.5511037707328796
qwen2_5_vl_7b,HALL,28,916,0.5108362436294556,0.5267519950866699,0.4647826552391052,0.5735765099525452
qwen2_5_vl_7b,REAL,1,7801,0.24463129043579102,0.24426284432411194,0.20783205330371857,0.2815912961959839
qwen2_5_vl_7b,REAL,2,7801,0.22053349018096924,0.21830065548419952,0.18949595093727112,0.2492457777261734
qwen2_5_vl_7b,REAL,3,7801,0.17159311473369598,0.16922922432422638,0.15042157471179962,0.1904916614294052
qwen2_5_vl_7b,REAL,4,7801,0.17613384127616882,0.17238816618919373,0.14954343438148499,0.1986730694770813
qwen2_5_vl_7b,REAL,5,7801,0.1722847819328308,0.16607566177845,0.14241144061088562,0.19459448754787445
qwen2_5_vl_7b,REAL,6,7801,0.1399765908718109,0.13021589815616608,0.11042317748069763,0.15670892596244812
qwen2_5_vl_7b,REAL,7,7801,0.14122065901756287,0.1398380547761917,0.11754719167947769,0.16269712150096893
qwen2_5_vl_7b,REAL,8,7801,0.11552182585000992,0.11032257974147797,0.09369496256113052,0.13036254048347473
qwen2_5_vl_7b,REAL,9,7801,0.2106553614139557,0.1465611755847931,0.11949482560157776,0.23651984333992004
qwen2_5_vl_7b,REAL,10,7801,0.31476548314094543,0.28189224004745483,0.11934540420770645,0.5157248973846436
qwen2_5_vl_7b,REAL,11,7801,0.14025314152240753,0.13758817315101624,0.11804753541946411,0.15888912975788116
qwen2_5_vl_7b,REAL,12,7801,0.18617889285087585,0.15381155908107758,0.1252848356962204,0.19205445051193237
qwen2_5_vl_7b,REAL,13,7801,0.20759794116020203,0.1573542058467865,0.12756240367889404,0.22043825685977936
qwen2_5_vl_7b,REAL,14,7801,0.17149680852890015,0.14404910802841187,0.12058351188898087,0.17825110256671906
qwen2_5_vl_7b,REAL,15,7801,0.34190669655799866,0.3739320635795593,0.15866422653198242,0.5015527606010437
qwen2_5_vl_7b,REAL,16,7801,0.21644732356071472,0.19338753819465637,0.1601853221654892,0.23531664907932281
qwen2_5_vl_7b,REAL,17,7801,0.34902796149253845,0.3465113937854767,0.21693390607833862,0.47401344776153564
