model,label,layer,n_mentions,mean,q25,median,q75,raw_d_ef_js_union_topk_real_auroc
qwen2_5_vl_7b,HALL,1,916,0.033400759100914,0.0188363716006279,0.02741171419620514,0.03894178569316864,0.5216175677846698
qwen2_5_vl_7b,HALL,2,916,0.028454862534999847,0.014501783065497875,0.02077862061560154,0.03460923954844475,0.5585242962356746
qwen2_5_vl_7b,HALL,3,916,0.05386916175484657,0.03027947247028351,0.0469009131193161,0.06763114035129547,0.5236348603834802
qwen2_5_vl_7b,HALL,4,916,0.07023175805807114,0.05128501355648041,0.06727515161037445,0.08463458716869354,0.5167226069437968
qwen2_5_vl_7b,HALL,5,916,0.030457692220807076,0.019047176465392113,0.026453334838151932,0.03685617074370384,0.4362937178023868
qwen2_5_vl_7b,HALL,6,916,0.033397238701581955,0.021470731124281883,0.029065236449241638,0.04060056433081627,0.45088973589210657
qwen2_5_vl_7b,HALL,7,916,0.03175817057490349,0.021515343338251114,0.029257256537675858,0.03818381205201149,0.3953242754120091
qwen2_5_vl_7b,HALL,8,916,0.039459120482206345,0.02501586452126503,0.03400984779000282,0.04548954963684082,0.45328438745676436
qwen2_5_vl_7b,HALL,9,916,0.030378883704543114,0.016978828236460686,0.025407787412405014,0.0364808663725853,0.4274004872289915
qwen2_5_vl_7b,HALL,10,916,0.02887204848229885,0.016333172097802162,0.023357786238193512,0.03338967263698578,0.4322174292960986
qwen2_5_vl_7b,HALL,11,916,0.03627166524529457,0.022362079471349716,0.031238988041877747,0.041504085063934326,0.471985732430452
qwen2_5_vl_7b,HALL,12,916,0.035585299134254456,0.020336469635367393,0.030229847878217697,0.043377481400966644,0.4407455460026679
qwen2_5_vl_7b,HALL,13,916,0.039005011320114136,0.022548435255885124,0.03299809992313385,0.04535933583974838,0.4791154588287584
qwen2_5_vl_7b,HALL,14,916,0.03452441841363907,0.022010352462530136,0.02882145717740059,0.03953119367361069,0.4438965948268865
qwen2_5_vl_7b,HALL,15,916,0.03613867238163948,0.019577518105506897,0.028473839163780212,0.04251301288604736,0.4892021317387929
qwen2_5_vl_7b,HALL,16,916,0.04288642108440399,0.026940982788801193,0.03661556541919708,0.04968784749507904,0.47094979705322737
qwen2_5_vl_7b,HALL,17,916,0.03274498134851456,0.017557118088006973,0.02500857785344124,0.03634095937013626,0.5398522695276443
qwen2_5_vl_7b,HALL,18,916,0.03739392012357712,0.023075127974152565,0.03166326880455017,0.043184250593185425,0.5113392415819492
qwen2_5_vl_7b,HALL,19,916,0.03066723793745041,0.016902482137084007,0.02488800697028637,0.0363893061876297,0.5154743765355354
qwen2_5_vl_7b,HALL,20,916,0.025915371254086494,0.014182714745402336,0.02074858918786049,0.02946987934410572,0.507983804562062
qwen2_5_vl_7b,HALL,21,916,0.030452627688646317,0.017170412465929985,0.025163810700178146,0.036676712334156036,0.4693630421360155
qwen2_5_vl_7b,HALL,22,916,0.024890471249818802,0.014391749165952206,0.02162107639014721,0.031374573707580566,0.44742010457734394
qwen2_5_vl_7b,HALL,23,916,0.025101184844970703,0.01620945706963539,0.022792816162109375,0.030585970729589462,0.4904703741374553
qwen2_5_vl_7b,HALL,24,916,0.031617168337106705,0.019785815849900246,0.027230700477957726,0.03879217803478241,0.5631817721275236
qwen2_5_vl_7b,HALL,25,916,0.02427791617810726,0.015057736076414585,0.020697452127933502,0.028646253049373627,0.5677651476772937
qwen2_5_vl_7b,HALL,26,916,0.031357474625110626,0.020653463900089264,0.028833653777837753,0.038034290075302124,0.5752099579664235
qwen2_5_vl_7b,HALL,27,916,0.030772613361477852,0.019750501960515976,0.027219492942094803,0.03714852035045624,0.5420046080756638
qwen2_5_vl_7b,HALL,28,916,0.03463644161820412,0.01710135117173195,0.024619650095701218,0.040579792112112045,0.5752500519192199
qwen2_5_vl_7b,REAL,1,7801,0.034539878368377686,0.019726045429706573,0.02802465483546257,0.041517287492752075,0.5216175677846698
qwen2_5_vl_7b,REAL,2,7801,0.032139893621206284,0.016294926404953003,0.024291671812534332,0.03886067867279053,0.5585242962356746
qwen2_5_vl_7b,REAL,3,7801,0.05756179615855217,0.0322575569152832,0.048042017966508865,0.07340263575315475,0.5236348603834802
qwen2_5_vl_7b,REAL,4,7801,0.07197779417037964,0.05179668962955475,0.06858046352863312,0.0878385454416275,0.5167226069437968
qwen2_5_vl_7b,REAL,5,7801,0.028915470466017723,0.015918683260679245,0.023523565381765366,0.034376077353954315,0.4362937178023868
qwen2_5_vl_7b,REAL,6,7801,0.031045662239193916,0.018858935683965683,0.026917770504951477,0.03756394609808922,0.45088973589210657
qwen2_5_vl_7b,REAL,7,7801,0.027252569794654846,0.01743524707853794,0.02423214726150036,0.033151619136333466,0.3953242754120091
qwen2_5_vl_7b,REAL,8,7801,0.03882855549454689,0.022509464994072914,0.031137710437178612,0.04367751255631447,0.45328438745676436
qwen2_5_vl_7b,REAL,9,7801,0.02605234459042549,0.014837056398391724,0.021768877282738686,0.03170875459909439,0.4274004872289915
qwen2_5_vl_7b,REAL,10,7801,0.02538871578872204,0.013489739038050175,0.02009846642613411,0.029899992048740387,0.4322174292960986
qwen2_5_vl_7b,REAL,11,7801,0.03368982672691345,0.021720459684729576,0.029397740960121155,0.040092963725328445,0.471985732430452
qwen2_5_vl_7b,REAL,12,7801,0.031713079661130905,0.01829572021961212,0.026476893573999405,0.03787316754460335,0.4407455460026679
qwen2_5_vl_7b,REAL,13,7801,0.03663873299956322,0.02186417393386364,0.031224336475133896,0.04437410458922386,0.4791154588287584
qwen2_5_vl_7b,REAL,14,7801,0.030845394358038902,0.01954459212720394,0.026527995243668556,0.0365249402821064,0.4438965948268865
qwen2_5_vl_7b,REAL,15,7801,0.033815283328294754,0.019886266440153122,0.027985909953713417,0.04060171917080879,0.4892021317387929
qwen2_5_vl_7b,REAL,16,7801,0.04015977308154106,0.02535995841026306,0.03505662828683853,0.04717822000384331,0.47094979705322737
qwen2_5_vl_7b,REAL,17,7801,0.03272790461778641,0.0196551326662302,0.027157992124557495,0.037889063358306885,0.5398522695276443
qwen2_5_vl_7b,REAL,18,7801,0.03666666895151138,0.024381818249821663,0.03234709054231644,0.0427083894610405,0.5113392415819492
qwen2_5_vl_7b,REAL,19,7801,0.03035717085003853,0.01826588436961174,0.02545826882123947,0.03572380915284157,0.5154743765355354
qwen2_5_vl_7b,REAL,20,7801,0.0250125490128994,0.01498454250395298,0.020602218806743622,0.028933696448802948,0.507983804562062
qwen2_5_vl_7b,REAL,21,7801,0.02800089679658413,0.0167242418974638,0.0237831249833107,0.03320018947124481,0.4693630421360155
qwen2_5_vl_7b,REAL,22,7801,0.02337847650051117,0.013254375196993351,0.019208189100027084,0.027957987040281296,0.44742010457734394
qwen2_5_vl_7b,REAL,23,7801,0.02593686617910862,0.015362555161118507,0.021635953336954117,0.03121207281947136,0.4904703741374553
qwen2_5_vl_7b,REAL,24,7801,0.03561259061098099,0.022312480956315994,0.030512329190969467,0.04318317398428917,0.5631817721275236
qwen2_5_vl_7b,REAL,25,7801,0.027621690183877945,0.016585834324359894,0.02362111583352089,0.033426810055971146,0.5677651476772937
qwen2_5_vl_7b,REAL,26,7801,0.036791346967220306,0.023120924830436707,0.03193528577685356,0.04452752321958542,0.5752099579664235
qwen2_5_vl_7b,REAL,27,7801,0.033889785408973694,0.0211073849350214,0.02906830422580242,0.040651168674230576,0.5420046080756638
qwen2_5_vl_7b,REAL,28,7801,0.03893013298511505,0.02006208896636963,0.03023507259786129,0.04797019064426422,0.5752500519192199
