model,label,layer,n_mentions,mean,q25,median,q75,raw_ae_real_auroc
qwen2_5_vl_7b,HALL,1,916,0.6405350565910339,0.5962410569190979,0.6492280960083008,0.6919569969177246,0.4557366259728206
qwen2_5_vl_7b,HALL,2,916,0.6230932474136353,0.5826148986816406,0.6316721439361572,0.6726735234260559,0.4571422933685022
qwen2_5_vl_7b,HALL,3,916,0.5909194350242615,0.555449366569519,0.5929757952690125,0.6229513883590698,0.5456071861798034
qwen2_5_vl_7b,HALL,4,916,0.5825332403182983,0.5490620136260986,0.5813488364219666,0.6131142973899841,0.5524398814618438
qwen2_5_vl_7b,HALL,5,916,0.5618224740028381,0.531429648399353,0.5611796975135803,0.5896881818771362,0.5793050689392077
qwen2_5_vl_7b,HALL,6,916,0.5530503392219543,0.5227913856506348,0.5486526489257812,0.5772522687911987,0.5520721086592302
qwen2_5_vl_7b,HALL,7,916,0.5188173651695251,0.49115490913391113,0.5192807912826538,0.545519232749939,0.5706496032028141
qwen2_5_vl_7b,HALL,8,916,0.536344051361084,0.5100878477096558,0.5341371297836304,0.5605353116989136,0.5392831872971162
qwen2_5_vl_7b,HALL,9,916,0.5540249347686768,0.5117660760879517,0.5488151907920837,0.5892007350921631,0.5471786172302397
qwen2_5_vl_7b,HALL,10,916,0.5795769095420837,0.5423449873924255,0.5786099433898926,0.6170114874839783,0.5485163418193503
qwen2_5_vl_7b,HALL,11,916,0.5449751019477844,0.516632080078125,0.5453653335571289,0.5741636753082275,0.5466901427372708
qwen2_5_vl_7b,HALL,12,916,0.5495030283927917,0.5049808025360107,0.5481027364730835,0.5942091941833496,0.5340576787546553
qwen2_5_vl_7b,HALL,13,916,0.5630040168762207,0.5200430750846863,0.5640003085136414,0.6066386699676514,0.5415113055150806
qwen2_5_vl_7b,HALL,14,916,0.5586863160133362,0.521201491355896,0.5613577365875244,0.597282886505127,0.5266319008480046
qwen2_5_vl_7b,HALL,15,916,0.5711764693260193,0.5154456496238708,0.5744147300720215,0.6266345977783203,0.5108870825540786
qwen2_5_vl_7b,HALL,16,916,0.5636358857154846,0.5164262056350708,0.562220573425293,0.6168700456619263,0.5265768328884047
qwen2_5_vl_7b,HALL,17,916,0.5865530371665955,0.5252784490585327,0.5939221382141113,0.6500236988067627,0.5028358949614007
qwen2_5_vl_7b,HALL,18,916,0.5805521607398987,0.5295811891555786,0.5880704522132874,0.6308940649032593,0.5318788208207547
qwen2_5_vl_7b,HALL,19,916,0.5746508836746216,0.5220738649368286,0.5816948413848877,0.6330171823501587,0.4845946858229463
qwen2_5_vl_7b,HALL,20,916,0.6303017735481262,0.5760381817817688,0.6397380232810974,0.6917464733123779,0.5151560039609746
qwen2_5_vl_7b,HALL,21,916,0.6438611745834351,0.5967919826507568,0.6486163139343262,0.6969427466392517,0.564221416020452
qwen2_5_vl_7b,HALL,22,916,0.6393505334854126,0.5933001041412354,0.6434746980667114,0.6928051710128784,0.5401347464690732
