new,baseline,ensemble_auroc_delta,ensemble_hall_aupr_delta
AE+I,AE,0.056669735806989974,0.01928823305625904
AE+S,AE,0.07933904122878499,0.06109916631953766
AE+S,AE+I,0.022669305421795016,0.041810933263278616
AE+I+S,AE+I,0.01726832400244127,0.039431436954682264
AE+I+S,AE+S,-0.005400981419353745,-0.0023794963085963516
AE+N,AE+S,0.0008572426420007107,0.016676237171254216
AE+N,AE+S+kappa,-0.0014745984541409962,0.0011290424716019487
AE+S+kappa,AE+S,0.002331841096141707,0.015547194699652267
AE+S+N,AE+S,0.01291861133747485,0.05392002230089871
AE+S+kappa,AE+S+N,-0.010586770241333143,-0.03837282760124644
U,AE+S+kappa,0.011800315380626425,0.019710251136994317
H_OT,U,0.01006113586413937,0.017482510606600166
H_JS,U,0.0012347116242807932,-0.0016133228235452046
