model,label,layer,n_mentions,spearman,pearson_log
qwen2_5_vl_7b,ALL,1,8717,0.9427509387292267,0.9449421796048239
qwen2_5_vl_7b,ALL,2,8717,0.9245859778671688,0.9258719642323867
qwen2_5_vl_7b,ALL,3,8717,0.9470459743638642,0.953398482539505
qwen2_5_vl_7b,ALL,4,8717,0.982104608174403,0.9817050999819197
qwen2_5_vl_7b,ALL,5,8717,0.980186594894494,0.9786359064770348
qwen2_5_vl_7b,ALL,6,8717,0.981542835980917,0.9806750828666343
qwen2_5_vl_7b,ALL,7,8717,0.9900174850027756,0.989652413900969
qwen2_5_vl_7b,ALL,8,8717,0.9812071147647291,0.9885977197327881
qwen2_5_vl_7b,ALL,9,8717,0.9796273978785583,0.9832698176372625
qwen2_5_vl_7b,ALL,10,8717,0.89791618570345,0.9410671405658738
qwen2_5_vl_7b,ALL,11,8717,0.9723691310364511,0.9747510576487773
qwen2_5_vl_7b,ALL,12,8717,0.9831201492419611,0.9890978601082026
qwen2_5_vl_7b,ALL,13,8717,0.9755155261530306,0.9866120861170351
qwen2_5_vl_7b,ALL,14,8717,0.9839739712114246,0.9909309238201224
qwen2_5_vl_7b,ALL,15,8717,0.9751240084536339,0.9840723666522062
qwen2_5_vl_7b,ALL,16,8717,0.9868719075043221,0.9865042376563689
qwen2_5_vl_7b,ALL,17,8717,0.9677560761677672,0.9825128828007591
qwen2_5_vl_7b,ALL,18,8717,0.976586487894435,0.9837378559758845
qwen2_5_vl_7b,ALL,19,8717,0.9552790863489208,0.96756430304011
qwen2_5_vl_7b,ALL,20,8717,0.9368389699451657,0.9704625872515563
qwen2_5_vl_7b,ALL,21,8717,0.9607734893168908,0.9738793480097714
qwen2_5_vl_7b,ALL,22,8717,0.924139000170808,0.949159258779817
qwen2_5_vl_7b,ALL,23,8717,0.9709099152139948,0.9779924257600128
qwen2_5_vl_7b,ALL,24,8717,0.913088164519767,0.9325775151374591
qwen2_5_vl_7b,ALL,25,8717,0.9686100382662712,0.9740107024698361
qwen2_5_vl_7b,ALL,26,8717,0.9784283333974478,0.9819673984386715
qwen2_5_vl_7b,ALL,27,8717,0.9591732197339999,0.9654458580863333
qwen2_5_vl_7b,ALL,28,8717,0.9236470592082404,0.9397445780497031
qwen2_5_vl_7b,REAL,1,7801,0.941138756616293,0.9426368173652131
qwen2_5_vl_7b,REAL,2,7801,0.9227290105378378,0.9247481652991717
qwen2_5_vl_7b,REAL,3,7801,0.9471606461421052,0.9532567143844094
qwen2_5_vl_7b,REAL,4,7801,0.9818880078227372,0.9813975280787977
qwen2_5_vl_7b,REAL,5,7801,0.9803202058205222,0.9784985909539544
qwen2_5_vl_7b,REAL,6,7801,0.9814869121031773,0.9804198370442164
qwen2_5_vl_7b,REAL,7,7801,0.98965651250582,0.9896527402918529
qwen2_5_vl_7b,REAL,8,7801,0.9803374628061662,0.9886509649715103
qwen2_5_vl_7b,REAL,9,7801,0.9784842255971792,0.9828747450591235
qwen2_5_vl_7b,REAL,10,7801,0.893734963249797,0.9420303630190131
qwen2_5_vl_7b,REAL,11,7801,0.970864484217545,0.9741401543789404
qwen2_5_vl_7b,REAL,12,7801,0.9823774481893294,0.9886261768098806
qwen2_5_vl_7b,REAL,13,7801,0.9737408577629457,0.9863021555084652
qwen2_5_vl_7b,REAL,14,7801,0.9835981975663379,0.9909195378497794
qwen2_5_vl_7b,REAL,15,7801,0.9740985371363277,0.9833302789932608
qwen2_5_vl_7b,REAL,16,7801,0.9866246409605091,0.9860323497346021
qwen2_5_vl_7b,REAL,17,7801,0.9646200411424246,0.9807683768457303
qwen2_5_vl_7b,REAL,18,7801,0.9745061946176513,0.9817625908867784
