model,label,layer,n_mentions,mean,q25,median,q75,raw_d_ef_js_real_auroc
qwen2_5_vl_7b,HALL,1,916,0.03929542377591133,0.02571912296116352,0.03448426350951195,0.04474189877510071,0.5226986350982883
qwen2_5_vl_7b,HALL,2,916,0.03451104089617729,0.021726269274950027,0.029206769540905952,0.042082082480192184,0.5609062828693443
qwen2_5_vl_7b,HALL,3,916,0.04991793632507324,0.033947333693504333,0.04467234015464783,0.05851254612207413,0.5194490657059418
qwen2_5_vl_7b,HALL,4,916,0.058863721787929535,0.04679524153470993,0.056106872856616974,0.0678834393620491,0.5208494152300484
qwen2_5_vl_7b,HALL,5,916,0.03309132158756256,0.024504980072379112,0.03082387149333954,0.037992432713508606,0.42880111664107556
qwen2_5_vl_7b,HALL,6,916,0.03365015983581543,0.025179103016853333,0.03082399070262909,0.038373805582523346,0.45675856695116346
qwen2_5_vl_7b,HALL,7,916,0.034607306122779846,0.026766609400510788,0.03273935243487358,0.039221808314323425,0.43931643798885933
qwen2_5_vl_7b,HALL,8,916,0.04139910638332367,0.031120169907808304,0.038190774619579315,0.04601455479860306,0.45670181966369783
qwen2_5_vl_7b,HALL,9,916,0.03127485141158104,0.022180883213877678,0.02824096754193306,0.036440424621105194,0.43181341100038123
qwen2_5_vl_7b,HALL,10,916,0.03259562328457832,0.02182253822684288,0.028409475460648537,0.03744449466466904,0.4329827829709437
qwen2_5_vl_7b,HALL,11,916,0.0355958566069603,0.02672732062637806,0.03163554519414902,0.03916938975453377,0.4986217616261267
qwen2_5_vl_7b,HALL,12,916,0.03769979253411293,0.026571029797196388,0.03355340659618378,0.043057121336460114,0.4329310736670755
qwen2_5_vl_7b,HALL,13,916,0.039584413170814514,0.027675356715917587,0.03495818004012108,0.0448157824575901,0.46650748504418593
qwen2_5_vl_7b,HALL,14,916,0.03597094863653183,0.02684376947581768,0.032108042389154434,0.03999294340610504,0.44577261396898504
qwen2_5_vl_7b,HALL,15,916,0.0388542003929615,0.026012515649199486,0.03325454890727997,0.04485732316970825,0.4909017514829865
qwen2_5_vl_7b,HALL,16,916,0.04499322921037674,0.03239741548895836,0.04010265693068504,0.05070887878537178,0.4591308974496048
qwen2_5_vl_7b,HALL,17,916,0.036154571920633316,0.022589989006519318,0.02991718240082264,0.03952743113040924,0.554328495562936
qwen2_5_vl_7b,HALL,18,916,0.038992609828710556,0.02766316756606102,0.03413920849561691,0.04432009533047676,0.5030513387321858
qwen2_5_vl_7b,HALL,19,916,0.03402470424771309,0.022335505113005638,0.029619481414556503,0.038249239325523376,0.5106351134022119
qwen2_5_vl_7b,HALL,20,916,0.028283432126045227,0.017402157187461853,0.02368904836475849,0.03173156827688217,0.5174957974820158
qwen2_5_vl_7b,HALL,21,916,0.03295546770095825,0.0211798045784235,0.028607573360204697,0.03866925835609436,0.47275136599327483
qwen2_5_vl_7b,HALL,22,916,0.028789011761546135,0.01909073255956173,0.026058297604322433,0.03463911637663841,0.4470911662316274
qwen2_5_vl_7b,HALL,23,916,0.028144273906946182,0.020425379276275635,0.025908414274454117,0.03272663429379463,0.5075513776366147
qwen2_5_vl_7b,HALL,24,916,0.03644942492246628,0.026391366496682167,0.03290494531393051,0.043579235672950745,0.5657280530040657
qwen2_5_vl_7b,HALL,25,916,0.027607575058937073,0.01920480653643608,0.025241602212190628,0.032628852874040604,0.5665733846685203
qwen2_5_vl_7b,HALL,26,916,0.033784233033657074,0.02478177472949028,0.03177105635404587,0.03920488804578781,0.5802548687913149
qwen2_5_vl_7b,HALL,27,916,0.03387363255023956,0.024748669937253,0.030846238136291504,0.03997304290533066,0.5436451714565762
qwen2_5_vl_7b,HALL,28,916,0.05179543420672417,0.02671205811202526,0.040215980261564255,0.06818791478872299,0.5642475855463609
qwen2_5_vl_7b,REAL,1,7801,0.04050694778561592,0.026995258405804634,0.035028375685214996,0.04712861776351929,0.5226986350982883
qwen2_5_vl_7b,REAL,2,7801,0.037829991430044174,0.024694792926311493,0.03187093883752823,0.04445483535528183,0.5609062828693443
qwen2_5_vl_7b,REAL,3,7801,0.052716076374053955,0.03468064218759537,0.04526326805353165,0.06235310435295105,0.5194490657059418
