model,label,layer,n_mentions,mean,q25,median,q75,raw_ae_top32_real_auroc
qwen2_5_vl_7b,HALL,1,916,0.45551592111587524,0.39764219522476196,0.45629873871803284,0.5140377879142761,0.4066966137473138
qwen2_5_vl_7b,HALL,2,916,0.39898261427879333,0.33870449662208557,0.40025079250335693,0.4578345715999603,0.42835448540076315
qwen2_5_vl_7b,HALL,3,916,0.30496537685394287,0.26417407393455505,0.30085551738739014,0.3418327569961548,0.5109322844624667
qwen2_5_vl_7b,HALL,4,916,0.2995359003543854,0.2548624575138092,0.2918091416358948,0.3367671072483063,0.5328561196666647
qwen2_5_vl_7b,HALL,5,916,0.2646481692790985,0.22269465029239655,0.2549431324005127,0.29609283804893494,0.5867659727870517
qwen2_5_vl_7b,HALL,6,916,0.23707203567028046,0.18538227677345276,0.21933726966381073,0.2687027156352997,0.5615204970362662
qwen2_5_vl_7b,HALL,7,916,0.22078081965446472,0.186549112200737,0.2123408168554306,0.24821783602237701,0.604407451961427
qwen2_5_vl_7b,HALL,8,916,0.20311176776885986,0.1686561405658722,0.19213035702705383,0.228597953915596,0.565037569363238
qwen2_5_vl_7b,HALL,9,916,0.27275019884109497,0.2051042914390564,0.24932527542114258,0.3197701871395111,0.5700471443309529
qwen2_5_vl_7b,HALL,10,916,0.2993639409542084,0.2407272309064865,0.2867232859134674,0.3430253267288208,0.5147281951871583
qwen2_5_vl_7b,HALL,11,916,0.23283801972866058,0.19194573163986206,0.22444620728492737,0.2628374695777893,0.5726205043693312
qwen2_5_vl_7b,HALL,12,916,0.2989555299282074,0.22929179668426514,0.28252750635147095,0.35553795099258423,0.5176177586682706
qwen2_5_vl_7b,HALL,13,916,0.30546829104423523,0.23811663687229156,0.2961227297782898,0.36529916524887085,0.48525501153418354
qwen2_5_vl_7b,HALL,14,916,0.2920767366886139,0.23013891279697418,0.27980709075927734,0.34056106209754944,0.4764982263498857
qwen2_5_vl_7b,HALL,15,916,0.3835412859916687,0.3014485538005829,0.36715713143348694,0.45571765303611755,0.41364406310018476
qwen2_5_vl_7b,HALL,16,916,0.3441813886165619,0.2619853615760803,0.32963213324546814,0.4114896059036255,0.459657576651521
qwen2_5_vl_7b,HALL,17,916,0.438473105430603,0.3620455265045166,0.43294674158096313,0.5119768381118774,0.42434606972905164
qwen2_5_vl_7b,HALL,18,916,0.36255279183387756,0.2908999025821686,0.35732460021972656,0.4178507924079895,0.47240913296862064
qwen2_5_vl_7b,HALL,19,916,0.38484030961990356,0.30830103158950806,0.3822166919708252,0.45390987396240234,0.40142163500480565
qwen2_5_vl_7b,HALL,20,916,0.48783373832702637,0.4172465205192566,0.4877065420150757,0.558955192565918,0.4340724568398744
qwen2_5_vl_7b,HALL,21,916,0.46552732586860657,0.3975231647491455,0.4645126461982727,0.5294133424758911,0.4553573077911297
qwen2_5_vl_7b,HALL,22,916,0.4712892472743988,0.4037122130393982,0.4685620367527008,0.530674159526825,0.3895463379736894
qwen2_5_vl_7b,HALL,23,916,0.4865991175174713,0.4202724099159241,0.48506230115890503,0.5510992407798767,0.4511942540117743
qwen2_5_vl_7b,HALL,24,916,0.47744089365005493,0.40940433740615845,0.47060251235961914,0.5468143224716187,0.39739432689460374
qwen2_5_vl_7b,HALL,25,916,0.5251196026802063,0.4508824944496155,0.5198110342025757,0.5941452980041504,0.4157529490396764
qwen2_5_vl_7b,HALL,26,916,0.5133108496665955,0.43495649099349976,0.5053589344024658,0.5831050276756287,0.4287631918201059
qwen2_5_vl_7b,HALL,27,916,0.536940336227417,0.4586646854877472,0.5311825275421143,0.6084868311882019,0.4008739642045668
qwen2_5_vl_7b,HALL,28,916,0.5161754488945007,0.43048715591430664,0.5022823810577393,0.5925613045692444,0.3597721348007673
qwen2_5_vl_7b,REAL,1,7801,0.42438510060310364,0.3670024275779724,0.4289376735687256,0.4863044023513794,0.4066966137473138
qwen2_5_vl_7b,REAL,2,7801,0.37629204988479614,0.31598374247550964,0.3764816224575043,0.43602612614631653,0.42835448540076315
qwen2_5_vl_7b,REAL,3,7801,0.30698534846305847,0.26313334703445435,0.3042452037334442,0.347383052110672,0.5109322844624667
qwen2_5_vl_7b,REAL,4,7801,0.30759817361831665,0.2582358717918396,0.30114880204200745,0.34840863943099976,0.5328561196666647
qwen2_5_vl_7b,REAL,5,7801,0.2878240644931793,0.23304244875907898,0.2739454209804535,0.3258461654186249,0.5867659727870517
qwen2_5_vl_7b,REAL,6,7801,0.25330808758735657,0.19461284577846527,0.23256024718284607,0.29183876514434814,0.5615204970362662
qwen2_5_vl_7b,REAL,7,7801,0.24132661521434784,0.1983754187822342,0.23360323905944824,0.2770809233188629,0.604407451961427
qwen2_5_vl_7b,REAL,8,7801,0.21494759619235992,0.17541486024856567,0.20531074702739716,0.2437453716993332,0.565037569363238
qwen2_5_vl_7b,REAL,9,7801,0.2911114990711212,0.22305439412593842,0.2756076455116272,0.34220167994499207,0.5700471443309529
qwen2_5_vl_7b,REAL,10,7801,0.3039631247520447,0.2433304786682129,0.29092949628829956,0.350298136472702,0.5147281951871583
qwen2_5_vl_7b,REAL,11,7801,0.24547573924064636,0.2055639773607254,0.23867198824882507,0.2792259454727173,0.5726205043693312
qwen2_5_vl_7b,REAL,12,7801,0.3029577434062958,0.23367534577846527,0.29169291257858276,0.36017000675201416,0.5176177586682706
qwen2_5_vl_7b,REAL,13,7801,0.30095845460891724,0.23814301192760468,0.2877712547779083,0.3530251681804657,0.48525501153418354
qwen2_5_vl_7b,REAL,14,7801,0.28525006771087646,0.2293095886707306,0.2715286910533905,0.32888031005859375,0.4764982263498857
qwen2_5_vl_7b,REAL,15,7801,0.35155385732650757,0.27134671807289124,0.33476606011390686,0.4180879592895508,0.41364406310018476
qwen2_5_vl_7b,REAL,16,7801,0.33044692873954773,0.24942567944526672,0.31485292315483093,0.3956909477710724,0.459657576651521
qwen2_5_vl_7b,REAL,17,7801,0.4120539128780365,0.33661481738090515,0.4014328718185425,0.4784960150718689,0.42434606972905164
qwen2_5_vl_7b,REAL,18,7801,0.3543429672718048,0.28654077649116516,0.3438894748687744,0.41298261284828186,0.47240913296862064
qwen2_5_vl_7b,REAL,19,7801,0.3518080413341522,0.2812703251838684,0.3385990858078003,0.40982961654663086,0.40142163500480565
qwen2_5_vl_7b,REAL,20,7801,0.4620339572429657,0.37856560945510864,0.4607509970664978,0.5440474152565002,0.4340724568398744
qwen2_5_vl_7b,REAL,21,7801,0.44845813512802124,0.3718266487121582,0.4479840099811554,0.5256268382072449,0.4553573077911297
qwen2_5_vl_7b,REAL,22,7801,0.4311373829841614,0.35799118876457214,0.42785170674324036,0.5020624995231628,0.3895463379736894
qwen2_5_vl_7b,REAL,23,7801,0.46778038144111633,0.3991963863372803,0.4698983430862427,0.5374369621276855,0.4511942540117743
qwen2_5_vl_7b,REAL,24,7801,0.4420965611934662,0.36885973811149597,0.434257447719574,0.5081887245178223,0.39739432689460374
qwen2_5_vl_7b,REAL,25,7801,0.49075859785079956,0.41105908155441284,0.48969149589538574,0.5702393651008606,0.4157529490396764
qwen2_5_vl_7b,REAL,26,7801,0.48484259843826294,0.41181957721710205,0.4813477694988251,0.5543458461761475,0.4287631918201059
qwen2_5_vl_7b,REAL,27,7801,0.49501997232437134,0.4144459068775177,0.49592164158821106,0.5757973790168762,0.4008739642045668
qwen2_5_vl_7b,REAL,28,7801,0.45747634768486023,0.38519445061683655,0.4523378014564514,0.5259185433387756,0.3597721348007673
