model,label,layer,n_mentions,mean,q25,median,q75,raw_bounded_strength_real_auroc
qwen2_5_vl_7b,HALL,1,916,0.4148457646369934,0.32877007126808167,0.4073958992958069,0.5066273212432861,0.6814179292879818
qwen2_5_vl_7b,HALL,2,916,0.4260677695274353,0.3507712185382843,0.4211462438106537,0.49890652298927307,0.6883801427316731
qwen2_5_vl_7b,HALL,3,916,0.44556596875190735,0.35818514227867126,0.4198107123374939,0.5099290609359741,0.6658005299958745
qwen2_5_vl_7b,HALL,4,916,0.41630038619041443,0.314616858959198,0.38927531242370605,0.5003025531768799,0.6936557512221309
qwen2_5_vl_7b,HALL,5,916,0.41018784046173096,0.2881172001361847,0.3852807283401489,0.5187463760375977,0.6551826996762815
qwen2_5_vl_7b,HALL,6,916,0.43165695667266846,0.3279860019683838,0.427459180355072,0.5363113880157471,0.638773427323448
qwen2_5_vl_7b,HALL,7,916,0.3987565040588379,0.29926279187202454,0.3893583118915558,0.4920189678668976,0.6965085794061785
qwen2_5_vl_7b,HALL,8,916,0.41982993483543396,0.29999497532844543,0.4342550039291382,0.5445645451545715,0.5897765878184915
qwen2_5_vl_7b,HALL,9,916,0.43913647532463074,0.3363589942455292,0.44226738810539246,0.5513452291488647,0.608534190275684
qwen2_5_vl_7b,HALL,10,916,0.44522327184677124,0.3905959725379944,0.45930182933807373,0.516435980796814,0.6292267282942675
qwen2_5_vl_7b,HALL,11,916,0.43570318818092346,0.3770117163658142,0.435533732175827,0.5009609460830688,0.6940819506400758
qwen2_5_vl_7b,HALL,12,916,0.4618469774723053,0.3996279537677765,0.47939303517341614,0.5418620109558105,0.5841214512303596
qwen2_5_vl_7b,HALL,13,916,0.44620656967163086,0.39154675602912903,0.46419090032577515,0.5116590857505798,0.6347101536081199
qwen2_5_vl_7b,HALL,14,916,0.4371432960033417,0.39017778635025024,0.45392316579818726,0.5068417191505432,0.6559486830990764
qwen2_5_vl_7b,HALL,15,916,0.48410889506340027,0.43182265758514404,0.4988816976547241,0.5524262189865112,0.521112509929026
qwen2_5_vl_7b,HALL,16,916,0.4875822067260742,0.4137462079524994,0.48386436700820923,0.5718623399734497,0.5576880609304933
qwen2_5_vl_7b,HALL,17,916,0.44377854466438293,0.37785762548446655,0.4607630968093872,0.5301604866981506,0.6311247886146049
qwen2_5_vl_7b,HALL,18,916,0.42549464106559753,0.33858489990234375,0.44453608989715576,0.5202388167381287,0.6621354669007276
qwen2_5_vl_7b,HALL,19,916,0.4371948838233948,0.3770632743835449,0.45547038316726685,0.5092684030532837,0.6636909443364388
qwen2_5_vl_7b,HALL,20,916,0.4492335319519043,0.39974159002304077,0.46507567167282104,0.5094250440597534,0.6496144683052055
qwen2_5_vl_7b,HALL,21,916,0.4285447895526886,0.3667299449443817,0.44575244188308716,0.5032895803451538,0.6899151883450167
qwen2_5_vl_7b,HALL,22,916,0.48599544167518616,0.4467218816280365,0.4982745051383972,0.5392550826072693,0.5145485770775104
qwen2_5_vl_7b,HALL,23,916,0.43140909075737,0.3618523180484772,0.44845613837242126,0.503200113773346,0.6711670321070695
qwen2_5_vl_7b,HALL,24,916,0.4445461630821228,0.3594508767127991,0.47074055671691895,0.5447332859039307,0.5904903021614629
qwen2_5_vl_7b,HALL,25,916,0.4537900686264038,0.3645648956298828,0.46450841426849365,0.5595803260803223,0.5676643180333503
qwen2_5_vl_7b,HALL,26,916,0.43378713726997375,0.32429924607276917,0.44689303636550903,0.5524430274963379,0.6073480250264633
qwen2_5_vl_7b,HALL,27,916,0.45101040601730347,0.36556482315063477,0.46981483697891235,0.5507543087005615,0.5763570088707696
qwen2_5_vl_7b,HALL,28,916,0.4491974413394928,0.35631245374679565,0.4709089398384094,0.5562083721160889,0.5812695326822392
qwen2_5_vl_7b,REAL,1,7801,0.5045796632766724,0.39578285813331604,0.5132483839988708,0.6138032674789429,0.6814179292879818
qwen2_5_vl_7b,REAL,2,7801,0.5022079944610596,0.4175794720649719,0.508806586265564,0.5905629396438599,0.6883801427316731
qwen2_5_vl_7b,REAL,3,7801,0.5253326296806335,0.4154110848903656,0.5128113627433777,0.6092771887779236,0.6658005299958745
qwen2_5_vl_7b,REAL,4,7801,0.5293101072311401,0.3869251310825348,0.5217216610908508,0.6810935735702515,0.6936557512221309
qwen2_5_vl_7b,REAL,5,7801,0.5008171200752258,0.36128345131874084,0.5203480124473572,0.6229706406593323,0.6551826996762815
qwen2_5_vl_7b,REAL,6,7801,0.5025791525840759,0.405414879322052,0.5084470510482788,0.6003428101539612,0.638773427323448
qwen2_5_vl_7b,REAL,7,7801,0.503695011138916,0.3884151875972748,0.5162121057510376,0.6401606798171997,0.6965085794061785
qwen2_5_vl_7b,REAL,8,7801,0.4636566936969757,0.35826897621154785,0.5081464648246765,0.569739043712616,0.5897765878184915
qwen2_5_vl_7b,REAL,9,7801,0.49144524335861206,0.40898728370666504,0.5067796111106873,0.5870370268821716,0.608534190275684
qwen2_5_vl_7b,REAL,10,7801,0.4841501712799072,0.4327393174171448,0.5057237148284912,0.5538856983184814,0.6292267282942675
qwen2_5_vl_7b,REAL,11,7801,0.49382495880126953,0.44048863649368286,0.5075576901435852,0.5603728294372559,0.6940819506400758
qwen2_5_vl_7b,REAL,12,7801,0.49213892221450806,0.446559876203537,0.5027013421058655,0.5606065392494202,0.5841214512303596
qwen2_5_vl_7b,REAL,13,7801,0.48589661717414856,0.4494156539440155,0.5036478042602539,0.5418289303779602,0.6347101536081199
qwen2_5_vl_7b,REAL,14,7801,0.4861818552017212,0.43756699562072754,0.5064544081687927,0.5603352785110474,0.6559486830990764
qwen2_5_vl_7b,REAL,15,7801,0.4954240322113037,0.4541313052177429,0.5005636811256409,0.5515068173408508,0.521112509929026
qwen2_5_vl_7b,REAL,16,7801,0.5108686089515686,0.44589611887931824,0.5027129054069519,0.5849871039390564,0.5576880609304933
