model,support,comparison,metric,difference,low,high,valid_replicates,test_images,images_with_mentions
qwen2_5_vl_7b,PVG,S minus I,AUROC,0.007771181867242238,-0.008447613652500536,0.024319844479607902,2000,400,361
qwen2_5_vl_7b,PVG,S minus I,HALL_AUPR,-0.015323843667592651,-0.05612038742111894,0.0369299765686854,2000,400,361
qwen2_5_vl_7b,PVG,I+S minus I,AUROC,0.018055662632025182,0.003473500324362555,0.0335733429237773,2000,400,361
qwen2_5_vl_7b,PVG,I+S minus I,HALL_AUPR,0.0315039703686919,-0.005788111373692622,0.0711437610370852,2000,400,361
qwen2_5_vl_7b,PVG,I+S minus S,AUROC,0.010284480764782944,-0.0014673138051492479,0.02179975858518053,2000,400,361
qwen2_5_vl_7b,PVG,I+S minus S,HALL_AUPR,0.046827814036284554,-0.0025656993634398982,0.08606818501388445,2000,400,361
qwen2_5_vl_7b,ALL,S minus I,AUROC,0.013902808829954094,-0.013003100272616405,0.04660715812105201,2000,400,361
qwen2_5_vl_7b,ALL,S minus I,HALL_AUPR,-0.014799950992365307,-0.08400899688765305,0.05499876568716534,2000,400,361
qwen2_5_vl_7b,ALL,I+S minus I,AUROC,0.021576336956801168,0.008206854230136135,0.03610627647818532,2000,400,361
qwen2_5_vl_7b,ALL,I+S minus I,HALL_AUPR,0.052048782882947564,-0.004068297314643804,0.10800158150111114,2000,400,361
qwen2_5_vl_7b,ALL,I+S minus S,AUROC,0.007673528126847073,-0.01450586872678106,0.027694111026196025,2000,400,361
qwen2_5_vl_7b,ALL,I+S minus S,HALL_AUPR,0.06684873387531287,0.020503456433565312,0.11005387332828209,2000,400,361
