model,group,AUROC_mean,AUROC_std,HALL_AUPR_mean,HALL_AUPR_std,HALL_F1_mean,HALL_F1_std
qwen2_5_vl_7b,raw_prompt,0.8153906216008683,0.0018970522077485876,0.3383065489695675,0.010330432890107655,0.10325592251137822,0.019140236017790947
qwen2_5_vl_7b,raw_generation,0.8004976475803769,0.0031449419920955243,0.3230350904986082,0.009721677969800384,0.1100039913204992,0.035582405201477305
qwen2_5_vl_7b,raw_visual,0.8439095203321726,0.003006835524176037,0.37306854401641765,0.015726672742489057,0.15633766951237407,0.05267546734450097
qwen2_5_vl_7b,raw_concat,0.8553588248367534,0.001458443092575756,0.4203866968047834,0.012796736377232304,0.40912733805467294,0.017645591337011286
qwen2_5_vl_7b,raw_visual_prompt_sum,0.8316488339030647,0.0028247074629657786,0.3517369400201605,0.006382675319354789,0.16580602449520027,0.03774720062484268
qwen2_5_vl_7b,log1p_prompt,0.8245733483380193,0.000844001250073388,0.35144679699304476,0.01039169361712118,0.26433333541272885,0.034807623215975386
qwen2_5_vl_7b,log1p_generation,0.8097474015199889,0.0024899039658365318,0.337134218488854,0.009831609808369465,0.112152821327536,0.04757387693581083
qwen2_5_vl_7b,log1p_visual,0.8477418300307736,0.004142926627097189,0.38485446515262894,0.009364536985040502,0.29485258645788837,0.0628252733375888
qwen2_5_vl_7b,log1p_concat,0.8561678549296157,0.0010319855704241444,0.42017980360207136,0.0030850382706880983,0.413280614237552,0.0273919815028839
qwen2_5_vl_7b,log1p_visual_prompt_sum,0.8352483122668012,0.0036544811739871405,0.3515248381797371,0.005529390154636208,0.2237732896592212,0.038409954229735185
qwen2_5_vl_7b,F_E,0.874488623602277,0.0008451358710269548,0.43982126471102706,0.016776119232432937,0.3840124438163654,0.03469319028128999
qwen2_5_vl_7b,F_C,0.8718157669146674,0.0030618829650429593,0.4556788070614475,0.0020380960147070447,0.4208728526122021,0.042496415059172434
qwen2_5_vl_7b,share_concat,0.8577312350291216,0.001095120824996052,0.4266091512324722,0.01119687243243626,0.4200220378999872,0.03260234620972192
llava_1_5_7b,raw_prompt,0.8888814293202332,0.0003534739704229534,0.7042218190134601,0.0029321687687594283,0.6170770538517568,0.013829541047392228
llava_1_5_7b,raw_generation,0.8778537431954746,0.0006949699730353231,0.6406119996586518,0.00048436475324946246,0.5912951972022379,0.010162758399667226
llava_1_5_7b,raw_visual,0.8842064018918494,0.0007531201186760617,0.6821849435211789,0.0024706346833154786,0.6170403248187251,0.003239887216888982
llava_1_5_7b,raw_concat,0.9005197068621023,0.0011242897508486186,0.7089901579623757,0.005586479851363411,0.6573310350656226,0.007999212976969329
llava_1_5_7b,raw_visual_prompt_sum,0.8891686870200997,0.0016045148310056862,0.6974086750660632,0.0031351239214307963,0.6311452308741242,0.014418984555014351
llava_1_5_7b,log1p_prompt,0.8905545269710672,0.0014139795010303256,0.706170166650527,0.0038980239806749774,0.6241599966082857,0.017502176134343458
llava_1_5_7b,log1p_generation,0.8789484670489953,0.0018292247816983857,0.6360416230759459,0.002608029790930555,0.5878038131515314,0.01668676669231873
llava_1_5_7b,log1p_visual,0.889435205832971,0.0009531586998288802,0.6882422996484387,0.0012331607972003926,0.6290896694419227,0.009858994106831455
llava_1_5_7b,log1p_concat,0.8997367415330841,0.003076881887280514,0.703385529003285,0.006262016104811836,0.6531804349752256,0.014495896953707363
llava_1_5_7b,log1p_visual_prompt_sum,0.8935257824878522,0.0015768157582321093,0.7009691676555873,0.0017571426887528952,0.6414254498053776,0.010816785492651363
llava_1_5_7b,F_E,0.9001515192729853,0.00272196496534372,0.708153265166643,0.006193537416397996,0.6678826953021465,0.000727719399986193
llava_1_5_7b,F_C,0.9010108808740968,0.0008056630844659982,0.712237436485016,0.0025072604849356514,0.667312577690477,0.004347171221967468
llava_1_5_7b,share_concat,0.8960658620750191,0.0008362564845918748,0.6877815985492841,0.0027128593638305865,0.6475068407980163,0.0023634369487487883
qwen3_vl_8b,raw_prompt,0.8408506447599554,0.0018398215545074998,0.5312521505854386,0.008945687692963864,0.4481809321620119,0.020567806528284726
qwen3_vl_8b,raw_generation,0.8577059388303866,0.0024139156555164657,0.5522448375067673,0.005270758194457394,0.4585094612047389,0.000956704491821433
qwen3_vl_8b,raw_visual,0.8639870873068061,0.0027491718345327328,0.5570425151434918,0.00640476507257428,0.4862789342934925,0.03944497872855817
qwen3_vl_8b,raw_concat,0.9020212872148079,0.0011076010658584686,0.6635123438224694,0.006251691405685851,0.6225229837104792,0.006743748145137314
qwen3_vl_8b,raw_visual_prompt_sum,0.8603075408769888,0.0038210466606773547,0.5685732601675824,0.00874313128259825,0.4733988970835748,0.02062961631356871
qwen3_vl_8b,log1p_prompt,0.858956637307475,0.0024843591574752796,0.5611654082979215,0.011436601881234822,0.5112183651772946,0.006530886869625678
qwen3_vl_8b,log1p_generation,0.8568078233550157,0.008011678357301965,0.5559350166902569,0.024437120137194002,0.48668769309713705,0.026903202427809154
qwen3_vl_8b,log1p_visual,0.8690557413015805,0.006638296291099877,0.5695693297419201,0.016247171912540888,0.4989214511725382,0.010557184716842015
qwen3_vl_8b,log1p_concat,0.9014105378196401,0.003231230385050744,0.6573992479553453,0.007522350259446642,0.6151476392993497,0.001267171161155478
qwen3_vl_8b,log1p_visual_prompt_sum,0.8631246031672527,0.007044900872043282,0.5857019702964129,0.008383663246759345,0.5299868358747304,0.017527210466926946
qwen3_vl_8b,F_E,0.8865496981241195,0.0030478083329301894,0.6283199927748971,0.003527532443769331,0.5883858737391513,0.01088252870379275
qwen3_vl_8b,F_C,0.886070926167756,0.0032251772805136966,0.6262662611335135,0.0077036437926857595,0.5698711093105274,0.01453366526016538
qwen3_vl_8b,share_concat,0.8940385816618764,0.0040547511176446316,0.6471133478208343,0.010601076689027052,0.6010504872883802,0.005166035208976324
internvl_2_5_8b,raw_prompt,0.8512863203130285,0.0019277602273959549,0.5107032019144162,0.0028604988465553605,0.35300105447140645,0.023024879846293943
internvl_2_5_8b,raw_generation,0.8330438300417633,0.003575263163470793,0.4667609707340357,0.01371208708831712,0.326755310653341,0.010571609906991474
internvl_2_5_8b,raw_visual,0.8384671768689319,0.0011947981833488604,0.5050527762411816,0.0037402273203771363,0.31327056072604126,0.0030358161050212046
internvl_2_5_8b,raw_concat,0.8704044412163677,0.0012239324031541646,0.5707139999792389,0.006295144037339804,0.5175529140168037,0.009840326103648187
internvl_2_5_8b,raw_visual_prompt_sum,0.8446159508525328,0.0025321733045613436,0.5008952897337756,0.0019052175965840472,0.34664924971792116,0.07385298777420601
internvl_2_5_8b,log1p_prompt,0.8543765064852297,0.0027911884921429974,0.5148779813107925,0.011302066855631641,0.42696900834828017,0.030677931863527828
internvl_2_5_8b,log1p_generation,0.837458254559955,0.00262892418094157,0.4796359443105933,0.002712678515609877,0.3596332557246025,0.023141862779374564
internvl_2_5_8b,log1p_visual,0.8472274886156891,0.0026881875122135817,0.5184300785296013,0.0025548079671009424,0.3778063937477046,0.06427519259865264
internvl_2_5_8b,log1p_concat,0.8678658912161897,0.002627307099547048,0.5502904877738554,0.0097125331919768,0.5231516169016168,0.006327762113441855
internvl_2_5_8b,log1p_visual_prompt_sum,0.8430266868184099,0.0058521736897120865,0.496073980934517,0.014068426528112701,0.3008266246317251,0.0662590740069003
internvl_2_5_8b,F_E,0.8582539813934611,0.005868731996798687,0.5303403431153165,0.012005098836062829,0.5137842569808772,0.0036228284528562783
internvl_2_5_8b,F_C,0.8489498218030468,0.005999741104978822,0.5089028840219793,0.007019219831781086,0.4884802474596072,0.012100150829195709
internvl_2_5_8b,share_concat,0.8647443292068545,0.0013163595531530685,0.5197238451353047,0.017782607456289012,0.4777550446961036,0.02468186691254322
