model,scale,source,label,layer,n,mean,median,q25,q75
qwen2_5_vl_7b,raw,prompt,1,21,7801,2.993707788905919,2.504056215286255,1.9697952270507812,3.5822858810424805
qwen2_5_vl_7b,raw,prompt,1,22,7801,3.140038509076107,2.8754518032073975,2.312368392944336,3.7742810249328613
qwen2_5_vl_7b,raw,prompt,1,23,7801,3.6501569271148773,3.3970324993133545,2.7912447452545166,4.118957042694092
qwen2_5_vl_7b,raw,prompt,1,24,7801,11.744502748072017,11.588810920715332,10.452384948730469,12.638833045959473
qwen2_5_vl_7b,raw,prompt,1,25,7801,10.5211042143904,10.65494441986084,9.489405632019043,11.622380256652832
qwen2_5_vl_7b,raw,prompt,1,26,7801,14.080320120193976,14.246845245361328,12.456920623779297,15.71908187866211
qwen2_5_vl_7b,raw,prompt,1,27,7801,25.58057432452191,25.78032112121582,23.385923385620117,27.798166275024414
qwen2_5_vl_7b,raw,prompt,1,28,7801,43.62431139151968,41.90748977661133,33.52811050415039,51.49519348144531
qwen2_5_vl_7b,raw,generation,0,1,916,15.0355306478567,14.770799160003662,12.674447059631348,16.896594524383545
qwen2_5_vl_7b,raw,generation,0,2,916,34.62676549374277,34.2369441986084,29.79032325744629,39.40780830383301
qwen2_5_vl_7b,raw,generation,0,3,916,18.767911095806603,18.58705425262451,15.85490608215332,21.615875244140625
qwen2_5_vl_7b,raw,generation,0,4,916,28.754627561985664,29.21803855895996,25.298909187316895,31.959689617156982
qwen2_5_vl_7b,raw,generation,0,5,916,23.452424918199732,23.060590744018555,17.08212375640869,28.77934694290161
qwen2_5_vl_7b,raw,generation,0,6,916,31.39961182082064,30.507308959960938,24.867077827453613,37.64251899719238
qwen2_5_vl_7b,raw,generation,0,7,916,14.248547304665678,14.187219142913818,12.268846273422241,16.072102069854736
qwen2_5_vl_7b,raw,generation,0,8,916,14.635767618641582,14.603522300720215,11.71419095993042,17.312870502471924
qwen2_5_vl_7b,raw,generation,0,9,916,14.347723131617084,14.125802040100098,11.603156089782715,16.86258363723755
qwen2_5_vl_7b,raw,generation,0,10,916,28.66925371265828,28.96035861968994,23.9995174407959,33.67375469207764
qwen2_5_vl_7b,raw,generation,0,11,916,13.165471526212567,13.075626850128174,11.31734323501587,14.834758996963501
