model,seed,input_dim,best_epoch,trained_epochs,validation_loss,validation_AUROC,validation_HALL_AUPR,test_AUROC,test_HALL_AUPR
qwen2_5_vl_7b,43,56,17,150,0.2904677093029022,0.7934127849613127,0.3823358384328841,0.8237915349626089,0.3300654023873896
qwen2_5_vl_7b,44,56,26,150,0.28870588541030884,0.7974632601132055,0.3799080692765471,0.828633104617994,0.34551301518817146
qwen2_5_vl_7b,45,56,23,150,0.288024365901947,0.7982162330581087,0.38747822791487846,0.8327345617145941,0.34926583175572323
llava_1_5_7b,43,64,53,150,0.34277811646461487,0.8924445207046442,0.6998905376453515,0.8861866752746231,0.7003976939610203
llava_1_5_7b,44,64,56,150,0.342801958322525,0.8925721098850818,0.702061470039099,0.8859372401717678,0.7007926909853072
llava_1_5_7b,45,64,45,150,0.3416037857532501,0.8926447037291237,0.7022990153828212,0.8856755778579883,0.697894754507596
qwen3_vl_8b,43,72,86,150,0.3163383901119232,0.8744218758140048,0.6263698603403429,0.8863239669421488,0.6394331303883107
qwen3_vl_8b,44,72,105,150,0.3140413761138916,0.8769051326429609,0.6305205037843644,0.8893586776859504,0.6378519005232061
qwen3_vl_8b,45,72,132,150,0.3155658543109894,0.8749920408434969,0.6293053283763957,0.8856826446280992,0.6335895343430176
internvl_2_5_8b,43,64,45,150,0.3375506103038788,0.8331204198851258,0.5122455335288731,0.8375737420474263,0.47978242614598
internvl_2_5_8b,44,64,51,150,0.3393920063972473,0.8310507031095267,0.5053332871975452,0.8380798149219201,0.485614112077243
internvl_2_5_8b,45,64,43,150,0.3360845744609833,0.8336502277678749,0.518377151820311,0.8353875072296125,0.47289377842711655
