model,feature,seed,input_dim,best_epoch,epochs,AUROC,HALL_AUPR
internvl_2_5_8b,S_G,43,32,52,72,0.8436119144013882,0.5004183641739016
internvl_2_5_8b,S_G,44,32,37,57,0.8417553499132446,0.49161964825870347
internvl_2_5_8b,S_G,45,32,31,51,0.8418478889531522,0.4943254438627316
internvl_2_5_8b,S_G_per_position,43,32,116,136,0.8217553499132446,0.4421802114354521
internvl_2_5_8b,S_G_per_position,44,32,130,150,0.8149768652400231,0.42378712942143987
internvl_2_5_8b,S_G_per_position,45,32,102,122,0.8184297281665702,0.4315606666202617
internvl_2_5_8b,position,43,1,3,23,0.7048756506651244,0.27158718510165125
internvl_2_5_8b,position,44,1,8,28,0.7048756506651244,0.27158718510165125
internvl_2_5_8b,position,45,1,3,23,0.7048756506651244,0.27158718510165125
