signal,label,layer,mean,median,q25,q75
AE,0,1,0.52053833,0.5284593,0.4822898954153061,0.5567449331283569
AE,0,2,0.51399595,0.51261455,0.4792734235525131,0.550273060798645
AE,0,3,0.46094212,0.39860937,0.2016548439860344,0.7357809543609619
AE,0,4,0.46670848,0.4162724,0.17465635389089584,0.7668859958648682
AE,0,5,0.47658432,0.44459218,0.21049390733242035,0.7567102611064911
AE,0,6,0.49208024,0.4943006,0.26718655228614807,0.7223968803882599
AE,0,7,0.5033918,0.5129545,0.28905045986175537,0.7182475030422211
AE,0,8,0.500293,0.5102247,0.28924715518951416,0.7023004293441772
AE,0,9,0.51422644,0.51453954,0.35061725974082947,0.6755906343460083
AE,0,10,0.52209496,0.53226054,0.37795940041542053,0.660041332244873
AE,0,11,0.5249723,0.53432953,0.40544699132442474,0.6446298360824585
AE,0,12,0.5388993,0.5401054,0.44293469190597534,0.632072240114212
AE,0,13,0.5401483,0.55015117,0.4225652664899826,0.6572468876838684
AE,0,14,0.5393132,0.53602856,0.450018048286438,0.6238658428192139
AE,0,15,0.5563752,0.5511222,0.46638675034046173,0.64195317029953
AE,0,16,0.54846305,0.54722726,0.4594212472438812,0.6301743984222412
AE,0,17,0.5388513,0.53886354,0.4496650993824005,0.6206410527229309
AE,0,18,0.5747421,0.56838906,0.4859144389629364,0.6566522121429443
AE,0,19,0.5725841,0.5703655,0.4799938499927521,0.6574198305606842
AE,0,20,0.5796282,0.57023585,0.4895177036523819,0.6699101626873016
AE,0,21,0.5716191,0.5646032,0.4893808215856552,0.6447513699531555
AE,0,22,0.58584297,0.5775617,0.48997269570827484,0.6772682666778564
AE,0,23,0.58227897,0.58042043,0.48993514478206635,0.6734415590763092
AE,0,24,0.5626108,0.55552983,0.4681928753852844,0.65694260597229
AE,0,25,0.5731036,0.5688366,0.48170624673366547,0.6588951945304871
AE,0,26,0.5436133,0.53926176,0.4679913967847824,0.6192640364170074
AE,0,27,0.56415015,0.5553372,0.4813978672027588,0.6462661027908325
