model,split,metric,region,label,n,layer,mean,median,q25,q75
minigpt4_7b,train,raw_attention,BOS,0,1308,1,0.010741853024183975,0.010016687214374542,0.008410394191741943,0.012779653072357178
minigpt4_7b,train,raw_attention,BOS,0,1308,2,0.013884043058989975,0.01324017345905304,0.010901302099227905,0.016076967120170593
minigpt4_7b,train,raw_attention,BOS,0,1308,3,0.046092784989180915,0.04519873857498169,0.040997281670570374,0.05035242438316345
minigpt4_7b,train,raw_attention,BOS,0,1308,4,0.707334742998129,0.7093505859375,0.6902408599853516,0.7250728607177734
minigpt4_7b,train,raw_attention,BOS,0,1308,5,0.7462209222513602,0.7475166320800781,0.728888988494873,0.763089656829834
minigpt4_7b,train,raw_attention,BOS,0,1308,6,0.7627956484435895,0.7645301818847656,0.7475948333740234,0.7788143157958984
minigpt4_7b,train,raw_attention,BOS,0,1308,7,0.7073389561533563,0.7097835540771484,0.685915470123291,0.7297706604003906
minigpt4_7b,train,raw_attention,BOS,0,1308,8,0.7183690566899944,0.7192573547363281,0.6960582733154297,0.7425670623779297
minigpt4_7b,train,raw_attention,BOS,0,1308,9,0.6470899630668331,0.6474580764770508,0.6284819394350052,0.6684722900390625
minigpt4_7b,train,raw_attention,BOS,0,1308,10,0.6213596075864378,0.619755744934082,0.5876865386962891,0.6557822227478027
minigpt4_7b,train,raw_attention,BOS,0,1308,11,0.595730647444725,0.5924234390258789,0.5654363632202148,0.622011661529541
minigpt4_7b,train,raw_attention,BOS,0,1308,12,0.5469376797522973,0.5446968078613281,0.5144229233264923,0.5774296522140503
minigpt4_7b,train,raw_attention,BOS,0,1308,13,0.5151582416773571,0.5098390579223633,0.473583459854126,0.5523848533630371
minigpt4_7b,train,raw_attention,BOS,0,1308,14,0.6122334469850275,0.6116847991943359,0.5648818016052246,0.6602795124053955
minigpt4_7b,train,raw_attention,BOS,0,1308,15,0.5820983752653869,0.5803236961364746,0.5375325679779053,0.6244010925292969
minigpt4_7b,train,raw_attention,BOS,0,1308,16,0.5370032314769354,0.5358524322509766,0.48130691051483154,0.5884017497301102
minigpt4_7b,train,raw_attention,BOS,0,1308,17,0.575917903254156,0.570405125617981,0.5380198955535889,0.6107661724090576
minigpt4_7b,train,raw_attention,BOS,0,1308,18,0.6176001487886504,0.6167879104614258,0.5825687944889069,0.6533061265945435
minigpt4_7b,train,raw_attention,BOS,0,1308,19,0.7007166708645836,0.7051486968994141,0.6607474684715271,0.7432177066802979
minigpt4_7b,train,raw_attention,BOS,0,1308,20,0.6237452967998085,0.625209242105484,0.5725441575050354,0.6756566762924194
minigpt4_7b,train,raw_attention,BOS,0,1308,21,0.6740752798063675,0.6753215789794922,0.6471900939941406,0.7012233734130859
minigpt4_7b,train,raw_attention,BOS,0,1308,22,0.7339288007228746,0.7385725975036621,0.6979084014892578,0.7743778228759766
minigpt4_7b,train,raw_attention,BOS,0,1308,23,0.8287582897811855,0.8319759368896484,0.8072166442871094,0.852177619934082
minigpt4_7b,train,raw_attention,BOS,0,1308,24,0.6932182166189957,0.6928985118865967,0.650225818157196,0.7382636070251465
minigpt4_7b,train,raw_attention,BOS,0,1308,25,0.8039283068901902,0.8073768615722656,0.7728414535522461,0.839447021484375
minigpt4_7b,train,raw_attention,BOS,0,1308,26,0.8090087213191782,0.8102188110351562,0.7860457897186279,0.8325787782669067
minigpt4_7b,train,raw_attention,BOS,0,1308,27,0.8377188780894702,0.8378028869628906,0.8183221817016602,0.8581507205963135
minigpt4_7b,train,raw_attention,BOS,0,1308,28,0.8633417493979866,0.8652706146240234,0.846959114074707,0.8840198516845703
minigpt4_7b,train,raw_attention,BOS,0,1308,29,0.7848899538546162,0.7864322662353516,0.7613601684570312,0.8115425109863281
