model,group,classifier,AUROC_mean,AUROC_std,HALL_AUPR_mean,HALL_AUPR_std,HALL_F1_mean,HALL_F1_std
internvl_2_5_8b,visual,three_hidden,0.8558654123452571,0.004701291140638779,0.5385242651842451,0.013809112573163992,0.5094933836159655,0.001769174955925952
internvl_2_5_8b,visual,one_hidden,0.8452278909384802,0.002289978165213934,0.5391980322352886,0.0029888796996648363,0.4762202796230717,0.013862209797016457
internvl_2_5_8b,visual,xgb,0.8530028678850283,0.0,0.5069455949180883,0.0,0.4122965641952983,5.551115123125783e-17
internvl_2_5_8b,visual_prompt_sum,three_hidden,0.8584435715582711,0.005532061801930499,0.5208461342756645,0.008008480128466845,0.4096197112526214,0.047775402114124024
internvl_2_5_8b,visual_prompt_sum,one_hidden,0.8144194891568667,0.006889974789419869,0.46678560161435584,0.014005503634831124,0.20362184067993847,0.06312499689027903
internvl_2_5_8b,visual_prompt_sum,xgb,0.8548907586810932,0.0,0.5157895942729506,0.0,0.32941176470588235,0.0
internvl_2_5_8b,generation,three_hidden,0.8441660079966106,0.005995969028746458,0.4960386612880394,0.019886450185155346,0.43491201672118046,0.004614792762758084
internvl_2_5_8b,generation,one_hidden,0.8115516041286149,0.0006399118336734152,0.41856497895453454,0.003048580759955087,0.06395377121234234,0.00795471510054203
internvl_2_5_8b,generation,xgb,0.8307393749399186,0.0,0.4716066886145545,5.551115123125783e-17,0.4430769230769231,0.0
internvl_2_5_8b,vp_generation,three_hidden,0.8537536627395689,0.010153799653079838,0.5400483557982008,0.03142612931325044,0.48950317309653685,0.0442160629127613
internvl_2_5_8b,vp_generation,one_hidden,0.8369798286745779,0.002375077905691787,0.49911745402619534,0.008136016579650757,0.29799999952185696,0.027691301432078874
internvl_2_5_8b,vp_generation,xgb,0.8707315510077652,0.0,0.5838578711930134,0.0,0.4448462929475588,0.0
internvl_2_5_8b,ae_only_visual,three_hidden,0.8311922106035198,0.0015133040353841319,0.4632983284175436,0.008247568235087818,0.3329397423249993,0.02414904994041929
internvl_2_5_8b,ae_only_visual,one_hidden,0.7908286425344199,0.0026398315169179993,0.41732682156696804,0.0038031218031703614,0.24994533009761563,0.006117311778648614
internvl_2_5_8b,ae_only_visual,xgb,0.805654726936757,1.1102230246251565e-16,0.4331532699126642,0.0,0.2974559686888454,0.0
internvl_2_5_8b,ae_only_visual_prompt_sum,three_hidden,0.8074369189907039,0.004908774533166384,0.43480565735202453,0.006314156461561829,0.19836014500686494,0.06459527015160739
internvl_2_5_8b,ae_only_visual_prompt_sum,one_hidden,0.7571234276477646,0.0009507821011364897,0.3484319339855844,0.0011755146120463822,0.0,0.0
internvl_2_5_8b,ae_only_visual_prompt_sum,xgb,0.8021566548818132,0.0,0.4321715532980062,0.0,0.2793522267206478,0.0
internvl_2_5_8b,ae_only_generation,three_hidden,0.7666825993612681,0.008311903599955263,0.3672558034905841,0.022920821507002805,0.27167260436649315,0.0369146589835541
internvl_2_5_8b,ae_only_generation,one_hidden,0.7207432557526818,0.0015246504594001364,0.32339372526089566,0.0008545617445792751,0.005338112033981871,1.3408935054927427e-05
internvl_2_5_8b,ae_only_generation,xgb,0.7447996218877839,0.0,0.3450620129639159,0.0,0.1714285714285714,2.7755575615628914e-17
internvl_2_5_8b,ae_only_vp_generation,three_hidden,0.8089164788566913,0.007842817341491178,0.45532864050390215,0.01712165463032575,0.32617213143074314,0.041162595627559126
internvl_2_5_8b,ae_only_vp_generation,one_hidden,0.781273253723266,0.0021154735116428393,0.4181330296960844,0.002189447089389812,0.06972802642093981,0.026263493290063097
internvl_2_5_8b,ae_only_vp_generation,xgb,0.8274402390438246,1.1102230246251565e-16,0.46526722191687564,0.0,0.27755102040816326,0.0
