model,feature,seed,input_dim,best_epoch,epochs,AUROC,HALL_AUPR
llava_1_5_7b,S_G,43,32,28,48,0.8707119171288552,0.615002632022239
llava_1_5_7b,S_G,44,32,48,68,0.8714846768592696,0.615045152472588
llava_1_5_7b,S_G,45,32,45,65,0.8727269614891764,0.6155801811906226
llava_1_5_7b,S_G_per_position,43,32,72,92,0.8672491709950993,0.6188644359302318
llava_1_5_7b,S_G_per_position,44,32,79,99,0.8647389245923447,0.6139844130599716
llava_1_5_7b,S_G_per_position,45,32,84,104,0.8662074126243507,0.6160431303088445
llava_1_5_7b,position,43,1,17,37,0.8143322475570033,0.5076795820518627
llava_1_5_7b,position,44,1,25,45,0.8143322475570033,0.5076795820518627
llava_1_5_7b,position,45,1,10,30,0.8143322475570033,0.5076795820518627
