model,group,classifier,AUROC_mean,AUROC_std,HALL_AUPR_mean,HALL_AUPR_std,HALL_F1_mean,HALL_F1_std
qwen3_vl_8b,visual,three_hidden,0.8832105145627972,0.003265669903083551,0.6180346357414623,0.008367605846171236,0.5662661192226973,0.024342755649014877
qwen3_vl_8b,visual,one_hidden,0.8597467010785618,0.008035618104402096,0.567655988914216,0.02120563419497023,0.4618262607030544,0.02796390676121186
qwen3_vl_8b,visual,xgb,0.8905440094591549,0.0,0.6313721302205496,0.0,0.49811320754716987,5.551115123125783e-17
qwen3_vl_8b,visual_prompt_sum,three_hidden,0.8825583453476536,0.0025183840635201508,0.6326010408147706,0.004167617638009865,0.5421693673078791,0.006857789765165576
qwen3_vl_8b,visual_prompt_sum,one_hidden,0.8518725617618396,0.005290968410378016,0.5805650350570251,0.004002900319716938,0.43189791980005304,0.024203786076686922
qwen3_vl_8b,visual_prompt_sum,xgb,0.9020410966939266,1.1102230246251565e-16,0.6805897023310242,1.1102230246251565e-16,0.5513126491646778,0.0
qwen3_vl_8b,generation,three_hidden,0.8553778105020081,0.012383226487589567,0.5784189679811388,0.02951515763937775,0.4972165697432777,0.03163541735241593
qwen3_vl_8b,generation,one_hidden,0.827312538011046,0.0008521825404788833,0.5049636303214647,0.006086541234325108,0.3470098789183386,0.01342901838781035
qwen3_vl_8b,generation,xgb,0.8686384559102739,0.0,0.5978987093870632,0.0,0.5067650676506765,0.0
qwen3_vl_8b,vp_generation,three_hidden,0.9011844010385311,0.009173882949719547,0.6691461111224464,0.02882286980593713,0.6172410064568078,0.030217312644004596
qwen3_vl_8b,vp_generation,one_hidden,0.8787117046751399,0.0036596102799913138,0.6333110331289072,0.0032031834644752686,0.5443605530256878,0.012647838157043874
qwen3_vl_8b,vp_generation,xgb,0.9121871517262031,0.0,0.7018966384335247,1.1102230246251565e-16,0.5873959571938169,0.0
qwen3_vl_8b,ae_only_visual,three_hidden,0.8373219848171919,0.0039512972580504615,0.5475234474082777,0.006483181052794749,0.48592812245994116,0.0139050334936409
qwen3_vl_8b,ae_only_visual,one_hidden,0.8038166949144694,0.005991942393826756,0.49218651002438535,0.010779447958498193,0.3501177083711637,0.019178233609576018
qwen3_vl_8b,ae_only_visual,xgb,0.8121428505274467,1.1102230246251565e-16,0.501217996943044,0.0,0.32857142857142857,0.0
qwen3_vl_8b,ae_only_visual_prompt_sum,three_hidden,0.8640161583605778,0.004404184336002425,0.5885285163032422,0.007317519187543224,0.4238983501064891,0.04495875121045886
qwen3_vl_8b,ae_only_visual_prompt_sum,one_hidden,0.8276401662143931,0.002915469679310535,0.5610297978689088,0.004701208891545771,0.370719648202384,0.027104536881563984
qwen3_vl_8b,ae_only_visual_prompt_sum,xgb,0.8777367953099388,1.1102230246251565e-16,0.6358050337955604,0.0,0.5390898483080513,0.0
qwen3_vl_8b,ae_only_generation,three_hidden,0.768961401873102,0.009963618588796755,0.4614026075554148,0.01587126110549249,0.35784932649636453,0.02177412699778586
qwen3_vl_8b,ae_only_generation,one_hidden,0.70350599481146,0.0032337960075541905,0.3467675290076035,0.004516166917287383,0.07162238987793142,0.018315078035411856
qwen3_vl_8b,ae_only_generation,xgb,0.7663698331990405,0.0,0.44649618456665413,0.0,0.3710292249047014,0.0
qwen3_vl_8b,ae_only_vp_generation,three_hidden,0.8619446528298741,0.0058258388404747305,0.6188005879159276,0.006652249403809792,0.5157835033209912,0.020560925151839334
qwen3_vl_8b,ae_only_vp_generation,one_hidden,0.7909851691317891,0.004267773833042842,0.5165247838358855,0.005915676951890259,0.38161438369782097,0.009183679532941164
qwen3_vl_8b,ae_only_vp_generation,xgb,0.8915207196860943,1.1102230246251565e-16,0.6520223840282359,0.0,0.48741721854304637,0.0
