model,variant,selected,validation_AUROC,validation_HALL_AUPR,AUROC_mean,AUROC_std,HALL_AUPR_mean,HALL_AUPR_std
minigpt4_7b,ae_logs,False,0.9227234290137837,0.7716767490716568,0.9353118393623996,0.00013190409493843116,0.7794824844586997,0.002047370499014408
minigpt4_7b,raw_top16,False,0.9343352538453384,0.791858400632853,0.9337895339044433,0.000778645936789916,0.7686102361053163,0.003067644123637582
minigpt4_7b,raw_top32,False,0.9334304683436017,0.7913356868482572,0.931977499343199,0.0012429458842490285,0.7607335297075511,0.0049037676308458025
minigpt4_7b,norm_top16,False,0.9389306766661489,0.8037904359225888,0.9346464445573898,0.0005403626012797506,0.7683118718098555,0.0025077219103799343
minigpt4_7b,norm_top32,True,0.9390588751568583,0.8036362246740868,0.9347372918185902,0.0005907815084396781,0.7683744852593642,0.002894660114418666
shikra_7b,ae_logs,False,0.8617869538646034,0.6568426139927782,0.862174313980795,0.001841671498372907,0.6442928311351763,0.008433663178561722
shikra_7b,raw_top16,True,0.8826945177942029,0.6819607293328099,0.8782223722007689,0.0012168559185899994,0.685054700147823,0.0024788500495202858
shikra_7b,raw_top32,False,0.8816889214318385,0.6782256945261214,0.8789694351503731,0.0018681643751356082,0.6900355472487364,0.005319355676588823
shikra_7b,norm_top16,False,0.8819795978767647,0.6816091527473418,0.8748160198311256,0.002250200215055538,0.6824307378236885,0.007476081127808286
shikra_7b,norm_top32,False,0.8819834415322347,0.681590530936052,0.8734227049833555,0.0029777282230854223,0.6753169828064097,0.004979968058916818
