model,scope,metric,layers,real_layer_mean,hall_layer_mean,hall_minus_real,hall_higher_layers,mixed_images,paired_mean_hall_minus_real
internvl_2_5_8b,all,leakage_ratio,32,0.9121670271131461,0.9126339626368362,0.0004669355236900617,20,161,0.0006460925361212
internvl_2_5_8b,all,offdiag_ratio,32,0.8094718683370142,0.8112858043215353,0.001813935984521009,21,161,0.0028973759841460804
internvl_2_5_8b,all,rank,32,256.0,256.0,0.0,0,161,0.0
internvl_2_5_8b,all,scalar_error_full,32,0.9659506599774221,0.9664608828631704,0.0005102228857484098,21,161,0.0008317666560850206
internvl_2_5_8b,all,scalar_error_projected,32,0.8140724506661658,0.816002676410996,0.0019302257448302815,22,161,0.003019869040293384
internvl_2_5_8b,all,sigma_B_cv,32,0.7984639302633576,0.8041280848885468,0.005664154625188992,21,161,0.008701951681796062
internvl_2_5_8b,all,sigma_B_p90_p10,32,9.366908341502915,9.382385409146604,0.015477067643687337,21,161,0.04155121936502637
internvl_2_5_8b,all,sigma_Y_cv,32,0.373760734603737,0.3756849373079865,0.0019242027042495422,17,161,0.003120922435893076
internvl_2_5_8b,all,sigma_Y_p90_p10,32,2.150465969295911,2.159867359989813,0.009401390693901696,21,161,0.008880637550543916
internvl_2_5_8b,all,span_c,32,-0.1096967045121289,-0.10928153974094597,0.00041516477118294306,20,161,0.0010911173241741185
internvl_2_5_8b,train,leakage_ratio,32,0.9122177143920823,0.9127531060984415,0.0005353917063591757,20,137,0.0007845679698207186
internvl_2_5_8b,train,offdiag_ratio,32,0.8096921899277475,0.8118263922037711,0.002134202276023546,21,137,0.003640184139955926
internvl_2_5_8b,train,rank,32,256.0,256.0,0.0,0,137,0.0
internvl_2_5_8b,train,scalar_error_full,32,0.9660007043913306,0.9665810587861272,0.0005803543947966519,21,137,0.0010135794665156713
internvl_2_5_8b,train,scalar_error_projected,32,0.8142896607632865,0.8165426355234842,0.0022529747601977013,22,137,0.0037647119701257736
internvl_2_5_8b,train,sigma_B_cv,32,0.798451287805642,0.8046960377592035,0.006244749953561415,21,137,0.009948710818419547
internvl_2_5_8b,train,sigma_B_p90_p10,32,9.372682698118307,9.395407873859266,0.022725175740957365,22,137,0.05859773194076379
internvl_2_5_8b,train,sigma_Y_cv,32,0.37374465090640235,0.3758491656912549,0.0021045147848526204,18,137,0.003383342881276048
internvl_2_5_8b,train,sigma_Y_p90_p10,32,2.1506528439313013,2.1604926784849896,0.009839834553688177,22,137,0.009251848617381654
internvl_2_5_8b,train,span_c,32,-0.1095863649937345,-0.10894734045252563,0.0006390245412088745,21,137,0.0014704727094390253
internvl_2_5_8b,test,leakage_ratio,32,0.9119522293819164,0.911958816354406,6.5869724896437665e-06,18,24,-0.00014437139791355182
internvl_2_5_8b,test,offdiag_ratio,32,0.808538210448415,0.8082224729888654,-0.00031573745954949564,14,24,-0.0013428205719351214
internvl_2_5_8b,test,rank,32,256.0,256.0,0.0,0,24,0.0
internvl_2_5_8b,test,scalar_error_full,32,0.9657385865184819,0.9657798859664153,4.129944793342458e-05,18,24,-0.0002060814701232761
internvl_2_5_8b,test,scalar_error_projected,32,0.8131519783693506,0.8129429081068964,-0.0002090702624543625,16,24,-0.0012319426841665036
internvl_2_5_8b,test,sigma_B_cv,32,0.7985175052685951,0.8009096852881582,0.002392180019562991,12,24,0.0015850349435703316
internvl_2_5_8b,test,sigma_B_p90_p10,32,9.342438322075395,9.308591442441518,-0.033846879633876586,14,24,-0.055755956588141496
internvl_2_5_8b,test,sigma_Y_cv,32,0.373828892567032,0.3747543098027986,0.0009254172357665638,14,24,0.0016229390601652767
internvl_2_5_8b,test,sigma_Y_p90_p10,32,2.149674049734463,2.1563238885171465,0.00664983878268325,20,24,0.0067616410440118225
internvl_2_5_8b,test,span_c,32,-0.11016429083188228,-0.11117533570866121,-0.0010110448767789246,11,24,-0.0010743696667130567
llava_1_5_7b,all,leakage_ratio,32,0.8598560059195741,0.8590926470275096,-0.0007633588920644904,15,241,5.241642809606097e-05
llava_1_5_7b,all,offdiag_ratio,32,0.8614962373569435,0.8597291938567764,-0.001767043500167112,13,241,-0.0002678740008222141
llava_1_5_7b,all,rank,32,575.9997297072522,575.9993055555556,-0.0004241516966061454,0,241,-0.000258564265955356
llava_1_5_7b,all,scalar_error_full,32,0.9598637016673226,0.9588568635653705,-0.0010068381019520747,10,241,-0.0002791617818001755
llava_1_5_7b,all,scalar_error_projected,32,0.8640926875948358,0.8622345846347725,-0.0018581029600632064,11,241,-0.0003305618747949289
llava_1_5_7b,all,sigma_B_cv,32,0.8148620202180841,0.8081738077066409,-0.006688212511443015,8,241,-0.0052286497347379095
llava_1_5_7b,all,sigma_B_p90_p10,32,11.664242166127105,11.516067168959292,-0.1481749971678106,10,241,-0.11190724165269517
llava_1_5_7b,all,sigma_Y_cv,32,0.46790502057272365,0.4651637497099838,-0.002741270862739835,9,241,-0.00248701815836382
llava_1_5_7b,all,sigma_Y_p90_p10,32,2.8123013878319902,2.7981605233923075,-0.014140864439683154,12,241,-0.013743316545817001
llava_1_5_7b,all,span_c,32,-0.10882278397139589,-0.11021177215273731,-0.0013889881813414129,17,241,-0.0005721863740295729
llava_1_5_7b,train,leakage_ratio,32,0.8597711514845625,0.8589812679588222,-0.0007898835257403695,14,196,0.00018635233696485387
llava_1_5_7b,train,offdiag_ratio,32,0.8613049894031957,0.8595147227779634,-0.0017902666252322293,11,196,7.648744397067446e-05
llava_1_5_7b,train,rank,32,575.9997161436829,575.9993333333333,-0.0003828103495706614,0,196,-0.0002647822521866148
llava_1_5_7b,train,scalar_error_full,32,0.9597940814572646,0.958771010825195,-0.0010230706320696198,10,196,-0.00015484750721796967
llava_1_5_7b,train,scalar_error_projected,32,0.8639014657518929,0.8620202483489319,-0.0018812174029611411,11,196,8.808335514590653e-06
llava_1_5_7b,train,sigma_B_cv,32,0.8149390426776838,0.8081180289759892,-0.0068210137016946545,8,196,-0.00494413814497775
llava_1_5_7b,train,sigma_B_p90_p10,32,11.659989055064976,11.515680049570221,-0.14430900549475373,11,196,-0.09565721148794944
llava_1_5_7b,train,sigma_Y_cv,32,0.4680687979374609,0.4651781872747024,-0.0028906106627585356,9,196,-0.0024559973283294076
llava_1_5_7b,train,sigma_Y_p90_p10,32,2.8123682870584013,2.798401980827848,-0.013966306230553407,12,196,-0.01294484780584941
llava_1_5_7b,train,span_c,32,-0.10882790101077426,-0.11030710031237387,-0.0014791993015996025,17,196,-0.0003251026449247135
llava_1_5_7b,test,leakage_ratio,32,0.8602079193469677,0.8596495423709464,-0.0005583769760213429,16,45,-0.0005309488638657925
llava_1_5_7b,test,offdiag_ratio,32,0.862289392398,0.8608015492508408,-0.0014878431471592908,16,45,-0.001767759404809016
llava_1_5_7b,test,rank,32,575.9997859589041,575.9991666666667,-0.0006192922374452792,1,45,-0.00023148148148142883
llava_1_5_7b,test,scalar_error_full,32,0.9601524347987616,0.959286127266248,-0.0008663075325136584,15,45,-0.0008206195110915613
llava_1_5_7b,test,scalar_error_projected,32,0.8648857343475884,0.8633062660639765,-0.0015794682836118706,17,45,-0.001808707679698614
llava_1_5_7b,test,sigma_B_cv,32,0.8145425880311817,0.8084527013598999,-0.006089886671281911,7,45,-0.006467855770137714
llava_1_5_7b,test,sigma_B_p90_p10,32,11.681880924675866,11.518002765904654,-0.16387815877121115,11,45,-0.18268515081469866
llava_1_5_7b,test,sigma_Y_cv,32,0.4672257932141728,0.465091561886391,-0.0021342313277818905,10,45,-0.0026221311069581483
llava_1_5_7b,test,sigma_Y_p90_p10,32,2.8120239393279367,2.7969532362146037,-0.015070703113332792,13,45,-0.017221091502120287
llava_1_5_7b,test,span_c,32,-0.10880156227726162,-0.10973513135455451,-0.0009335690772928987,19,45,-0.0016483732830196273
qwen2_5_vl_7b,all,leakage_ratio,28,0.8594732493171616,0.8595700892698457,9.683995268403816e-05,11,95,0.0011159845046848714
