model,group,AUROC_mean,AUROC_std,HALL_AUPR_mean,HALL_AUPR_std,HALL_F1_mean,HALL_F1_std
minigpt4_7b,attention_ratio,0.8833519749394513,0.0037283268787576132,0.5710955576794748,0.010156300691311427,0.43201859035392093,0.03140283961763376
minigpt4_7b,gated_ratio,0.8886229742463535,0.0028913034400827294,0.6124906742657427,0.009119907390262841,0.4751046455286527,0.020943278041845537
minigpt4_7b,F_reference,0.9090652232320166,0.0014804165006792897,0.6548550849861258,0.01035065036045328,0.5935384528836282,0.017686764729702032
shikra_7b,attention_ratio,0.8413038445310232,0.0014231871070316169,0.568126066119684,0.0004386234465729367,0.4258597920720348,0.02623058116970078
shikra_7b,gated_ratio,0.8327907611524825,0.0008656419258588506,0.5549820571601028,0.005186371269180179,0.4651323877798364,0.03374428692295537
shikra_7b,F_reference,0.8626470433112502,0.0030761177066625394,0.6048066929815558,0.007944529982881206,0.5599159206883082,0.010561584122309257
qwen2_5_vl_7b,attention_ratio,0.7829130022189532,0.00659322134055666,0.25652879737132844,0.007057289348818641,0.0619011358588743,0.004761934185039822
qwen2_5_vl_7b,gated_ratio,0.8122815001393461,0.001567656790381543,0.2984849788806884,0.009389417922938972,0.10635165118317602,0.03353191485980213
qwen2_5_vl_7b,F_reference,0.874488623602277,0.0008451358710269548,0.43982126471102706,0.016776119232432937,0.3840124438163654,0.03469319028128999
llava_1_5_7b,attention_ratio,0.8757123325383104,0.0009625550947623077,0.6529553102520204,0.0029414089363724795,0.5736727120217435,0.0386491207146807
llava_1_5_7b,gated_ratio,0.8723476169282565,0.002596974698019565,0.6498837945375395,0.005473783726975302,0.5700758522275313,0.002595145123952871
llava_1_5_7b,F_reference,0.9001515192729853,0.00272196496534372,0.708153265166643,0.006193537416397996,0.6678826953021465,0.000727719399986193
qwen3_vl_8b,attention_ratio,0.8463942117216546,0.0028439498153216484,0.5346857060912001,0.005657090762334897,0.3706925089362958,0.05774545616729335
qwen3_vl_8b,gated_ratio,0.8547153506483616,0.004207060709203034,0.556165646179619,0.006867702176214038,0.40344542515268517,0.02601418143346258
qwen3_vl_8b,F_reference,0.8865496981241195,0.0030478083329301894,0.6283199927748971,0.003527532443769331,0.5883858737391513,0.01088252870379275
internvl_2_5_8b,attention_ratio,0.8251429046993438,0.005459519175344983,0.4372029688677655,0.01276860622627043,0.25874297073146385,0.03490229522242409
internvl_2_5_8b,gated_ratio,0.8332612356650252,0.0010865992238090752,0.45171539716505826,0.005700902302543128,0.24771911278084016,0.033436370211981946
internvl_2_5_8b,F_reference,0.8582539813934611,0.005868731996798687,0.5303403431153165,0.012005098836062829,0.5137842569808772,0.0036228284528562783
