model,group,AUROC_vs_F,HALL_AUPR_vs_F
minigpt4_7b,attention_ratio,-0.02571324829256527,-0.08375952730665093
minigpt4_7b,gated_ratio,-0.020442248985663047,-0.042364410720383106
shikra_7b,attention_ratio,-0.021343198780226946,-0.03668062686187179
shikra_7b,gated_ratio,-0.029856282158767677,-0.04982463582145291
qwen2_5_vl_7b,attention_ratio,-0.09157562138332376,-0.18329246733969862
qwen2_5_vl_7b,gated_ratio,-0.06220712346293089,-0.14133628583033864
llava_1_5_7b,attention_ratio,-0.024439186734674934,-0.05519795491462265
llava_1_5_7b,gated_ratio,-0.027803902344728848,-0.05826947062910348
qwen3_vl_8b,attention_ratio,-0.04015548640246491,-0.093634286683697
qwen3_vl_8b,gated_ratio,-0.031834347475757974,-0.07215434659527808
internvl_2_5_8b,attention_ratio,-0.03311107669411728,-0.09313737424755103
internvl_2_5_8b,gated_ratio,-0.024992745728435906,-0.07862494595025826
