model,seed,AUROC_delta,HALL_AUPR_delta,HALL_F1_delta
qwen2_5_vl_7b,43,-0.024849453375525132,-0.030318859575005686,-0.11337215838823556
qwen2_5_vl_7b,44,-0.031215273735567095,-0.04467645735081616,-0.11620812708645101
qwen2_5_vl_7b,45,-0.03321727044065104,-0.061179922960687305,-0.08527947261378777
llava_1_5_7b,43,-0.003001447477852248,-0.009773836761271637,0.022172815405286594
llava_1_5_7b,44,-0.00921616846072515,-0.02477448164148044,-0.046258527591787835
llava_1_5_7b,45,-0.003952928321197535,-0.004511475985971014,-0.04363203596673371
qwen3_vl_8b,43,0.001953806352822829,0.015640150433074762,0.0766233766233766
qwen3_vl_8b,44,-0.03176488566586089,-0.045343074752227985,-0.030095784597058084
qwen3_vl_8b,45,0.007863076880331166,0.025809072554961565,0.029397727833762155
internvl_2_5_8b,43,0.00018358202578427907,0.010541865989300736,0.017307870039740825
internvl_2_5_8b,44,-0.001798436281682747,-0.005101233954514672,-0.06761674718196459
internvl_2_5_8b,45,0.0035634940132234227,0.011937090729257638,0.03833841463414639
