model,seed,bn_was_already_disabled,reused_training,best_epoch,AUROC,HALL_AUPR
llava_1_5_7b,42,False,False,18,0.8984041044301629,0.6845529757596635
llava_1_5_7b,43,False,False,14,0.8961371795248017,0.6836944808237855
llava_1_5_7b,44,False,False,16,0.8976802535434456,0.6851476672153415
