model,group,classifier,AUROC_old82_same400,HALL_AUPR_old82_same400,AUROC_delta_pp,HALL_AUPR_delta_pp
internvl_2_5_8b,visual,three_hidden,0.8702159244264508,0.5658197888382405,0.1362058993637949,-1.6478828038060334
internvl_2_5_8b,visual,one_hidden,0.859251012145749,0.5692870359607083,-0.1513398881819894,-0.5333697485760402
internvl_2_5_8b,visual,xgb,0.8598582995951417,0.5033174954944857,-0.424233661075768,0.03335279186018614
internvl_2_5_8b,visual_prompt_sum,three_hidden,0.8716782340466551,0.527811887550234,-0.4252940042413722,-0.8583317861124873
internvl_2_5_8b,visual_prompt_sum,one_hidden,0.8275062656641605,0.48601915339326673,0.0,0.0
internvl_2_5_8b,visual_prompt_sum,xgb,0.863207056101793,0.5157560402103539,0.0,0.0
internvl_2_5_8b,generation,three_hidden,0.8483738191632927,0.5001396952746348,-0.010796221322528776,-0.3089804421369302
internvl_2_5_8b,generation,one_hidden,0.8146818970503181,0.4171319111328875,0.6813186813186656,3.0949163294129054
internvl_2_5_8b,generation,xgb,0.8261683053788319,0.45545491652871556,-0.09196067090806448,0.11270383812161389
internvl_2_5_8b,vp_generation,three_hidden,0.8686070946597262,0.5482974079869112,0.35106998264894385,-1.5326969392752798
internvl_2_5_8b,vp_generation,one_hidden,0.8424455369192211,0.49430488354307717,0.15538847117794186,1.0896398518057293
internvl_2_5_8b,vp_generation,xgb,0.8772816657027184,0.5826781838270595,0.6631000578368962,-2.3528065752366434
internvl_2_5_8b,ae_only_visual,three_hidden,0.8468796992481202,0.4700617112551571,-0.8128012338538437,-0.9035347446482489
internvl_2_5_8b,ae_only_visual,one_hidden,0.8062165027954501,0.42522114408508105,-0.08058608058607586,-0.14220581881567163
internvl_2_5_8b,ae_only_visual,xgb,0.8165962984384038,0.4320748619790387,0.0,0.0
internvl_2_5_8b,ae_only_visual_prompt_sum,three_hidden,0.8247243107769423,0.4587220697483634,-2.340852130325799,-6.378684117298889
internvl_2_5_8b,ae_only_visual_prompt_sum,one_hidden,0.7568295739348372,0.3684484269038047,-0.5882012724118035,-0.19111397625332094
internvl_2_5_8b,ae_only_visual_prompt_sum,xgb,0.8056448814343552,0.44375882714205145,0.9788895315210988,1.121388736001716
internvl_2_5_8b,ae_only_generation,three_hidden,0.771302294197031,0.3850251722219979,0.20715249662617286,0.7106043775851278
internvl_2_5_8b,ae_only_generation,one_hidden,0.7342442645074222,0.32825501494985776,0.745710429920976,-0.07270659168503446
internvl_2_5_8b,ae_only_generation,xgb,0.7356477732793523,0.33657472662414895,-1.0769230769230975,-2.4924965319230887
internvl_2_5_8b,ae_only_vp_generation,three_hidden,0.8220175438596491,0.4664333847443363,0.5037593984962396,-1.0085131954063797
internvl_2_5_8b,ae_only_vp_generation,one_hidden,0.7906834393676498,0.43255865678725475,0.0,0.0
internvl_2_5_8b,ae_only_vp_generation,xgb,0.8294303065355697,0.47008708703395924,-0.28629265471368237,-0.9503174487161592
internvl_2_5_8b,legacy_visual,three_hidden,0.8753566608829767,0.5594123978891413,-0.8020050125313372,-1.4345448188426868
