model,left,right,AUROC_delta,HALL_AUPR_delta,seed43_delta,seed44_delta,seed45_delta
qwen2_5_vl_7b,B,AE_I,0.010713769151259211,0.015382267409386918,0.007605823605569495,0.010657325191292144,0.010018802894164125
qwen2_5_vl_7b,B,F,-0.0011041849668568249,0.002352853689723433,-0.0023953405511046855,0.002374174066117063,-0.011648622238214612
qwen2_5_vl_7b,F_C,F,-0.0006279390546340968,0.01388176837199473,0.0012911555842480826,-0.004790681102209371,-0.004519044544867623
qwen2_5_vl_7b,AE_I_SC,B,-0.0065175135024534425,-0.006788758427723363,0.002104301382524265,-0.014135684224266032,-0.006215891091379322
qwen2_5_vl_7b,B_SC,B,-2.1166484987511502e-05,-0.00919255568520394,1.4110989991822365e-05,-0.00863239812747163,0.012957416559952195
qwen2_5_vl_7b,B_JS_TC,B_JS_TE,0.007574073878088283,0.010628396711343302,0.005785505896629961,0.02005348065206891,0.006808552671033974
qwen2_5_vl_7b,B_OT_TC,B_OT_TE,-0.007076661480877711,-0.0004736657505031716,0.004862999925917211,-0.01596129355445275,-0.0030691403232122605
qwen2_5_vl_7b,B_JS_TC,B,0.0016333470915487203,4.505034811164155e-05,0.00014110989991777956,0.009648389406879843,0.011264097760938507
qwen2_5_vl_7b,B_OT_TC,B,-0.008367817065125682,-0.012636485658043595,-0.0010565603756345077,-0.013029735383660257,0.0015980696165690533
llava_1_5_7b,B,AE_I,0.0034563525525905803,-0.001070687555236871,0.006160317576987984,0.0034410154222080935,-0.004759140495638192
llava_1_5_7b,B,F,0.0011725670247068054,-0.0019468454601111462,0.007311759874941481,0.0014911742049144028,-0.00782280463447571
llava_1_5_7b,F_C,F,-0.00013832355326004464,0.0008084158134553654,0.003958137157931252,-0.0007179513297871365,-0.0006621010248095693
llava_1_5_7b,AE_I_SC,B,0.0010909619158796513,0.003036512890613463,-0.0023827534258227256,0.0005003377062483549,0.009651395707802823
llava_1_5_7b,B_SC,B,-0.0015180865280384204,0.0008912204256679157,-0.008716409514113899,-0.0017270187570209705,0.006559661726567412
llava_1_5_7b,B_JS_TC,B_JS_TE,0.0019993251662629996,0.008283341356763008,0.007599403414566108,-0.003537378901780297,0.0029965280209373057
llava_1_5_7b,B_OT_TC,B_OT_TE,0.0027022287454865346,-0.0001644581574333781,0.011930840538408427,0.002150960191175999,0.00028793291944295696
llava_1_5_7b,B_JS_TC,B,0.0007243176857947287,0.0094080912367569,0.0010154337832419813,-0.0024264497784217687,0.0018719980461076036
llava_1_5_7b,B_OT_TC,B,0.0018242503760490525,0.0060866014101883525,0.0021830813510334,-0.00048818375386960877,0.006554163510015143
qwen3_vl_8b,B,AE_I,0.010266455502764726,0.03266019714228241,-0.021327862829905175,0.033560087552752416,-0.00698091189464034
qwen3_vl_8b,B,F,0.0002377137494250503,0.015578564248874271,-0.02190478175099342,0.011880284886036208,-0.022951339686773542
qwen3_vl_8b,F_C,F,-0.0022868371413842237,-0.0001389577068755532,-0.0007818312602843047,0.0006359614595007335,-0.001290446068307305
qwen3_vl_8b,AE_I_SC,B,0.00039207332697366315,0.008092038278691982,0.010512659028954818,0.003770618580571261,0.01180271919831799
qwen3_vl_8b,B_SC,B,0.0032716512461448133,0.004256256770406086,0.01407990886610555,-0.0032454101179615336,0.023845853438668296
qwen3_vl_8b,B_JS_TC,B_JS_TE,-0.013707516385269125,-0.03944829369581415,-0.010576718253637596,-0.013787783365594497,-0.07045202658689353
qwen3_vl_8b,B_OT_TC,B_OT_TE,-0.017842037669911437,-0.04367299439415917,-0.019711718052970006,-0.004838015059320355,-0.03664689320478287
qwen3_vl_8b,B_JS_TC,B,-0.006437180282725108,-0.0193197200039682,0.005928951373645908,-0.014695803580524691,-0.04841642509392774
qwen3_vl_8b,B_OT_TC,B,-0.014761792299927023,-0.03437958592299328,-0.0049337179974005,-0.016229751882415044,-0.01089701437705115
internvl_2_5_8b,B,AE_I,0.007327259327301938,-0.01274202556971804,0.016560433867746083,0.001450631789197021,-0.003571504865257591
internvl_2_5_8b,B,F,0.00666369375046727,-0.008999066237697417,0.015766691945355293,0.000835131324567695,-0.010665781912564398
internvl_2_5_8b,F_C,F,-0.008608995652777618,-0.019942396261983242,-0.013201884152398424,-0.0031963299616546426,-0.011514264657189077
internvl_2_5_8b,AE_I_SC,B,-0.0026936489965072585,0.0067807780932243045,-0.0020854918129091793,0.013430861006376693,-0.011283285090202155
internvl_2_5_8b,B_SC,B,-0.0008798585817586524,0.018656513342037995,-0.0027056652745583998,0.0050134582314176335,-0.0030841780331754
internvl_2_5_8b,B_JS_TC,B_JS_TE,-0.003640264678551275,-0.035625269872494036,-0.0026362378902620165,-0.02984709953750686,-0.00503014750648878
internvl_2_5_8b,B_OT_TC,B_OT_TE,-0.003248400499877291,0.007499179807591072,-0.000779722931331106,6.008139025670545e-05,-0.005982771327558423
internvl_2_5_8b,B_JS_TC,B,0.003375238990419027,0.013329701809099648,0.0009586319600952686,-0.02061726285207688,0.015245986563131031
internvl_2_5_8b,B_OT_TC,B,-0.0029346421285367796,0.02083605567990021,-0.007526195486151965,-0.000682257564914357,-0.007239139954925533
