model,images,no_target_images,unique_targets,train_mentions,test_mentions,target_layers,degenerate,closure_median,closure_p90,closure_max,closure_over_1pct,input_relative_max,norm_relative_max,quadrature_relative_p90,quadrature_relative_max,source_output_relative_p90,source_output_relative_max
qwen2_5_vl_7b,4000,321,8654,6985,1732,242312,0,0.0013591331662610173,0.005402628285810351,0.09513211995363235,7847,0.011780617758631706,0.01712857373058796,2.388608436376671e-07,1.0492656201677164e-06,0.005402625678107142,0.095132015645504
llava_1_5_7b,4000,29,14951,12317,3146,478432,0,0.000127599632833153,0.00016537078918190672,0.0005446533905342221,0,0.0009212376899085939,0.0006745407008565962,1.970493784142491e-07,2.3779119828759576e-07,0.00016537031478947029,0.0005446437862701714
qwen3_vl_8b,4000,57,14704,11846,3027,529344,0,0.0012089406372979283,0.0023655247874557993,0.11619437485933304,21295,0.004924281500279903,0.004263828508555889,2.141145927225807e-07,1.7765294160199119e-06,0.0023655208060517924,0.1161947026848793
internvl_2_5_8b,4000,73,11630,9378,2381,372160,0,0.0009679120848886669,0.001260658074170351,0.003383902134373784,0,0.004393847659230232,0.003989199176430702,1.731580482555728e-07,2.4140624077517714e-07,0.00126065673539415,0.0033838998060673475
