model,group,seed,threshold_rule,threshold,AUROC,HALL_AUPR,HALL_precision,HALL_recall,HALL_F1
qwen2_5_vl_7b,AE_I,43,fixed_0.5,0.5,0.8646403285038471,0.42365724481410655,0.5416666666666666,0.21311475409836064,0.3058823529411765
qwen2_5_vl_7b,AE_I,43,train_f1,0.5450364351272583,0.8646403285038471,0.42365724481410655,0.5238095238095238,0.3005464480874317,0.3819444444444444
qwen2_5_vl_7b,AE_I,44,fixed_0.5,0.5,0.8651024634260778,0.41499824480434233,0.46496815286624205,0.3989071038251366,0.4294117647058823
qwen2_5_vl_7b,AE_I,44,train_f1,0.46334555745124817,0.8651024634260778,0.41499824480434233,0.4748201438848921,0.36065573770491804,0.40993788819875776
qwen2_5_vl_7b,AE_I,45,fixed_0.5,0.5,0.8537713384626782,0.4237964254287473,0.4866666666666667,0.3989071038251366,0.43843843843843844
qwen2_5_vl_7b,AE_I,45,train_f1,0.4645499587059021,0.8537713384626782,0.4237964254287473,0.5234375,0.366120218579235,0.43086816720257237
qwen2_5_vl_7b,B,43,fixed_0.5,0.5,0.8722461521094166,0.44556765415814137,0.5522388059701493,0.40437158469945356,0.4668769716088328
qwen2_5_vl_7b,B,43,train_f1,0.49231889843940735,0.8722461521094166,0.44556765415814137,0.5625,0.39344262295081966,0.4630225080385852
qwen2_5_vl_7b,B,44,fixed_0.5,0.5,0.8757597886173699,0.4379074692786177,0.576271186440678,0.18579234972677597,0.2809917355371901
qwen2_5_vl_7b,B,44,train_f1,0.6568276286125183,0.8757597886173699,0.4379074692786177,0.5045871559633027,0.3005464480874317,0.3767123287671233
qwen2_5_vl_7b,B,45,fixed_0.5,0.5,0.8637901413568423,0.4007658117848204,0.372,0.5081967213114754,0.4295612009237875
qwen2_5_vl_7b,B,45,train_f1,0.3451470732688904,0.8637901413568423,0.4007658117848204,0.48148148148148145,0.28415300546448086,0.35738831615120276
