model,F_AUROC,F_C_AUROC,AUROC_delta,F_HALL_AUPR,F_C_HALL_AUPR,HALL_AUPR_delta
qwen2_5_vl_7b,0.8821379560936546,0.8815100170390205,-0.0006279390546340968,0.4577398864795778,0.47162165485157254,0.01388176837199473
llava_1_5_7b,0.9049595649579559,0.9048212414046959,-0.00013832355326004464,0.7192761451308152,0.7200845609442705,0.0008084158134553654
qwen3_vl_8b,0.8965096212324687,0.8942227840910845,-0.0022868371413842237,0.6493415488427583,0.6492025911358827,-0.0001389577068755532
internvl_2_5_8b,0.8638121775632056,0.855203181910428,-0.008608995652777618,0.5461541422582844,0.5262117459963012,-0.019942396261983242
