model,seed,AUROC,HALL_AUPR
qwen2_5_vl_7b,42,0.8769254490787141,0.4684078286390289
qwen2_5_vl_7b,43,0.8806876879192043,0.4557146185820367
qwen2_5_vl_7b,44,0.8793153958831239,0.44839613938175515
