model,label,layer,n_mentions,mean,q25,median,q75,raw_q_softmax_js_real_auroc
qwen2_5_vl_7b,HALL,1,916,0.27528437972068787,0.24002420902252197,0.2771288752555847,0.30968427658081055,0.37320164977169534
qwen2_5_vl_7b,HALL,2,916,0.2336733639240265,0.20140214264392853,0.2311820685863495,0.26472869515419006,0.41662312076214614
qwen2_5_vl_7b,HALL,3,916,0.16985687613487244,0.14743797481060028,0.16795945167541504,0.18787579238414764,0.5163112415886666
qwen2_5_vl_7b,HALL,4,916,0.17058223485946655,0.14480790495872498,0.16631051898002625,0.19045192003250122,0.5535334737624613
qwen2_5_vl_7b,HALL,5,916,0.159051313996315,0.1339830905199051,0.1525745987892151,0.17715787887573242,0.6088711054287632
qwen2_5_vl_7b,HALL,6,916,0.13617217540740967,0.10631925612688065,0.12567384541034698,0.15500682592391968,0.5773686639659343
qwen2_5_vl_7b,HALL,7,916,0.13337472081184387,0.10932104289531708,0.12973038852214813,0.1526283621788025,0.6144784511447139
qwen2_5_vl_7b,HALL,8,916,0.11439382284879684,0.0929214358329773,0.108858123421669,0.13142752647399902,0.5755006216311983
qwen2_5_vl_7b,HALL,9,916,0.16193270683288574,0.12666678428649902,0.1557062566280365,0.19429299235343933,0.5723214440652273
qwen2_5_vl_7b,HALL,10,916,0.17304715514183044,0.14559167623519897,0.1684771478176117,0.19870121777057648,0.4888052505865052
qwen2_5_vl_7b,HALL,11,916,0.1409226804971695,0.11599031090736389,0.13649427890777588,0.16056297719478607,0.5895325954739875
qwen2_5_vl_7b,HALL,12,916,0.18825498223304749,0.1500583291053772,0.18522801995277405,0.21962252259254456,0.5113290256707655
qwen2_5_vl_7b,HALL,13,916,0.18952704966068268,0.15349894762039185,0.18800070881843567,0.22237485647201538,0.4716197788996932
qwen2_5_vl_7b,HALL,14,916,0.1931397020816803,0.1542135626077652,0.18929937481880188,0.22518499195575714,0.45055512981484286
qwen2_5_vl_7b,HALL,15,916,0.24199053645133972,0.20185229182243347,0.24025601148605347,0.2778145372867584,0.38807846547497826
qwen2_5_vl_7b,HALL,16,916,0.22911754250526428,0.1851666122674942,0.22572407126426697,0.27072399854660034,0.43760233404182314
qwen2_5_vl_7b,HALL,17,916,0.2944547235965729,0.2593836784362793,0.29309964179992676,0.32952651381492615,0.41255802777496337
