model,label,layer,n_mentions,mean,q25,median,q75,raw_q_softmax_js_real_auroc
internvl_2_5_8b,HALL,1,1766,0.13939744234085083,0.11004407703876495,0.1342911720275879,0.16225409507751465,0.5201112749479562
internvl_2_5_8b,HALL,2,1766,0.20577751100063324,0.1785590648651123,0.20454716682434082,0.23142126202583313,0.5083539224909306
internvl_2_5_8b,HALL,3,1766,0.21405060589313507,0.17940154671669006,0.21076694130897522,0.24505622684955597,0.5187617742385695
internvl_2_5_8b,HALL,4,1766,0.17602984607219696,0.14883483946323395,0.17185404896736145,0.20089252293109894,0.5746302989669212
internvl_2_5_8b,HALL,5,1766,0.15424026548862457,0.12708424031734467,0.1511896252632141,0.1767144650220871,0.6293277604629015
internvl_2_5_8b,HALL,6,1766,0.1722402423620224,0.14407943189144135,0.16916492581367493,0.19578145444393158,0.5825791814179325
internvl_2_5_8b,HALL,7,1766,0.15131445229053497,0.12294058501720428,0.14555013179779053,0.17399848997592926,0.6178527687387967
internvl_2_5_8b,HALL,8,1766,0.18510861694812775,0.1483992040157318,0.18022088706493378,0.21611621975898743,0.5326378521590255
internvl_2_5_8b,HALL,9,1766,0.14289774000644684,0.11487284302711487,0.13773563504219055,0.16600251197814941,0.6204927537611549
internvl_2_5_8b,HALL,10,1766,0.20469026267528534,0.16903531551361084,0.20287251472473145,0.24033372104167938,0.4871655628928925
internvl_2_5_8b,HALL,11,1766,0.19062751531600952,0.14869986474514008,0.18625152111053467,0.23091331124305725,0.5049517674829912
internvl_2_5_8b,HALL,12,1766,0.21682466566562653,0.17514801025390625,0.2155015766620636,0.25787466764450073,0.4759327848860001
internvl_2_5_8b,HALL,13,1766,0.25492408871650696,0.21251624822616577,0.2562321722507477,0.2966829240322113,0.3909217482815547
internvl_2_5_8b,HALL,14,1766,0.22076906263828278,0.18194390833377838,0.21872547268867493,0.2554214596748352,0.5338728332936113
internvl_2_5_8b,HALL,15,1766,0.24591273069381714,0.2047257423400879,0.2461952120065689,0.286443829536438,0.4497950660592653
internvl_2_5_8b,HALL,16,1766,0.2771696448326111,0.23591578006744385,0.27919143438339233,0.3192092776298523,0.34678870339475454
internvl_2_5_8b,HALL,17,1766,0.2702568769454956,0.23378293216228485,0.26984483003616333,0.3083285093307495,0.41945131694111126
internvl_2_5_8b,HALL,18,1766,0.27718427777290344,0.23542198538780212,0.28059524297714233,0.32271865010261536,0.5193890536512592
internvl_2_5_8b,HALL,19,1766,0.26651036739349365,0.23385602235794067,0.2678721249103546,0.2996218204498291,0.3909503923414567
internvl_2_5_8b,HALL,20,1766,0.2822945713996887,0.24607035517692566,0.28540095686912537,0.32169008255004883,0.38709888541458065
internvl_2_5_8b,HALL,21,1766,0.27488380670547485,0.23637083172798157,0.2745242118835449,0.31488361954689026,0.4415523765843339
internvl_2_5_8b,HALL,22,1766,0.2947259843349457,0.2531067132949829,0.2943750023841858,0.3396095633506775,0.43964489752113
internvl_2_5_8b,HALL,23,1766,0.29122623801231384,0.23216304183006287,0.2881307005882263,0.3514670133590698,0.5029154043164303
internvl_2_5_8b,HALL,24,1766,0.27480843663215637,0.21358031034469604,0.27383410930633545,0.3360328674316406,0.49274715970488514
