training,seed,auroc,hall_aupr,hall_precision,hall_recall,hall_f1,fixed_0_5_hall_precision,fixed_0_5_hall_recall,fixed_0_5_hall_f1,accuracy,decision_threshold,best_epoch
unweighted,43,0.8484900879057496,0.5003743391089998,0.5363321799307958,0.4155495978552279,0.46827794561933533,0.5358490566037736,0.3806970509383378,0.445141065830721,0.8521629567408652,0.5282214283943176,99
unweighted,44,0.843684911827222,0.5062959239965342,0.5546218487394958,0.353887399463807,0.4320785597381342,0.4416961130742049,0.6702412868632708,0.5324813631522897,0.8542629147417051,0.34725579619407654,100
unweighted,45,0.8542986232015637,0.5018097914605555,0.5319148936170213,0.4691689008042895,0.4985754985754986,0.5429553264604811,0.42359249329758714,0.4759036144578313,0.8521629567408652,0.5397257804870605,99
sqrt_hall_weight,43,0.8477303921045043,0.5125768646816363,0.55,0.4718498659517426,0.5079365079365079,0.4430604982206406,0.6675603217158177,0.532620320855615,0.8567828643427131,0.32302340865135193,99
sqrt_hall_weight,44,0.8424485703299404,0.49894136957623797,0.5102040816326531,0.40214477211796246,0.4497751124437781,0.38144329896907214,0.7935656836461126,0.515230635335074,0.8458630827383452,0.23050940036773682,100
sqrt_hall_weight,45,0.8539401375730322,0.5177828047232986,0.5224358974358975,0.43699731903485256,0.4759124087591241,0.4895833333333333,0.6300268096514745,0.5509964830011723,0.8492230155396892,0.3507048785686493,97
