model,group,regime,AUROC_mean,AUROC_std,HALL_AUPR_mean,HALL_AUPR_std
qwen2_5_vl_7b,visual,fixed_split,0.8811810962917277,0.0006882938107468419,0.4404487754970479,0.0039814016258186615
qwen2_5_vl_7b,visual,joint_split_training,0.8555726236921037,0.0289063474945142,0.49407357213129627,0.050187760803031965
qwen2_5_vl_7b,vp_generation,fixed_split,0.8767866779739418,0.00330710542755224,0.4653683329700784,0.010467274738566259
qwen2_5_vl_7b,vp_generation,joint_split_training,0.8783985209023425,0.005361042916993945,0.5092289203665413,0.013635084179654222
llava_1_5_7b,visual,fixed_split,0.8976672111851265,0.00104508890043222,0.6818739536606445,0.005230895662042842
llava_1_5_7b,visual,joint_split_training,0.8942632545902244,0.00037826024639946133,0.7100862957487459,0.014066708021893014
llava_1_5_7b,vp_generation,fixed_split,0.9000588536419155,0.0009524682512118293,0.7184790331058871,0.00391713617895199
llava_1_5_7b,vp_generation,joint_split_training,0.8995172745787013,0.004640175011376069,0.7140253670696569,0.006500890495018731
qwen3_vl_8b,visual,fixed_split,0.8962104683195592,0.00201936725386273,0.6806161890383274,0.0027763887235584717
qwen3_vl_8b,visual,joint_split_training,0.8813793650828337,0.005303616416585361,0.603943396161843,0.004504754809945567
qwen3_vl_8b,vp_generation,fixed_split,0.9287537190082645,0.0017302556393654618,0.7275400895756294,0.00425094723507859
qwen3_vl_8b,vp_generation,joint_split_training,0.9074057045743485,0.008039101184028114,0.6748941681572309,0.021879280977633704
internvl_2_5_8b,visual,fixed_split,0.8626672450356662,0.0006900200450092745,0.5316838623764891,0.007480568603841014
internvl_2_5_8b,visual,joint_split_training,0.8619513904112316,0.0011397643285519304,0.5349483962616352,0.007956593067039079
internvl_2_5_8b,vp_generation,fixed_split,0.8899277038750723,0.0037536905548888246,0.6007668425828918,0.007699218656464564
internvl_2_5_8b,vp_generation,joint_split_training,0.8697676977187628,0.004804773889554241,0.5594783448391913,0.004088521518545314
