model,group,regime,seed,AUROC,HALL_AUPR,test_mentions,test_hall_prevalence
qwen2_5_vl_7b,visual,joint_split_training,43,0.8592681258549932,0.4832397128234791,902,0.09534368070953436
qwen2_5_vl_7b,visual,joint_split_training,44,0.8889828197436598,0.5602374162830405,867,0.10957324106113034
qwen2_5_vl_7b,visual,joint_split_training,45,0.8184669254776584,0.43874358728736934,842,0.10332541567695962
qwen2_5_vl_7b,vp_generation,joint_split_training,43,0.8813981988144095,0.4899475442704582,902,0.09534368070953436
qwen2_5_vl_7b,vp_generation,joint_split_training,44,0.8829288246523044,0.5190809913855908,867,0.10957324106113034
qwen2_5_vl_7b,vp_generation,joint_split_training,45,0.8708685392403136,0.5186582254435749,842,0.10332541567695962
llava_1_5_7b,visual,joint_split_training,43,0.8939247519649529,0.7021576205497493,1532,0.2206266318537859
llava_1_5_7b,visual,joint_split_training,44,0.8947912303103409,0.7298512818808645,1489,0.23304231027535258
llava_1_5_7b,visual,joint_split_training,45,0.894073781495379,0.6982499848156238,1524,0.2211286089238845
llava_1_5_7b,vp_generation,joint_split_training,43,0.8955217408541724,0.7125267678386508,1532,0.2206266318537859
llava_1_5_7b,vp_generation,joint_split_training,44,0.8970068689845914,0.7226301116821642,1489,0.23304231027535258
llava_1_5_7b,vp_generation,joint_split_training,45,0.9060232138973401,0.7069192216881558,1524,0.2211286089238845
qwen3_vl_8b,visual,joint_split_training,43,0.8877824442053381,0.597589266981877,1461,0.16084873374401096
qwen3_vl_8b,visual,joint_split_training,44,0.874795081967213,0.6075179599591457,1478,0.17456021650879566
qwen3_vl_8b,visual,joint_split_training,45,0.8815605690759499,0.6067229615445063,1449,0.17322291235334714
qwen3_vl_8b,vp_generation,joint_split_training,43,0.9187601957585644,0.6900712297698971,1461,0.16084873374401096
qwen3_vl_8b,vp_generation,joint_split_training,44,0.9012310967086034,0.6906572326872206,1478,0.17456021650879566
qwen3_vl_8b,vp_generation,joint_split_training,45,0.902225821255878,0.6439540420145752,1449,0.17322291235334714
internvl_2_5_8b,visual,joint_split_training,43,0.8608851417655221,0.5420528741552672,1150,0.15391304347826087
internvl_2_5_8b,visual,joint_split_training,44,0.8614376482401621,0.538952998933237,1156,0.15311418685121106
internvl_2_5_8b,visual,joint_split_training,45,0.8635313812280105,0.5238393156964013,1168,0.1523972602739726
internvl_2_5_8b,vp_generation,joint_split_training,43,0.8765626723802558,0.5579881926007362,1150,0.15391304347826087
internvl_2_5_8b,vp_generation,joint_split_training,44,0.8663660024353226,0.5650616641355527,1156,0.15311418685121106
internvl_2_5_8b,vp_generation,joint_split_training,45,0.8663744183407104,0.5553851777812849,1168,0.1523972602739726
