feature,display,seed,input_dimensions,auroc,accuracy,real_f1,hall_f1,hall_aupr,best_epoch
union_i_only,Union I only,43,32,0.8731833458441876,0.8324856961220598,0.896646401255148,0.5582564962279967,0.6415828610793828,96
union_i_only,Union I only,44,32,0.8728592404474276,0.8334392879847425,0.895492620662146,0.5899843505477308,0.6368774599932684,95
union_i_only,Union I only,45,32,0.8743706712396393,0.8328035600762873,0.8946314102564102,0.5953846153846154,0.6447116029701884,100
union_r_only,Union R only,43,32,0.8775321457571421,0.8363000635727909,0.8967729003808378,0.6047582501918649,0.6502580886936863,91
union_r_only,Union R only,44,32,0.8788146771128922,0.8353464717101081,0.8965241709948062,0.5972006220839814,0.6520785472148581,91
union_r_only,Union R only,45,32,0.880312507053633,0.8312142403051493,0.8922702373706635,0.6104181951577403,0.653647313351262,100
union_s_only,Union S only,43,32,0.8737262223837605,0.8277177368086459,0.8893425888117599,0.6111908177905309,0.6224997657225722,99
union_s_only,Union S only,44,32,0.8777694372083413,0.8302606484424666,0.891683569979716,0.6079295154185022,0.6358098165651654,96
union_s_only,Union S only,45,32,0.8731862396423729,0.8258105530832803,0.8883000407664084,0.6046176046176046,0.6195108004948879,100
union_i_r_s,Union I + R + S,43,96,0.8847107909155572,0.8359821996185632,0.8940016433853739,0.6376404494382022,0.6489999265422167,98
union_i_r_s,Union I + R + S,44,96,0.8864971325353781,0.8391608391608392,0.8975293641150264,0.6262924667651403,0.6567148068529262,76
union_i_r_s,Union I + R + S,45,96,0.8833489694895282,0.8372536554354736,0.8966491723859508,0.617339312406577,0.6454059821719826,90
old_risk_ev,Original risk + EV,43,64,0.8871250867416005,0.8378893833439288,0.893705710712797,0.6586345381526104,0.6486088553420569,98
old_risk_ev,Original risk + EV,44,64,0.8901519996434841,0.8382072472981564,0.8956325610006152,0.6402826855123674,0.6632186045146182,99
old_risk_ev,Original risk + EV,45,64,0.8871467902279908,0.8334392879847425,0.8921810699588477,0.6340782122905028,0.6566971717112842,99
old_risk_ev_union_i,Original risk + EV + Union I,43,96,0.8898880852489796,0.8420216147488875,0.8969948186528497,0.6612133605998637,0.6679922895359319,97
old_risk_ev_union_i,Original risk + EV + Union I,44,96,0.8878679247357817,0.8439287984742531,0.8986584107327141,0.6606772633033863,0.6689612578061522,80
old_risk_ev_union_i,Original risk + EV + Union I,45,96,0.8889065089045065,0.8413858868404323,0.8972616841671814,0.6522648083623693,0.666186217595449,92
old_risk_ev_union_r,Original risk + EV + Union R,43,96,0.8945465215677671,0.8391608391608392,0.8965658217497956,0.6385714285714286,0.6658306975573635,100
old_risk_ev_union_r,Original risk + EV + Union R,44,96,0.8924548842393912,0.8432930705657978,0.9001417865100263,0.6361623616236163,0.6678742113086016,99
old_risk_ev_union_r,Original risk + EV + Union R,45,96,0.8928892433470133,0.8372536554354736,0.8947368421052632,0.6414565826330533,0.6553052212052123,100
old_risk_ev_union_s,Original risk + EV + Union S,43,96,0.893194828435387,0.8372536554354736,0.8949528108329914,0.6389280677009873,0.671720068161466,100
old_risk_ev_union_s,Original risk + EV + Union S,44,96,0.8900388521344367,0.8388429752066116,0.8950527841026703,0.6529774127310062,0.6747732313979993,97
old_risk_ev_union_s,Original risk + EV + Union S,45,96,0.8921464053528321,0.8321678321678322,0.8915811088295688,0.6286919831223629,0.6706437712291012,99
