model,comparison,metric,difference,low,high,replicates
qwen3_vl_8b,S_G_per_position minus S_G,AUROC,-0.011985674931129564,-0.024824153572227788,0.000786058759952419,2000
qwen3_vl_8b,S_G_per_position minus S_G,HALL_AUPR,-0.03738988948507249,-0.07217573968448118,-0.005622149724153677,2000
qwen3_vl_8b,S_G_per_position minus position,AUROC,0.18077961432506884,0.1465165839699221,0.21868789827249954,2000
qwen3_vl_8b,S_G_per_position minus position,HALL_AUPR,0.27967658700679,0.2214414772246706,0.3416076745801215,2000
qwen3_vl_8b,S_G minus position,AUROC,0.1927652892561984,0.15770849440289147,0.23145563632491184,2000
qwen3_vl_8b,S_G minus position,HALL_AUPR,0.3170664764918625,0.25543147819653955,0.37812835202100886,2000
