model,metric,scope,layers,paired_positive_layers,paired_negative_layers,paired_layer_mean,numerical_status,real_layer_mean,real_undefined_entries,hall_layer_mean,hall_undefined_entries
qwen2_5_vl_7b,b1_generation_norm,test,28,27,1,24.313428869005154,see full numerical report,144.95187926647935,0,160.4252415721683,0
qwen2_5_vl_7b,b1_prompt_norm,all,28,3,25,-3.9595303004508438,see full numerical report,70.55764245400867,0,65.94603318818918,0
qwen2_5_vl_7b,b1_prompt_norm,train,28,4,24,-3.5834514371331068,see full numerical report,70.44855292709659,0,65.97578479504189,0
qwen2_5_vl_7b,b1_prompt_norm,test,28,3,25,-6.560742438398522,see full numerical report,70.97616861975789,0,65.71652079246839,0
qwen2_5_vl_7b,b1_residual_norm,all,28,21,7,9.352826299791735,see full numerical report,226.15501612561522,0,233.03673409485413,0
qwen2_5_vl_7b,b1_residual_norm,train,28,20,8,9.140659083331943,see full numerical report,226.88478127131546,0,233.77696646849498,0
qwen2_5_vl_7b,b1_residual_norm,test,28,18,10,10.820316213638629,see full numerical report,223.35524407624578,0,227.32637006962437,0
qwen2_5_vl_7b,b1_residual_share,all,28,18,10,0.0014340694483615008,see full numerical report,0.5015216496026557,0,0.5026183865696249,0
qwen2_5_vl_7b,b1_residual_share,train,28,18,10,0.0011930198222244556,see full numerical report,0.5014851199289817,0,0.5025185980289143,0
qwen2_5_vl_7b,b1_residual_share,test,28,20,8,0.0031013293624760616,see full numerical report,0.5016617971006934,0,0.5033881838836775,0
qwen2_5_vl_7b,b1_residual_visual_generation_balance,all,28,2,26,-0.11889399217645898,see full numerical report,-0.2443416249117437,0,-0.36993094373734403,0
qwen2_5_vl_7b,b1_residual_visual_generation_balance,train,28,0,28,-0.12346395593783295,see full numerical report,-0.2505447993787207,0,-0.3784781933672598,0
qwen2_5_vl_7b,b1_residual_visual_generation_balance,test,28,5,23,-0.08728507616028905,see full numerical report,-0.2205429074855532,0,-0.3039950180208514,0
qwen2_5_vl_7b,b1_visual_norm,all,28,2,26,-9.979436422894677,see full numerical report,80.71479206744029,0,70.7890111368923,0
qwen2_5_vl_7b,b1_visual_norm,train,28,2,26,-10.231813868315518,see full numerical report,80.10926924168041,0,70.13061462309554,0
qwen2_5_vl_7b,b1_visual_norm,test,28,8,20,-8.233825758733845,see full numerical report,83.03790367780752,0,75.8680699576101,0
qwen2_5_vl_7b,b2_attention_residual_kappa,all,28,16,12,0.001396810447666028,B2_K4_PROVISIONAL,0.7952263807428473,0,0.7960345838111275,0
qwen2_5_vl_7b,b2_attention_residual_kappa,train,28,15,13,0.0012128152940496574,B2_K4_PROVISIONAL,0.7955135087837503,0,0.796522633299842,0
qwen2_5_vl_7b,b2_attention_residual_kappa,test,28,15,13,0.00266944359351259,B2_K4_PROVISIONAL,0.7941248029705381,0,0.7922696306124741,0
qwen2_5_vl_7b,b2_attention_total_norm,all,28,18,10,-0.05943606763260086,B2_K4_PROVISIONAL,17.965293004616235,0,18.172725391824567,0
qwen2_5_vl_7b,b2_attention_total_norm,train,28,18,10,-0.0961644182402622,B2_K4_PROVISIONAL,17.97863116724722,0,18.167022579344664,0
qwen2_5_vl_7b,b2_attention_total_norm,test,28,17,11,0.19460169073705672,B2_K4_PROVISIONAL,17.914120630676205,0,18.21671851666954,0
