model,variant,seed,AUROC,HALL_AUPR
llava_1_5_7b,raw_mad,43,0.7811195436391696,0.4916118165439547
llava_1_5_7b,raw_mad,44,0.7810609585853885,0.4950008478916853
llava_1_5_7b,raw_mad,45,0.7848355099075695,0.4997389751081689
llava_1_5_7b,norm_mad,43,0.8017950460478523,0.5181760205584971
llava_1_5_7b,norm_mad,44,0.8002952686710566,0.5054102688520125
llava_1_5_7b,norm_mad,45,0.8032981711420067,0.5126190328166755
llava_1_5_7b,raw_mad_logs,43,0.8886783546638725,0.7022360835448691
llava_1_5_7b,raw_mad_logs,44,0.8870078437017719,0.6985092047293561
llava_1_5_7b,raw_mad_logs,45,0.8886381820555653,0.7082656875759299
llava_1_5_7b,norm_mad_logs,43,0.8942154791755242,0.709285253272333
llava_1_5_7b,norm_mad_logs,44,0.8893914184613221,0.7033255893143762
llava_1_5_7b,norm_mad_logs,45,0.8896525404153179,0.7032397022682967
