label,layer,n,mean,median
0,1,122,0.6537359356880188,0.6689962148666382
0,2,122,0.6000475287437439,0.6386347413063049
0,3,122,0.6599017977714539,0.6718797087669373
0,4,122,0.6510381698608398,0.6602828502655029
0,5,122,0.6504398584365845,0.66339510679245
0,6,122,0.6192472577095032,0.6375312805175781
0,7,122,0.502711296081543,0.5117896199226379
0,8,122,0.47644612193107605,0.4831445515155792
0,9,122,0.4890604317188263,0.48919472098350525
0,10,122,0.4549652934074402,0.44648200273513794
0,11,122,0.4601932168006897,0.45322418212890625
0,12,122,0.4541245996952057,0.44880300760269165
0,13,122,0.44496455788612366,0.4479603171348572
0,14,122,0.4632115364074707,0.46300366520881653
0,15,122,0.3905186653137207,0.3879234790802002
0,16,122,0.4595099985599518,0.46812015771865845
0,17,122,0.3849811553955078,0.38716399669647217
0,18,122,0.4795156419277191,0.49628591537475586
0,19,122,0.44453924894332886,0.4652372896671295
0,20,122,0.4015963673591614,0.4023192226886749
0,21,122,0.4762570559978485,0.47690892219543457
0,22,122,0.4059201776981354,0.3995492458343506
0,23,122,0.4940387010574341,0.513927698135376
0,24,122,0.5238457322120667,0.5318905115127563
0,25,122,0.6067214608192444,0.6206842064857483
0,26,122,0.5828273892402649,0.5855900645256042
0,27,122,0.507989227771759,0.5279548764228821
0,28,122,0.6763842105865479,0.6842638254165649
1,1,1006,0.6500059962272644,0.6698220372200012
1,2,1006,0.6171033382415771,0.6531773805618286
1,3,1006,0.6616387963294983,0.6712080240249634
1,4,1006,0.6423640251159668,0.6583027839660645
1,5,1006,0.6424552202224731,0.6625338792800903
1,6,1006,0.6076035499572754,0.6273356676101685
1,7,1006,0.4809122681617737,0.4816914200782776
1,8,1006,0.4461004436016083,0.4416476786136627
1,9,1006,0.4547754228115082,0.4607132077217102
1,10,1006,0.46030154824256897,0.458268940448761
1,11,1006,0.44621583819389343,0.44334089756011963
1,12,1006,0.4269251823425293,0.42392438650131226
1,13,1006,0.4392935037612915,0.42853525280952454
1,14,1006,0.44653618335723877,0.4433493912220001
1,15,1006,0.3914773762226105,0.38703298568725586
1,16,1006,0.5028193593025208,0.5087231397628784
1,17,1006,0.3921048939228058,0.3877564072608948
1,18,1006,0.4579080045223236,0.4524703025817871
1,19,1006,0.4361264705657959,0.4253618121147156
1,20,1006,0.37959957122802734,0.36595839262008667
1,21,1006,0.4403667449951172,0.43860042095184326
1,22,1006,0.4251960813999176,0.42377370595932007
1,23,1006,0.4849860966205597,0.4957982301712036
1,24,1006,0.5427687764167786,0.5498858094215393
1,25,1006,0.6066878437995911,0.6241576671600342
1,26,1006,0.5629351735115051,0.5788823366165161
1,27,1006,0.5121328830718994,0.5196871161460876
1,28,1006,0.6759636402130127,0.683444619178772
