model,label,support,layer,n_images,mean,std,median,q25,q75
internvl_2_5_8b,HALL,all_visual_tokens,1,1321,0.05443606471655542,0.019009332162585373,0.05222363770008087,0.03941968083381653,0.0654669925570488
internvl_2_5_8b,HALL,all_visual_tokens,2,1321,0.0596561534605204,0.022076286630392235,0.0578959695994854,0.04271400719881058,0.07235421985387802
internvl_2_5_8b,HALL,all_visual_tokens,3,1321,0.057239971273803605,0.022890315452698845,0.05318112671375275,0.04033283889293671,0.06894174963235855
internvl_2_5_8b,HALL,all_visual_tokens,4,1321,0.050489535056094076,0.017221217041812117,0.047739118337631226,0.03818150982260704,0.059646643698215485
internvl_2_5_8b,HALL,all_visual_tokens,5,1321,0.04135857606807231,0.012157848558226141,0.03928795084357262,0.03288496658205986,0.04758515954017639
internvl_2_5_8b,HALL,all_visual_tokens,6,1321,0.033062976567860045,0.009035198485125084,0.03167928382754326,0.026880361139774323,0.03782035410404205
internvl_2_5_8b,HALL,all_visual_tokens,7,1321,0.03274429646475039,0.008058158242251619,0.03184477612376213,0.027310501784086227,0.036893073469400406
internvl_2_5_8b,HALL,all_visual_tokens,8,1321,0.029884775794540547,0.007967135949619513,0.028753595426678658,0.024668827652931213,0.03384483605623245
internvl_2_5_8b,HALL,all_visual_tokens,9,1321,0.030586379805098964,0.006550605554111548,0.030018892139196396,0.025882618501782417,0.03455222025513649
internvl_2_5_8b,HALL,all_visual_tokens,10,1321,0.024593843950168778,0.007194837641950646,0.023687493056058884,0.019690988585352898,0.028088262304663658
internvl_2_5_8b,HALL,all_visual_tokens,11,1321,0.024958760024278926,0.007099554868588951,0.023780392482876778,0.020310426130890846,0.028366567566990852
internvl_2_5_8b,HALL,all_visual_tokens,12,1321,0.023708082977710553,0.007141220851709621,0.02266955003142357,0.019028373062610626,0.027118276804685593
internvl_2_5_8b,HALL,all_visual_tokens,13,1321,0.021409320349633738,0.007847745044069987,0.020185504108667374,0.016338061541318893,0.024414118379354477
internvl_2_5_8b,HALL,all_visual_tokens,14,1321,0.024357238611704152,0.0069444979859931855,0.023534700274467468,0.019780486822128296,0.027790606021881104
internvl_2_5_8b,HALL,all_visual_tokens,15,1321,0.020808152847392465,0.006600092669978727,0.019891900941729546,0.016297556459903717,0.023966051638126373
internvl_2_5_8b,HALL,all_visual_tokens,16,1321,0.017795446577688494,0.006763589252106919,0.01688692346215248,0.013234995305538177,0.0211953092366457
internvl_2_5_8b,HALL,all_visual_tokens,17,1321,0.019697377678531417,0.007026738518043637,0.01880909688770771,0.015242811292409897,0.022821955382823944
internvl_2_5_8b,HALL,all_visual_tokens,18,1321,0.019475267472466133,0.007173998537632017,0.018365226686000824,0.014868693426251411,0.022914934903383255
internvl_2_5_8b,HALL,all_visual_tokens,19,1321,0.020097641338489212,0.007023965698842412,0.01912088878452778,0.015527908690273762,0.023555781692266464
internvl_2_5_8b,HALL,all_visual_tokens,20,1321,0.01841573741016973,0.007286576902386284,0.01726521924138069,0.013635719195008278,0.021647511050105095
internvl_2_5_8b,HALL,all_visual_tokens,21,1321,0.02077778891986694,0.007152394516420148,0.019987624138593674,0.015874220058321953,0.024248305708169937
internvl_2_5_8b,HALL,all_visual_tokens,22,1321,0.02116688841179769,0.007623290354542477,0.02006610482931137,0.016077611595392227,0.025184448808431625
internvl_2_5_8b,HALL,all_visual_tokens,23,1321,0.021906590576013612,0.007766427500980797,0.0211380273103714,0.01641184836626053,0.02609444037079811
internvl_2_5_8b,HALL,all_visual_tokens,24,1321,0.023582512624900194,0.007704201639980983,0.022932009771466255,0.01828894391655922,0.027529839426279068
internvl_2_5_8b,HALL,all_visual_tokens,25,1321,0.020848775617736,0.008311742831020394,0.019851505756378174,0.01476765051484108,0.025266846641898155
internvl_2_5_8b,HALL,all_visual_tokens,26,1321,0.02174104499101165,0.008322106497666074,0.020763840526342392,0.01602352038025856,0.026079077273607254
internvl_2_5_8b,HALL,all_visual_tokens,27,1321,0.02354147817155545,0.008542314080827973,0.022696830332279205,0.017628710716962814,0.028306273743510246
internvl_2_5_8b,HALL,all_visual_tokens,28,1321,0.026381678609945936,0.008351480314501083,0.025366032496094704,0.020847851410508156,0.030350273475050926
internvl_2_5_8b,HALL,all_visual_tokens,29,1321,0.022320830707355802,0.008487061259618959,0.021323541179299355,0.016395602375268936,0.026625365018844604
internvl_2_5_8b,HALL,all_visual_tokens,30,1321,0.02062985983964149,0.00681474527651572,0.019764844328165054,0.015987714752554893,0.023949675261974335
internvl_2_5_8b,HALL,all_visual_tokens,31,1321,0.02144722828224166,0.0064821926083262075,0.020647043362259865,0.017109902575612068,0.02469051070511341
internvl_2_5_8b,HALL,all_visual_tokens,32,1321,0.02798595304201152,0.007014263126282313,0.02724548429250717,0.023447012528777122,0.03154115006327629
internvl_2_5_8b,HALL,union_top32,1,1321,0.07265338962256096,0.030254989372537996,0.06990454345941544,0.049134500324726105,0.09190507233142853
internvl_2_5_8b,HALL,union_top32,2,1321,0.07292199943335917,0.03078873203723349,0.07056784629821777,0.04946082830429077,0.09206712990999222
internvl_2_5_8b,HALL,union_top32,3,1321,0.06860652215211997,0.031075515728847574,0.06387633085250854,0.045398179441690445,0.0850212574005127
internvl_2_5_8b,HALL,union_top32,4,1321,0.06176291632604906,0.02497530874772791,0.058244410902261734,0.04337746277451515,0.0752524882555008
internvl_2_5_8b,HALL,union_top32,5,1321,0.049543810669927774,0.018802781717630827,0.04586729779839516,0.03653210029006004,0.05989658832550049
internvl_2_5_8b,HALL,union_top32,6,1321,0.0346830371213142,0.013723177226133174,0.03275574743747711,0.025216814130544662,0.041989292949438095
internvl_2_5_8b,HALL,union_top32,7,1321,0.03512494731588708,0.01348410579020841,0.033592890948057175,0.02591230347752571,0.04199559986591339
internvl_2_5_8b,HALL,union_top32,8,1321,0.028899465490081103,0.012455601437243398,0.027095085009932518,0.02064763568341732,0.03528835251927376
internvl_2_5_8b,HALL,union_top32,9,1321,0.031089703180177883,0.011880827828675495,0.029489219188690186,0.022599726915359497,0.03824678435921669
internvl_2_5_8b,HALL,union_top32,10,1321,0.02047568299796328,0.010687770802914654,0.018393604084849358,0.01297319307923317,0.025916941463947296
internvl_2_5_8b,HALL,union_top32,11,1321,0.021124923607915427,0.011042420414399425,0.01867222785949707,0.013452067039906979,0.026337314397096634
