model,signal,pair_type,support,layer,n_images,mean,std,median,q25,q75
internvl_2_5_8b,attention_distribution,HALL-HALL,all_visual_tokens,1,339,0.01126058636903543,0.010469891566669463,0.00855319295078516,0.0054953391663730145,0.013760418631136417
internvl_2_5_8b,attention_distribution,HALL-HALL,all_visual_tokens,2,339,0.03492600734793419,0.010547754495693382,0.03374313935637474,0.026994161307811737,0.04233074560761452
internvl_2_5_8b,attention_distribution,HALL-HALL,all_visual_tokens,3,339,0.04311857749447007,0.02348681039371504,0.03766641393303871,0.027377966791391373,0.05472522787749767
internvl_2_5_8b,attention_distribution,HALL-HALL,all_visual_tokens,4,339,0.04827509397657308,0.019522706874124645,0.043363869190216064,0.036192165687680244,0.05758138187229633
internvl_2_5_8b,attention_distribution,HALL-HALL,all_visual_tokens,5,339,0.04476554480252189,0.025315476738186033,0.03918827325105667,0.027006136253476143,0.05507835000753403
internvl_2_5_8b,attention_distribution,HALL-HALL,all_visual_tokens,6,339,0.05883521677041564,0.03471192103280124,0.053342901170253754,0.03377083130180836,0.07554491981863976
internvl_2_5_8b,attention_distribution,HALL-HALL,all_visual_tokens,7,339,0.06304465643141231,0.04286131618391405,0.0545952133834362,0.030750288628041744,0.08171669393777847
internvl_2_5_8b,attention_distribution,HALL-HALL,all_visual_tokens,8,339,0.11310890159544955,0.06549332110222247,0.11032918095588684,0.061017392203211784,0.1546589881181717
internvl_2_5_8b,attention_distribution,HALL-HALL,all_visual_tokens,9,339,0.06123952298070741,0.037036250682720505,0.05548438802361488,0.03146276529878378,0.0838453359901905
internvl_2_5_8b,attention_distribution,HALL-HALL,all_visual_tokens,10,339,0.16159875626925785,0.09253512837733609,0.15603074431419373,0.08408034592866898,0.22764552384614944
internvl_2_5_8b,attention_distribution,HALL-HALL,all_visual_tokens,11,339,0.16007201814513028,0.08757981090594834,0.15946154296398163,0.08716239035129547,0.2157134935259819
internvl_2_5_8b,attention_distribution,HALL-HALL,all_visual_tokens,12,339,0.19055233947976677,0.10575891029283144,0.18900728225708008,0.10382752865552902,0.2729828953742981
internvl_2_5_8b,attention_distribution,HALL-HALL,all_visual_tokens,13,339,0.24760948758088822,0.1347393726026634,0.24780739843845367,0.1469072923064232,0.3467509001493454
internvl_2_5_8b,attention_distribution,HALL-HALL,all_visual_tokens,14,339,0.16641069733425096,0.10297184951388388,0.15661709010601044,0.08228455111384392,0.23954437673091888
internvl_2_5_8b,attention_distribution,HALL-HALL,all_visual_tokens,15,339,0.2268734154261231,0.12734927649027236,0.2399396449327469,0.12001948058605194,0.33081482350826263
internvl_2_5_8b,attention_distribution,HALL-HALL,all_visual_tokens,16,339,0.27295897039104045,0.16180943577476603,0.29418566823005676,0.14143022149801254,0.40557460486888885
internvl_2_5_8b,attention_distribution,HALL-HALL,all_visual_tokens,17,339,0.238048556457194,0.14412136496161998,0.24159903824329376,0.11932669207453728,0.35504746437072754
internvl_2_5_8b,attention_distribution,HALL-HALL,all_visual_tokens,18,339,0.2581446477951026,0.13887389172859932,0.2686392068862915,0.13644299656152725,0.36991673707962036
internvl_2_5_8b,attention_distribution,HALL-HALL,all_visual_tokens,19,339,0.22302335264177714,0.12039916568253824,0.23507854342460632,0.11460452526807785,0.3122957795858383
internvl_2_5_8b,attention_distribution,HALL-HALL,all_visual_tokens,20,339,0.2709369676662911,0.1496321697902875,0.2852022647857666,0.14554354548454285,0.39416638016700745
internvl_2_5_8b,attention_distribution,HALL-HALL,all_visual_tokens,21,339,0.21719717517616036,0.12805785655798252,0.2237061709165573,0.1092074029147625,0.3141445815563202
internvl_2_5_8b,attention_distribution,HALL-HALL,all_visual_tokens,22,339,0.21206391620474446,0.12426633080279276,0.21646957099437714,0.11083715036511421,0.3017371743917465
internvl_2_5_8b,attention_distribution,HALL-HALL,all_visual_tokens,23,339,0.21517675648138454,0.12634896795426304,0.20867201685905457,0.11389679089188576,0.3050125390291214
internvl_2_5_8b,attention_distribution,HALL-HALL,all_visual_tokens,24,339,0.1893132589565134,0.10892764653104596,0.19057326018810272,0.09862041100859642,0.2681181877851486
internvl_2_5_8b,attention_distribution,HALL-HALL,all_visual_tokens,25,339,0.2706714481401057,0.1453321309940405,0.2701042592525482,0.16488803178071976,0.38572320342063904
internvl_2_5_8b,attention_distribution,HALL-HALL,all_visual_tokens,26,339,0.2543145380309813,0.13702848534710188,0.25098785758018494,0.14550472050905228,0.3665078282356262
internvl_2_5_8b,attention_distribution,HALL-HALL,all_visual_tokens,27,339,0.21745406697534442,0.12063736503110957,0.21617597341537476,0.11479350551962852,0.3122677356004715
