model,signal,pair_type,support,layer,n_images,mean,std,median,q25,q75
internvl_2_5_8b,attention_distribution,HALL-HALL,all_visual_tokens,28,339,0.1771433320182175,0.10386775601299811,0.16694381833076477,0.09539364278316498,0.2528371959924698
internvl_2_5_8b,attention_distribution,HALL-HALL,all_visual_tokens,29,339,0.2442716434460606,0.13236218414132658,0.24469846487045288,0.13606765121221542,0.3431558758020401
internvl_2_5_8b,attention_distribution,HALL-HALL,all_visual_tokens,30,339,0.24260572958765084,0.12859571419964955,0.25682321190834045,0.12844843417406082,0.3436305820941925
internvl_2_5_8b,attention_distribution,HALL-HALL,all_visual_tokens,31,339,0.21935035148086054,0.117921404939315,0.23204046487808228,0.1166442483663559,0.31060490012168884
internvl_2_5_8b,attention_distribution,HALL-HALL,all_visual_tokens,32,339,0.1512663014353992,0.0845596558639804,0.1448170393705368,0.07876968756318092,0.2183220535516739
internvl_2_5_8b,attention_distribution,HALL-HALL,union_top32,1,339,0.007669653661087551,0.007344211526694449,0.005781045649200678,0.0037504476495087147,0.009253343101590872
internvl_2_5_8b,attention_distribution,HALL-HALL,union_top32,2,339,0.031986205379827534,0.011620589255307689,0.03130962699651718,0.02320384420454502,0.040053488686680794
internvl_2_5_8b,attention_distribution,HALL-HALL,union_top32,3,339,0.043858743706789514,0.029674673145852794,0.035540614277124405,0.02382700890302658,0.0558029618114233
internvl_2_5_8b,attention_distribution,HALL-HALL,union_top32,4,339,0.048682582883334616,0.025540338203044098,0.04201466590166092,0.03171616792678833,0.058432452380657196
internvl_2_5_8b,attention_distribution,HALL-HALL,union_top32,5,339,0.051882791718204334,0.0342575313833355,0.04362882673740387,0.025994678027927876,0.06798068434000015
internvl_2_5_8b,attention_distribution,HALL-HALL,union_top32,6,339,0.06894435096672216,0.04563584331766802,0.06078445538878441,0.036044854670763016,0.09234723821282387
internvl_2_5_8b,attention_distribution,HALL-HALL,union_top32,7,339,0.08306616505025542,0.06107090200776509,0.06786907464265823,0.03435400687158108,0.11237473413348198
internvl_2_5_8b,attention_distribution,HALL-HALL,union_top32,8,339,0.1419234693347089,0.08477369663662529,0.13515757024288177,0.07573821768164635,0.1982780620455742
internvl_2_5_8b,attention_distribution,HALL-HALL,union_top32,9,339,0.07733070820495816,0.050737461192484706,0.06917501240968704,0.036722319200634956,0.10848715901374817
internvl_2_5_8b,attention_distribution,HALL-HALL,union_top32,10,339,0.20266826608242977,0.11806090724264336,0.19668883085250854,0.107075285166502,0.29434533417224884
internvl_2_5_8b,attention_distribution,HALL-HALL,union_top32,11,339,0.20710762895390963,0.11498473788662472,0.2073448896408081,0.10853138193488121,0.29228612780570984
internvl_2_5_8b,attention_distribution,HALL-HALL,union_top32,12,339,0.23789850459502773,0.1341654657116645,0.2390926033258438,0.13148114830255508,0.3452938050031662
internvl_2_5_8b,attention_distribution,HALL-HALL,union_top32,13,339,0.286336620383591,0.15752018633654416,0.2918011248111725,0.16991139948368073,0.4057370275259018
internvl_2_5_8b,attention_distribution,HALL-HALL,union_top32,14,339,0.20818765017899044,0.1295921722775215,0.19912606477737427,0.10523095354437828,0.30434533953666687
internvl_2_5_8b,attention_distribution,HALL-HALL,union_top32,15,339,0.27763399158420377,0.1563489579905426,0.30142518877983093,0.14342214912176132,0.4073606878519058
internvl_2_5_8b,attention_distribution,HALL-HALL,union_top32,16,339,0.3028280870339237,0.18276179847393045,0.3255023956298828,0.14884748309850693,0.45646217465400696
internvl_2_5_8b,attention_distribution,HALL-HALL,union_top32,17,339,0.27179456977338523,0.16710556298071655,0.2756803035736084,0.1288989707827568,0.40644024312496185
internvl_2_5_8b,attention_distribution,HALL-HALL,union_top32,18,339,0.3053058098828568,0.16252711909529635,0.3315598666667938,0.1653134748339653,0.43360860645771027
internvl_2_5_8b,attention_distribution,HALL-HALL,union_top32,19,339,0.260399425270415,0.14201584689229257,0.2781299948692322,0.1324651539325714,0.36894090473651886
internvl_2_5_8b,attention_distribution,HALL-HALL,union_top32,20,339,0.30238265587033425,0.16821308254147777,0.32595372200012207,0.16180765628814697,0.4403083473443985
internvl_2_5_8b,attention_distribution,HALL-HALL,union_top32,21,339,0.2484135585009453,0.14863730804160769,0.2575992941856384,0.12535561621189117,0.3698272407054901
internvl_2_5_8b,attention_distribution,HALL-HALL,union_top32,22,339,0.24375532227252392,0.14410710119582737,0.2517370879650116,0.1275704950094223,0.35196636617183685
internvl_2_5_8b,attention_distribution,HALL-HALL,union_top32,23,339,0.25129472298525646,0.1448519827452963,0.2522498369216919,0.12917667627334595,0.3621920049190521
internvl_2_5_8b,attention_distribution,HALL-HALL,union_top32,24,339,0.22551615170689415,0.1280594957848418,0.23824842274188995,0.11770156770944595,0.3176087737083435
internvl_2_5_8b,attention_distribution,HALL-HALL,union_top32,25,339,0.2966178301886647,0.16041993376770702,0.30071142315864563,0.17606747150421143,0.4254864454269409
internvl_2_5_8b,attention_distribution,HALL-HALL,union_top32,26,339,0.2845181450027983,0.15318540561137092,0.28677934408187866,0.1676701307296753,0.40867625176906586
internvl_2_5_8b,attention_distribution,HALL-HALL,union_top32,27,339,0.24876370290459127,0.13803066677850884,0.2472415566444397,0.13199607282876968,0.3597918152809143
internvl_2_5_8b,attention_distribution,HALL-HALL,union_top32,28,339,0.21503521602430484,0.12531374550995397,0.21180349588394165,0.11490773037075996,0.3047165423631668
internvl_2_5_8b,attention_distribution,HALL-HALL,union_top32,29,339,0.27958332224828697,0.15040247660678682,0.2868228256702423,0.15724222362041473,0.4017231911420822
internvl_2_5_8b,attention_distribution,HALL-HALL,union_top32,30,339,0.28213332774245337,0.15097755638491675,0.3060438930988312,0.14547578990459442,0.39772140979766846
internvl_2_5_8b,attention_distribution,HALL-HALL,union_top32,31,339,0.26137585413043324,0.14159295264446056,0.2725045084953308,0.13829249888658524,0.3654807358980179
internvl_2_5_8b,attention_distribution,HALL-HALL,union_top32,32,339,0.1945131955748001,0.10970782723688068,0.19034482538700104,0.10252438113093376,0.27744878828525543
internvl_2_5_8b,attention_distribution,HALL-REAL,all_visual_tokens,1,1265,0.012395486295804852,0.007084119530040199,0.011082633398473263,0.007909510284662247,0.015119964256882668
internvl_2_5_8b,attention_distribution,HALL-REAL,all_visual_tokens,2,1265,0.034478607765682366,0.009079528619614254,0.03411465138196945,0.02803482674062252,0.040278997272253036
internvl_2_5_8b,attention_distribution,HALL-REAL,all_visual_tokens,3,1265,0.049397283875688966,0.028027188522473406,0.04262785613536835,0.03268013894557953,0.05706075578927994
internvl_2_5_8b,attention_distribution,HALL-REAL,all_visual_tokens,4,1265,0.05257879333577962,0.019175060017991127,0.04850757122039795,0.04003560543060303,0.06037041172385216
internvl_2_5_8b,attention_distribution,HALL-REAL,all_visual_tokens,5,1265,0.05399083650704076,0.024637953822864527,0.04890817403793335,0.036926865577697754,0.06641919165849686
internvl_2_5_8b,attention_distribution,HALL-REAL,all_visual_tokens,6,1265,0.06767953788648128,0.030712050073453772,0.06280869990587234,0.046476855874061584,0.0828615203499794
internvl_2_5_8b,attention_distribution,HALL-REAL,all_visual_tokens,7,1265,0.08015805101095747,0.04189320624665251,0.07303759455680847,0.04779296740889549,0.10400077700614929
internvl_2_5_8b,attention_distribution,HALL-REAL,all_visual_tokens,8,1265,0.1322066215555305,0.05843892299392793,0.1243446096777916,0.09109988808631897,0.16644640266895294
internvl_2_5_8b,attention_distribution,HALL-REAL,all_visual_tokens,9,1265,0.07742794607342644,0.034560670140448425,0.07252781838178635,0.05269109830260277,0.09799879789352417
internvl_2_5_8b,attention_distribution,HALL-REAL,all_visual_tokens,10,1265,0.1894049069391409,0.07766646399204111,0.18363894522190094,0.13485124707221985,0.23509947955608368
internvl_2_5_8b,attention_distribution,HALL-REAL,all_visual_tokens,11,1265,0.18430936643816972,0.07317235123557689,0.1792214810848236,0.13197490572929382,0.23206506669521332
internvl_2_5_8b,attention_distribution,HALL-REAL,all_visual_tokens,12,1265,0.2163789732933869,0.0815405038601058,0.213221475481987,0.15757891535758972,0.2742306888103485
internvl_2_5_8b,attention_distribution,HALL-REAL,all_visual_tokens,13,1265,0.27691581914709373,0.10025202442496645,0.2795182168483734,0.2050129622220993,0.3474375605583191
internvl_2_5_8b,attention_distribution,HALL-REAL,all_visual_tokens,14,1265,0.19301319611314022,0.07423929972039287,0.1890963464975357,0.14221610128879547,0.24178306758403778
internvl_2_5_8b,attention_distribution,HALL-REAL,all_visual_tokens,15,1265,0.25464333628227,0.08869582389060301,0.25977712869644165,0.1942054033279419,0.3158978223800659
internvl_2_5_8b,attention_distribution,HALL-REAL,all_visual_tokens,16,1265,0.29556819535202894,0.11212779391341413,0.29887881875038147,0.21510644257068634,0.37683671712875366
internvl_2_5_8b,attention_distribution,HALL-REAL,all_visual_tokens,17,1265,0.26370216955176806,0.09839734292340427,0.2649645507335663,0.1929042935371399,0.33281901478767395
internvl_2_5_8b,attention_distribution,HALL-REAL,all_visual_tokens,18,1265,0.29436235598218535,0.10064299224047571,0.29918503761291504,0.22394634783267975,0.36897462606430054
internvl_2_5_8b,attention_distribution,HALL-REAL,all_visual_tokens,19,1265,0.2469733027174421,0.08481098002658069,0.2481706142425537,0.19113215804100037,0.3081716001033783
internvl_2_5_8b,attention_distribution,HALL-REAL,all_visual_tokens,20,1265,0.2960091013137413,0.10564816503241939,0.30082282423973083,0.22634713351726532,0.37534111738204956
internvl_2_5_8b,attention_distribution,HALL-REAL,all_visual_tokens,21,1265,0.24753820566320608,0.0932133712257236,0.2488635778427124,0.18263289332389832,0.31549519300460815
internvl_2_5_8b,attention_distribution,HALL-REAL,all_visual_tokens,22,1265,0.23717327590869822,0.09354604315909405,0.23538535833358765,0.1698702573776245,0.30147403478622437
internvl_2_5_8b,attention_distribution,HALL-REAL,all_visual_tokens,23,1265,0.2557719082383829,0.0958061298344343,0.25536563992500305,0.18610650300979614,0.32204413414001465
internvl_2_5_8b,attention_distribution,HALL-REAL,all_visual_tokens,24,1265,0.21593302101956996,0.09142047154003016,0.21115171909332275,0.14803598821163177,0.2787083089351654
internvl_2_5_8b,attention_distribution,HALL-REAL,all_visual_tokens,25,1265,0.3164736123188682,0.10982168018978164,0.3190458416938782,0.24018725752830505,0.3981724679470062
internvl_2_5_8b,attention_distribution,HALL-REAL,all_visual_tokens,26,1265,0.31064784320387917,0.1049381514285706,0.3150677978992462,0.24220450222492218,0.3866477310657501
internvl_2_5_8b,attention_distribution,HALL-REAL,all_visual_tokens,27,1265,0.2534065524432735,0.09603863353091509,0.2495531439781189,0.1817057728767395,0.3177066147327423
internvl_2_5_8b,attention_distribution,HALL-REAL,all_visual_tokens,28,1265,0.2015688108346561,0.08033879547600299,0.19909745454788208,0.14172443747520447,0.2541736960411072
internvl_2_5_8b,attention_distribution,HALL-REAL,all_visual_tokens,29,1265,0.29301764755969933,0.10098528736362675,0.2923657298088074,0.22372010350227356,0.3663991391658783
internvl_2_5_8b,attention_distribution,HALL-REAL,all_visual_tokens,30,1265,0.2826844162200927,0.0914418192777298,0.28631696105003357,0.21963343024253845,0.34680405259132385
internvl_2_5_8b,attention_distribution,HALL-REAL,all_visual_tokens,31,1265,0.26882617526757624,0.08967410013863096,0.2681642770767212,0.20790250599384308,0.33147895336151123
internvl_2_5_8b,attention_distribution,HALL-REAL,all_visual_tokens,32,1265,0.18330556875676388,0.0655137493164133,0.18010523915290833,0.13864357769489288,0.22522319853305817
internvl_2_5_8b,attention_distribution,HALL-REAL,union_top32,1,1265,0.009458416062149517,0.005746552399139894,0.00806715153157711,0.0056651076301932335,0.01168832927942276
internvl_2_5_8b,attention_distribution,HALL-REAL,union_top32,2,1265,0.03197316104700796,0.010577581976515163,0.031197404488921165,0.02461208403110504,0.0381716787815094
internvl_2_5_8b,attention_distribution,HALL-REAL,union_top32,3,1265,0.051756135474434015,0.03469239550798548,0.04269121214747429,0.031000958755612373,0.060285020619630814
internvl_2_5_8b,attention_distribution,HALL-REAL,union_top32,4,1265,0.05436615553194944,0.0252766272379047,0.04916686937212944,0.03811418265104294,0.06428436934947968
internvl_2_5_8b,attention_distribution,HALL-REAL,union_top32,5,1265,0.06340417173864106,0.032845916540852116,0.056821614503860474,0.03997020050883293,0.07972054183483124
internvl_2_5_8b,attention_distribution,HALL-REAL,union_top32,6,1265,0.07941594899046739,0.03964801173489858,0.07301416248083115,0.05172014981508255,0.09965863078832626
internvl_2_5_8b,attention_distribution,HALL-REAL,union_top32,7,1265,0.10566885365622317,0.05828904202605742,0.09656840562820435,0.06107286363840103,0.13892944157123566
internvl_2_5_8b,attention_distribution,HALL-REAL,union_top32,8,1265,0.1663878112354062,0.07450330551532282,0.1571495532989502,0.11296220868825912,0.21047230064868927
internvl_2_5_8b,attention_distribution,HALL-REAL,union_top32,9,1265,0.0997870859701054,0.047371978792960144,0.09263745695352554,0.06533964723348618,0.12556786835193634
internvl_2_5_8b,attention_distribution,HALL-REAL,union_top32,10,1265,0.23834582066730312,0.09692515318817418,0.23448987305164337,0.16978316009044647,0.29781508445739746
internvl_2_5_8b,attention_distribution,HALL-REAL,union_top32,11,1265,0.23905210410918407,0.09411274727452094,0.23636004328727722,0.1725669950246811,0.3017174303531647
internvl_2_5_8b,attention_distribution,HALL-REAL,union_top32,12,1265,0.2710535999858686,0.10154220632866855,0.2710190415382385,0.20028086006641388,0.3443305194377899
internvl_2_5_8b,attention_distribution,HALL-REAL,union_top32,13,1265,0.3230748122344493,0.11599347303138495,0.3285070061683655,0.24196290969848633,0.4043726921081543
internvl_2_5_8b,attention_distribution,HALL-REAL,union_top32,14,1265,0.24265462371701071,0.09313992083241769,0.24225051701068878,0.1784001886844635,0.3059307038784027
internvl_2_5_8b,attention_distribution,HALL-REAL,union_top32,15,1265,0.31339726339834245,0.10868936206032712,0.32318228483200073,0.24130935966968536,0.3900699317455292
internvl_2_5_8b,attention_distribution,HALL-REAL,union_top32,16,1265,0.3307266436244836,0.1264246812413234,0.33597469329833984,0.2436555027961731,0.4258531630039215
internvl_2_5_8b,attention_distribution,HALL-REAL,union_top32,17,1265,0.30305884216393053,0.11403097839352162,0.3055726885795593,0.222021222114563,0.3840630054473877
internvl_2_5_8b,attention_distribution,HALL-REAL,union_top32,18,1265,0.3490739739518392,0.11593260940170202,0.35914528369903564,0.26774072647094727,0.4369218051433563
internvl_2_5_8b,attention_distribution,HALL-REAL,union_top32,19,1265,0.29022956426023494,0.09937288396270384,0.29466429352760315,0.22683589160442352,0.3628353476524353
internvl_2_5_8b,attention_distribution,HALL-REAL,union_top32,20,1265,0.3326172327173675,0.11921953535671231,0.3399798572063446,0.2556178569793701,0.42351123690605164
internvl_2_5_8b,attention_distribution,HALL-REAL,union_top32,21,1265,0.2852156693417682,0.10789177198259792,0.2894819378852844,0.21189232170581818,0.36580389738082886
internvl_2_5_8b,attention_distribution,HALL-REAL,union_top32,22,1265,0.27495617507828085,0.10736524259066793,0.27529609203338623,0.19810546934604645,0.3514045476913452
internvl_2_5_8b,attention_distribution,HALL-REAL,union_top32,23,1265,0.29992409200875064,0.10964893217482227,0.30317971110343933,0.22160589694976807,0.3817206621170044
internvl_2_5_8b,attention_distribution,HALL-REAL,union_top32,24,1265,0.25929915778515605,0.10576619961204549,0.2568572163581848,0.18341517448425293,0.3332981467247009
internvl_2_5_8b,attention_distribution,HALL-REAL,union_top32,25,1265,0.3484248912455183,0.12008037158149314,0.3522258400917053,0.2658262252807617,0.43747368454933167
internvl_2_5_8b,attention_distribution,HALL-REAL,union_top32,26,1265,0.34879620445987924,0.1154144843534436,0.3572637438774109,0.27237626910209656,0.4329598546028137
internvl_2_5_8b,attention_distribution,HALL-REAL,union_top32,27,1265,0.29254665830330884,0.10824516731861686,0.29114630818367004,0.2146446257829666,0.3687959313392639
internvl_2_5_8b,attention_distribution,HALL-REAL,union_top32,28,1265,0.24827734830645704,0.09545472292308756,0.24673503637313843,0.17969302833080292,0.3139968812465668
internvl_2_5_8b,attention_distribution,HALL-REAL,union_top32,29,1265,0.3364819114107506,0.11321138400706839,0.3397763669490814,0.2558049261569977,0.41820448637008667
internvl_2_5_8b,attention_distribution,HALL-REAL,union_top32,30,1265,0.32988513835923,0.1057614614114334,0.3378140926361084,0.2583160102367401,0.4034728407859802
internvl_2_5_8b,attention_distribution,HALL-REAL,union_top32,31,1265,0.3212126519523649,0.1055181237486017,0.32530826330184937,0.25217345356941223,0.3949723541736603
internvl_2_5_8b,attention_distribution,HALL-REAL,union_top32,32,1265,0.23350753748546477,0.08279628309312456,0.2323502004146576,0.1758241057395935,0.2903919517993927
internvl_2_5_8b,attention_distribution,REAL-REAL,all_visual_tokens,1,2887,0.010822144064489026,0.006894175509151509,0.009751749224960804,0.006616017548367381,0.0135947042144835
internvl_2_5_8b,attention_distribution,REAL-REAL,all_visual_tokens,2,2887,0.030931596674868958,0.009932528370185637,0.030720220878720284,0.024152577854692936,0.037086134776473045
internvl_2_5_8b,attention_distribution,REAL-REAL,all_visual_tokens,3,2887,0.0493171814171669,0.03196263651531525,0.041911933571100235,0.029933304525911808,0.05922388844192028
internvl_2_5_8b,attention_distribution,REAL-REAL,all_visual_tokens,4,2887,0.047971322355229974,0.018889770951848676,0.044836897403001785,0.03584832698106766,0.05704383738338947
internvl_2_5_8b,attention_distribution,REAL-REAL,all_visual_tokens,5,2887,0.055635510893989576,0.02873029757841886,0.05059094727039337,0.035399749875068665,0.06958486139774323
internvl_2_5_8b,attention_distribution,REAL-REAL,all_visual_tokens,6,2887,0.06843009490155556,0.03355401041883362,0.0632438138127327,0.04513445869088173,0.08590787276625633
internvl_2_5_8b,attention_distribution,REAL-REAL,all_visual_tokens,7,2887,0.08509640475515061,0.05036956270595297,0.07450342178344727,0.04679073765873909,0.11523910984396935
internvl_2_5_8b,attention_distribution,REAL-REAL,all_visual_tokens,8,2887,0.12391264160567908,0.06001118708718519,0.11717791855335236,0.08095504343509674,0.1583929806947708
internvl_2_5_8b,attention_distribution,REAL-REAL,all_visual_tokens,9,2887,0.07615381231561179,0.03599316398328645,0.07163280993700027,0.05132955126464367,0.09618621692061424
internvl_2_5_8b,attention_distribution,REAL-REAL,all_visual_tokens,10,2887,0.17288037242479481,0.07583717122266735,0.16933712363243103,0.12114119157195091,0.22278785705566406
internvl_2_5_8b,attention_distribution,REAL-REAL,all_visual_tokens,11,2887,0.17038097771405297,0.07211578958983927,0.1681997925043106,0.122012197971344,0.2167750522494316
internvl_2_5_8b,attention_distribution,REAL-REAL,all_visual_tokens,12,2887,0.19166325873707896,0.07813738553741674,0.19127139449119568,0.13779915124177933,0.2443394735455513
internvl_2_5_8b,attention_distribution,REAL-REAL,all_visual_tokens,13,2887,0.23836738460174312,0.09725863658835494,0.23939450085163116,0.16886769980192184,0.3073928505182266
internvl_2_5_8b,attention_distribution,REAL-REAL,all_visual_tokens,14,2887,0.1726891541549343,0.07247058721405661,0.17285412549972534,0.12213625013828278,0.22103120386600494
internvl_2_5_8b,attention_distribution,REAL-REAL,all_visual_tokens,15,2887,0.23001433180881892,0.08839507732101373,0.23456120491027832,0.17045392096042633,0.292166605591774
internvl_2_5_8b,attention_distribution,REAL-REAL,all_visual_tokens,16,2887,0.25664708022915983,0.10889163868151441,0.2595549523830414,0.17629116773605347,0.3366590887308121
internvl_2_5_8b,attention_distribution,REAL-REAL,all_visual_tokens,17,2887,0.2353176002116157,0.09453498949876057,0.2406381368637085,0.170115128159523,0.2995118051767349
internvl_2_5_8b,attention_distribution,REAL-REAL,all_visual_tokens,18,2887,0.2785564420901556,0.0981811644248253,0.2879457175731659,0.21565360575914383,0.35165034234523773
internvl_2_5_8b,attention_distribution,REAL-REAL,all_visual_tokens,19,2887,0.2239642252004891,0.08352850867255604,0.23008184134960175,0.16838181018829346,0.28017716109752655
internvl_2_5_8b,attention_distribution,REAL-REAL,all_visual_tokens,20,2887,0.2630890021900668,0.10193044816070045,0.2736341953277588,0.19579225778579712,0.33751025795936584
internvl_2_5_8b,attention_distribution,REAL-REAL,all_visual_tokens,21,2887,0.22487015154013998,0.09126586003472685,0.23010946810245514,0.16211723536252975,0.2879602015018463
internvl_2_5_8b,attention_distribution,REAL-REAL,all_visual_tokens,22,2887,0.2107170028479755,0.08684376271493938,0.213478222489357,0.14962176978588104,0.26954135298728943
internvl_2_5_8b,attention_distribution,REAL-REAL,all_visual_tokens,23,2887,0.23901528765224528,0.0937811389256966,0.24328912794589996,0.17072619497776031,0.3056090176105499
internvl_2_5_8b,attention_distribution,REAL-REAL,all_visual_tokens,24,2887,0.1924800846882482,0.0845173249262314,0.19213558733463287,0.12785818427801132,0.2522293031215668
internvl_2_5_8b,attention_distribution,REAL-REAL,all_visual_tokens,25,2887,0.291527761855483,0.10979439733709001,0.3003515303134918,0.21649271249771118,0.3696315288543701
internvl_2_5_8b,attention_distribution,REAL-REAL,all_visual_tokens,26,2887,0.29571247670656264,0.10711566183280583,0.3053708076477051,0.2213786393404007,0.37447382509708405
internvl_2_5_8b,attention_distribution,REAL-REAL,all_visual_tokens,27,2887,0.22469975658349503,0.08911253075579934,0.22604690492153168,0.1597151681780815,0.28821687400341034
internvl_2_5_8b,attention_distribution,REAL-REAL,all_visual_tokens,28,2887,0.1762867723264195,0.07801970582775744,0.1747366487979889,0.11599370092153549,0.22886213660240173
internvl_2_5_8b,attention_distribution,REAL-REAL,all_visual_tokens,29,2887,0.2676004600192762,0.10221979318322467,0.27150046825408936,0.19663315266370773,0.33966250717639923
internvl_2_5_8b,attention_distribution,REAL-REAL,all_visual_tokens,30,2887,0.2485236395750444,0.09123806662583857,0.2525802254676819,0.18502292782068253,0.3114266097545624
internvl_2_5_8b,attention_distribution,REAL-REAL,all_visual_tokens,31,2887,0.2435007885762674,0.09189272895221721,0.24690362811088562,0.17837169021368027,0.3072750121355057
internvl_2_5_8b,attention_distribution,REAL-REAL,all_visual_tokens,32,2887,0.16240012546427673,0.0671844953768674,0.15995155274868011,0.1163146123290062,0.20805936306715012
internvl_2_5_8b,attention_distribution,REAL-REAL,union_top32,1,2887,0.00829419503590898,0.005650827653975163,0.007133526261895895,0.004680078011006117,0.010367018170654774
internvl_2_5_8b,attention_distribution,REAL-REAL,union_top32,2,2887,0.028487408701036866,0.011312355271479252,0.027697648853063583,0.020631064660847187,0.0349921528249979
internvl_2_5_8b,attention_distribution,REAL-REAL,union_top32,3,2887,0.05269944130160446,0.03895718413268889,0.0426785945892334,0.028447278775274754,0.06447641178965569
internvl_2_5_8b,attention_distribution,REAL-REAL,union_top32,4,2887,0.049541091249470516,0.024235856128311542,0.045360494405031204,0.0336373895406723,0.06094064377248287
internvl_2_5_8b,attention_distribution,REAL-REAL,union_top32,5,2887,0.06647569396583719,0.03782839764053024,0.059416767209768295,0.03940950520336628,0.08531897142529488
internvl_2_5_8b,attention_distribution,REAL-REAL,union_top32,6,2887,0.08121191844351236,0.042963906032813914,0.0748557448387146,0.05079379118978977,0.10338838398456573
internvl_2_5_8b,attention_distribution,REAL-REAL,union_top32,7,2887,0.11227340198943445,0.0682932985995312,0.09848929196596146,0.05908589996397495,0.15505552291870117
internvl_2_5_8b,attention_distribution,REAL-REAL,union_top32,8,2887,0.1556359069047842,0.07618868281614237,0.14702074229717255,0.09869976341724396,0.20294928550720215
