model,label,layer,n_mentions,mean,q25,median,q75,raw_q_softmax_js_tau007_real_auroc
llava_1_5_7b,HALL,1,3487,0.039788130670785904,0.032034069299697876,0.037337351590394974,0.042999960482120514,0.5404712373796441
llava_1_5_7b,HALL,2,3487,0.07704136520624161,0.05790109932422638,0.07396116107702255,0.0935211181640625,0.4724008766984308
llava_1_5_7b,HALL,3,3487,0.3658500909805298,0.2537299394607544,0.38511574268341064,0.4757235050201416,0.5012743918196779
llava_1_5_7b,HALL,4,3487,0.402559369802475,0.29347777366638184,0.43361175060272217,0.5168759226799011,0.43478627506422846
llava_1_5_7b,HALL,5,3487,0.38262107968330383,0.2823145389556885,0.4044334590435028,0.4853212237358093,0.4383275680507368
llava_1_5_7b,HALL,6,3487,0.3492213487625122,0.26148706674575806,0.3630903661251068,0.43682193756103516,0.4304719873740407
llava_1_5_7b,HALL,7,3487,0.3467859625816345,0.27091753482818604,0.3556096851825714,0.42244356870651245,0.3776675686714218
llava_1_5_7b,HALL,8,3487,0.30074650049209595,0.2104007452726364,0.31392771005630493,0.37974387407302856,0.4376512081614716
llava_1_5_7b,HALL,9,3487,0.2680763602256775,0.19375264644622803,0.2738928496837616,0.33184874057769775,0.47927826784435895
llava_1_5_7b,HALL,10,3487,0.26497238874435425,0.20364150404930115,0.2680484354496002,0.3183515667915344,0.4544188870044841
llava_1_5_7b,HALL,11,3487,0.24805401265621185,0.1934664249420166,0.2455339878797531,0.2917674779891968,0.4768754960451445
llava_1_5_7b,HALL,12,3487,0.26798757910728455,0.18276220560073853,0.2302204668521881,0.3383834958076477,0.5569063396844354
llava_1_5_7b,HALL,13,3487,0.2827359437942505,0.22951751947402954,0.27577030658721924,0.3239118754863739,0.5070535751744384
llava_1_5_7b,HALL,14,3487,0.2406560331583023,0.1933998167514801,0.22822614014148712,0.2704329490661621,0.579426561755573
llava_1_5_7b,HALL,15,3487,0.29082077741622925,0.22176554799079895,0.2603367865085602,0.3407924473285675,0.5184548070426294
llava_1_5_7b,HALL,16,3487,0.2575494945049286,0.20575964450836182,0.23819595575332642,0.2822711765766144,0.5116175377233771
llava_1_5_7b,HALL,17,3487,0.24223686754703522,0.20507460832595825,0.23586665093898773,0.2700050473213196,0.5285429261160692
llava_1_5_7b,HALL,18,3487,0.2735019028186798,0.21294724941253662,0.24593916535377502,0.308794230222702,0.49389241871564565
llava_1_5_7b,HALL,19,3487,0.31870973110198975,0.2436203956604004,0.2915557026863098,0.3855697512626648,0.5192209890577446
llava_1_5_7b,HALL,20,3487,0.28600746393203735,0.23032934963703156,0.26229068636894226,0.3186548352241516,0.5422474812927642
llava_1_5_7b,HALL,21,3487,0.2853701114654541,0.20175804197788239,0.24045255780220032,0.3411356806755066,0.4756033312203223
llava_1_5_7b,HALL,22,3487,0.30402764678001404,0.24053055047988892,0.27590686082839966,0.34776926040649414,0.47778206254780853
llava_1_5_7b,HALL,23,3487,0.3279779255390167,0.2536202371120453,0.29596900939941406,0.3771305978298187,0.44999984674444005
llava_1_5_7b,HALL,24,3487,0.2975718080997467,0.2548641562461853,0.28429898619651794,0.3220905661582947,0.49617671678315045
llava_1_5_7b,HALL,25,3487,0.30877432227134705,0.23801320791244507,0.2690366804599762,0.35405462980270386,0.44213787243735153
llava_1_5_7b,HALL,26,3487,0.28134477138519287,0.22343489527702332,0.2541827857494354,0.2966464161872864,0.44686484861511566
llava_1_5_7b,HALL,27,3487,0.26297062635421753,0.2096269428730011,0.23588143289089203,0.27523529529571533,0.5268731828440363
