source,layer,metric,count,mean,std
new_jffn,1,centered_cosine,16510,0.8839751512462048,0.08298642690133419
new_jffn,1,js,16510,0.025864281844015465,0.020287045130503743
new_jffn,1,raw_cosine,16510,0.9136215898284473,0.06664351778886245
new_jffn,1,top32_overlap,16510,0.7269571471835251,0.10606379816478739
new_jffn,1,tv,16510,0.17012594793440897,0.06867331229365668
new_jffn,2,centered_cosine,16510,0.8753814564770745,0.10447750634876757
new_jffn,2,js,16510,0.03656869735227484,0.020700330210873877
new_jffn,2,raw_cosine,16510,0.893369030915449,0.08914616791472285
new_jffn,2,top32_overlap,16510,0.7410395215021199,0.08713833596601119
new_jffn,2,tv,16510,0.20618001694465535,0.062387223989047814
new_jffn,3,centered_cosine,16510,0.7332139819781485,0.2273436564056763
new_jffn,3,js,16510,0.09181005124675097,0.06855636236913858
new_jffn,3,raw_cosine,16510,0.7539662076062159,0.2099777103537365
new_jffn,3,top32_overlap,16510,0.6898603119321624,0.11432106290132496
new_jffn,3,tv,16510,0.33101019870641013,0.13138820269941434
new_jffn,4,centered_cosine,16510,0.7445139976141344,0.17547662852643706
new_jffn,4,js,16510,0.08092867514684905,0.048255839864712664
new_jffn,4,raw_cosine,16510,0.7710187806541958,0.15811665598477745
new_jffn,4,top32_overlap,16510,0.714701317383404,0.0999306156728206
new_jffn,4,tv,16510,0.3166378783934193,0.09940119248468907
new_jffn,5,centered_cosine,16510,0.6362343388909123,0.2135834645209854
new_jffn,5,js,16510,0.10019537235231114,0.058619372245627556
new_jffn,5,raw_cosine,16510,0.6841308824754101,0.19164723592162788
new_jffn,5,top32_overlap,16510,0.6617731677771048,0.12320895386962642
new_jffn,5,tv,16510,0.35022001505520833,0.11126936514888151
new_jffn,6,centered_cosine,16510,0.6386793965640462,0.2080426218345681
new_jffn,6,js,16510,0.09814359737945995,0.059322889267133715
new_jffn,6,raw_cosine,16510,0.6909189463311581,0.18388021163397203
new_jffn,6,top32_overlap,16510,0.6633725772259237,0.12745018007948014
new_jffn,6,tv,16510,0.34895957742949135,0.11478125947822672
new_jffn,7,centered_cosine,16510,0.45763931551787845,0.27107382109121025
new_jffn,7,js,16510,0.13769342351592298,0.09227597937172363
new_jffn,7,raw_cosine,16510,0.545590679222455,0.253850912274193
new_jffn,7,top32_overlap,16510,0.5639347365233192,0.152424629437676
new_jffn,7,tv,16510,0.4031657484060504,0.147431243282252
new_jffn,8,centered_cosine,16510,0.3793148075033127,0.25263604129343875
new_jffn,8,js,16510,0.17359705231367395,0.09112395739101463
new_jffn,8,raw_cosine,16510,0.47555657849787564,0.23044939406717777
new_jffn,8,top32_overlap,16510,0.47584229254996974,0.17741106676314738
new_jffn,8,tv,16510,0.4681689332486968,0.13776856420299152
new_jffn,9,centered_cosine,16510,0.46066239414706167,0.229537764120441
new_jffn,9,js,16510,0.11661657149094562,0.06107196508492126
new_jffn,9,raw_cosine,16510,0.5969107273720128,0.19183345679901334
new_jffn,9,top32_overlap,16510,0.48369170199878864,0.16480903698311156
new_jffn,9,tv,16510,0.3802775746805967,0.11044180460017058
new_jffn,10,centered_cosine,16510,0.2325044323403957,0.25474537813787507
new_jffn,10,js,16510,0.24244472692060035,0.10936229574222099
new_jffn,10,raw_cosine,16510,0.3376118649792903,0.23442393961879313
new_jffn,10,top32_overlap,16510,0.350662477286493,0.2020386432465604
new_jffn,10,tv,16510,0.5628020394424248,0.1490900701223882
new_jffn,11,centered_cosine,16510,0.1917769523785129,0.24260707724272423
new_jffn,11,js,16510,0.2531767481293525,0.1104774419630504
new_jffn,11,raw_cosine,16510,0.3060673644711494,0.2270773684847802
new_jffn,11,top32_overlap,16510,0.31495495154451847,0.19732533149877907
new_jffn,11,tv,16510,0.5747432668391572,0.1457885753842225
new_jffn,12,centered_cosine,16510,0.20542597133094564,0.25043390024314205
new_jffn,12,js,16510,0.26525787466015555,0.11320336282552637
new_jffn,12,raw_cosine,16510,0.30931409386227493,0.22833353677828108
new_jffn,12,top32_overlap,16510,0.3251362810417929,0.2070152881117042
new_jffn,12,tv,16510,0.5927203846886655,0.148911392136677
new_jffn,13,centered_cosine,16510,0.165862675119096,0.24046553321057731
new_jffn,13,js,16510,0.31293613898625955,0.12928531710370375
new_jffn,13,raw_cosine,16510,0.25473178687298403,0.22792785767160045
new_jffn,13,top32_overlap,16510,0.2988359327680194,0.212944909816176
new_jffn,13,tv,16510,0.6481471688024641,0.15919966279791548
new_jffn,14,centered_cosine,16510,0.21726764238243196,0.2500914572334745
new_jffn,14,js,16510,0.24143631874579713,0.10461262929836745
new_jffn,14,raw_cosine,16510,0.3108818284812401,0.2315770386555605
new_jffn,14,top32_overlap,16510,0.37175575408843126,0.1981824178623052
new_jffn,14,tv,16510,0.557189767704831,0.1409120788924826
new_jffn,15,centered_cosine,16510,0.15783857992277123,0.2518116424532458
new_jffn,15,js,16510,0.29789814418807925,0.12095551450089881
new_jffn,15,raw_cosine,16510,0.2612113086293496,0.23181391110247382
new_jffn,15,top32_overlap,16510,0.2885069654754694,0.2136552565696448
new_jffn,15,tv,16510,0.6288310156202114,0.15428857329295936
new_jffn,16,centered_cosine,16510,0.19305212725399737,0.26861799264562997
new_jffn,16,js,16510,0.315910746285064,0.1409657977223246
new_jffn,16,raw_cosine,16510,0.2898414837531401,0.24658946015080477
new_jffn,16,top32_overlap,16510,0.2996365838885524,0.22246171859526584
new_jffn,16,tv,16510,0.6513057642655254,0.17395882053143247
new_jffn,17,centered_cosine,16510,0.20292877855878397,0.2626031912112693
new_jffn,17,js,16510,0.30063831913090344,0.12942909682971898
new_jffn,17,raw_cosine,16510,0.29395417554001085,0.24126784156541103
new_jffn,17,top32_overlap,16510,0.3283975620835857,0.21570058104019224
new_jffn,17,tv,16510,0.6338087421580743,0.16418427882751968
new_jffn,18,centered_cosine,16510,0.13344885655078398,0.23618565952333762
new_jffn,18,js,16510,0.3602320484603236,0.13184851798916802
new_jffn,18,raw_cosine,16510,0.20270304773404782,0.22549254164497878
new_jffn,18,top32_overlap,16510,0.3073989248940036,0.20784175912546274
new_jffn,18,tv,16510,0.6984471918212906,0.15636064714893327
new_jffn,19,centered_cosine,16510,0.17964744362470855,0.24528080121584783
new_jffn,19,js,16510,0.31514654768916295,0.11993551815847087
new_jffn,19,raw_cosine,16510,0.2540476340319914,0.22933568501567111
new_jffn,19,top32_overlap,16510,0.3416187159297395,0.20104269560668103
new_jffn,19,tv,16510,0.6499527687018456,0.151470415549125
new_jffn,20,centered_cosine,16510,0.22262510664019527,0.26997384737215707
new_jffn,20,js,16510,0.3169791496782448,0.13510129881507554
new_jffn,20,raw_cosine,16510,0.301994517684332,0.25057888128526784
new_jffn,20,top32_overlap,16510,0.34977665051483947,0.2087046775295173
new_jffn,20,tv,16510,0.6494400716505759,0.17039857405723885
new_jffn,21,centered_cosine,16510,0.22943390525800195,0.2565749931668306
new_jffn,21,js,16510,0.26655997333315956,0.1159221726143393
new_jffn,21,raw_cosine,16510,0.3351588637770567,0.2329390749054795
new_jffn,21,top32_overlap,16510,0.33429739551786797,0.20345464593747603
new_jffn,21,tv,16510,0.5948758536616937,0.15464296414080372
new_jffn,22,centered_cosine,16510,0.3157930237449875,0.2631658658600169
new_jffn,22,js,16510,0.24369178477991746,0.11290138350956187
new_jffn,22,raw_cosine,16510,0.39039638784365993,0.24264725698082987
new_jffn,22,top32_overlap,16510,0.4351075105996366,0.18624263393719018
new_jffn,22,tv,16510,0.5643395602996425,0.15408056503934103
new_jffn,23,centered_cosine,16510,0.21052737788076956,0.25352002629639586
new_jffn,23,js,16510,0.29926402420318854,0.12362912644714237
new_jffn,23,raw_cosine,16510,0.28489064175654194,0.23845145553879948
new_jffn,23,top32_overlap,16510,0.3493753785584494,0.19817061999702457
new_jffn,23,tv,16510,0.6323064041022168,0.15740726627664273
new_jffn,24,centered_cosine,16510,0.2641467846382413,0.26399946291382703
new_jffn,24,js,16510,0.27638983367781506,0.12391468410495644
new_jffn,24,raw_cosine,16510,0.33512100810014434,0.24776323517520835
new_jffn,24,top32_overlap,16510,0.38909562386432467,0.18626116911641355
new_jffn,24,tv,16510,0.6032310148307333,0.16175104519088432
new_jffn,25,centered_cosine,16510,0.2045247837500149,0.2631853523426637
new_jffn,25,js,16510,0.35677173085217967,0.14475612010270167
new_jffn,25,raw_cosine,16510,0.267629741160852,0.2485608601119903
new_jffn,25,top32_overlap,16510,0.3411190187764991,0.20530133235961084
new_jffn,25,tv,16510,0.6949342461967382,0.17331579232811928
new_jffn,26,centered_cosine,16510,0.17939895594746205,0.247531359671529
new_jffn,26,js,16510,0.35849421279496996,0.137430734731155
new_jffn,26,raw_cosine,16510,0.24649183737824268,0.23418394330189618
new_jffn,26,top32_overlap,16510,0.3209607813446396,0.2008914952952103
new_jffn,26,tv,16510,0.6985997067594044,0.16332741431302433
new_jffn,27,centered_cosine,16510,0.2260214049843678,0.25043416899867793
new_jffn,27,js,16510,0.3214949538459102,0.13174683051587052
new_jffn,27,raw_cosine,16510,0.294465853932902,0.23616785555967384
new_jffn,27,top32_overlap,16510,0.3572134312537856,0.18978464188608088
new_jffn,27,tv,16510,0.6583425237866585,0.16075211819720683
new_jffn,28,centered_cosine,16510,0.27069130291388466,0.26558344875237583
new_jffn,28,js,16510,0.27205949573388954,0.12043519164055302
new_jffn,28,raw_cosine,16510,0.34065925502515865,0.24945681107949755
new_jffn,28,top32_overlap,16510,0.389239476075106,0.17659609311079574
new_jffn,28,tv,16510,0.5985920420086868,0.15680469236058317
new_jffn,29,centered_cosine,16510,0.19300069241585988,0.2540631368490131
new_jffn,29,js,16510,0.3507377609409457,0.13631139611433948
new_jffn,29,raw_cosine,16510,0.2509344672268484,0.2404069340799851
new_jffn,29,top32_overlap,16510,0.3534448818897638,0.20403955781883887
new_jffn,29,tv,16510,0.6907194585835551,0.163770559319361
new_jffn,30,centered_cosine,16510,0.1821651882380456,0.25147399160288586
new_jffn,30,js,16510,0.34423565333373485,0.13478458804614035
new_jffn,30,raw_cosine,16510,0.24933187552160277,0.2363555527845129
new_jffn,30,top32_overlap,16510,0.3448156420351302,0.2109583794645761
new_jffn,30,tv,16510,0.6842668167168194,0.16238263430420263
new_jffn,31,centered_cosine,16510,0.19471763556134655,0.2513089697186797
new_jffn,31,js,16510,0.3025656803256676,0.12116426670658995
new_jffn,31,raw_cosine,16510,0.27675092267179957,0.23190596130130003
new_jffn,31,top32_overlap,16510,0.336591459721381,0.20744103411089965
new_jffn,31,tv,16510,0.6367469438837378,0.15297772877176882
new_jffn,32,centered_cosine,16510,0.3054369832289846,0.2515325314712046
new_jffn,32,js,16510,0.1874310154419309,0.08503562239702657
new_jffn,32,raw_cosine,16510,0.4227601964745348,0.22308093860212594
new_jffn,32,top32_overlap,16510,0.4189714566929134,0.177728911390528
new_jffn,32,tv,16510,0.4844129325493692,0.12783045992486458
new_jffn_entropy_matched,1,centered_cosine,16510,0.8808420127518317,0.06978643379033635
new_jffn_entropy_matched,1,js,16510,0.004918928313903062,0.0037315079563335772
new_jffn_entropy_matched,1,raw_cosine,16510,0.9785234880692882,0.017089358598682856
new_jffn_entropy_matched,1,top32_overlap,16510,0.7269571471835251,0.10606379816478739
new_jffn_entropy_matched,1,tv,16510,0.07331348491854049,0.027735355844203557
new_jffn_entropy_matched,2,centered_cosine,16510,0.9037906811787532,0.0414715741594276
new_jffn_entropy_matched,2,js,16510,0.0022343798979716618,0.0008723820485639765
new_jffn_entropy_matched,2,raw_cosine,16510,0.9908520464894267,0.004019725791144101
new_jffn_entropy_matched,2,top32_overlap,16510,0.7410395215021199,0.08713833596601119
new_jffn_entropy_matched,2,tv,16510,0.05116955897280623,0.010349574554525424
new_jffn_entropy_matched,3,centered_cosine,16510,0.8463020851581765,0.09382604935392949
new_jffn_entropy_matched,3,js,16510,0.005035983680023009,0.003006872864481162
new_jffn_entropy_matched,3,raw_cosine,16510,0.977276385790792,0.015430112556071632
