model,split,metric,region,label,n,layer,mean,median,q25,q75
internvl_2_5_8b,train,raw_attention,BOS,0,1393,1,0.0,0.0,0.0,0.0
internvl_2_5_8b,train,raw_attention,BOS,0,1393,2,0.0,0.0,0.0,0.0
internvl_2_5_8b,train,raw_attention,BOS,0,1393,3,0.0,0.0,0.0,0.0
internvl_2_5_8b,train,raw_attention,BOS,0,1393,4,0.0,0.0,0.0,0.0
internvl_2_5_8b,train,raw_attention,BOS,0,1393,5,0.0,0.0,0.0,0.0
internvl_2_5_8b,train,raw_attention,BOS,0,1393,6,0.0,0.0,0.0,0.0
internvl_2_5_8b,train,raw_attention,BOS,0,1393,7,0.0,0.0,0.0,0.0
internvl_2_5_8b,train,raw_attention,BOS,0,1393,8,0.0,0.0,0.0,0.0
internvl_2_5_8b,train,raw_attention,BOS,0,1393,9,0.0,0.0,0.0,0.0
internvl_2_5_8b,train,raw_attention,BOS,0,1393,10,0.0,0.0,0.0,0.0
internvl_2_5_8b,train,raw_attention,BOS,0,1393,11,0.0,0.0,0.0,0.0
internvl_2_5_8b,train,raw_attention,BOS,0,1393,12,0.0,0.0,0.0,0.0
internvl_2_5_8b,train,raw_attention,BOS,0,1393,13,0.0,0.0,0.0,0.0
internvl_2_5_8b,train,raw_attention,BOS,0,1393,14,0.0,0.0,0.0,0.0
internvl_2_5_8b,train,raw_attention,BOS,0,1393,15,0.0,0.0,0.0,0.0
internvl_2_5_8b,train,raw_attention,BOS,0,1393,16,0.0,0.0,0.0,0.0
internvl_2_5_8b,train,raw_attention,BOS,0,1393,17,0.0,0.0,0.0,0.0
internvl_2_5_8b,train,raw_attention,BOS,0,1393,18,0.0,0.0,0.0,0.0
internvl_2_5_8b,train,raw_attention,BOS,0,1393,19,0.0,0.0,0.0,0.0
internvl_2_5_8b,train,raw_attention,BOS,0,1393,20,0.0,0.0,0.0,0.0
internvl_2_5_8b,train,raw_attention,BOS,0,1393,21,0.0,0.0,0.0,0.0
internvl_2_5_8b,train,raw_attention,BOS,0,1393,22,0.0,0.0,0.0,0.0
internvl_2_5_8b,train,raw_attention,BOS,0,1393,23,0.0,0.0,0.0,0.0
internvl_2_5_8b,train,raw_attention,BOS,0,1393,24,0.0,0.0,0.0,0.0
internvl_2_5_8b,train,raw_attention,BOS,0,1393,25,0.0,0.0,0.0,0.0
internvl_2_5_8b,train,raw_attention,BOS,0,1393,26,0.0,0.0,0.0,0.0
internvl_2_5_8b,train,raw_attention,BOS,0,1393,27,0.0,0.0,0.0,0.0
internvl_2_5_8b,train,raw_attention,BOS,0,1393,28,0.0,0.0,0.0,0.0
internvl_2_5_8b,train,raw_attention,BOS,0,1393,29,0.0,0.0,0.0,0.0
internvl_2_5_8b,train,raw_attention,BOS,0,1393,30,0.0,0.0,0.0,0.0
internvl_2_5_8b,train,raw_attention,BOS,0,1393,31,0.0,0.0,0.0,0.0
internvl_2_5_8b,train,raw_attention,BOS,0,1393,32,0.0,0.0,0.0,0.0
internvl_2_5_8b,train,raw_attention,BOS,1,7985,1,0.0,0.0,0.0,0.0
internvl_2_5_8b,train,raw_attention,BOS,1,7985,2,0.0,0.0,0.0,0.0
