model,split,label,layer,n,mean,median,q25,q75
internvl_2_5_8b,train,0,1,1393,0.2054540365934372,0.20203517377376556,0.17269128561019897,0.23441623151302338
internvl_2_5_8b,train,0,2,1393,0.26846498250961304,0.26913419365882874,0.24828661978244781,0.2901983857154846
internvl_2_5_8b,train,0,3,1393,0.22956669330596924,0.22852616012096405,0.20369082689285278,0.2535778284072876
internvl_2_5_8b,train,0,4,1393,0.18810279667377472,0.18666866421699524,0.1680879443883896,0.2069699466228485
internvl_2_5_8b,train,0,5,1393,0.1673036366701126,0.16612428426742554,0.14500929415225983,0.18624040484428406
internvl_2_5_8b,train,0,6,1393,0.13495704531669617,0.13412262499332428,0.11634274572134018,0.15063320100307465
internvl_2_5_8b,train,0,7,1393,0.13741445541381836,0.13670778274536133,0.11968372762203217,0.1539406031370163
internvl_2_5_8b,train,0,8,1393,0.11551845073699951,0.11400721222162247,0.09788552671670914,0.13087008893489838
internvl_2_5_8b,train,0,9,1393,0.12283320724964142,0.12143507599830627,0.10507373511791229,0.1400117427110672
internvl_2_5_8b,train,0,10,1393,0.08732005953788757,0.08485718816518784,0.07015523314476013,0.10034991800785065
internvl_2_5_8b,train,0,11,1393,0.12100762873888016,0.11759287118911743,0.09800418466329575,0.13983558118343353
internvl_2_5_8b,train,0,12,1393,0.08479456603527069,0.08216043561697006,0.06992930918931961,0.09691546857357025
internvl_2_5_8b,train,0,13,1393,0.11758814007043839,0.11337254196405411,0.08938425034284592,0.1394985318183899
internvl_2_5_8b,train,0,14,1393,0.0973178818821907,0.09479697793722153,0.08006031811237335,0.11114056408405304
internvl_2_5_8b,train,0,15,1393,0.09262723475694656,0.08879601210355759,0.07293064147233963,0.10959944874048233
internvl_2_5_8b,train,0,16,1393,0.11889525502920151,0.11443215608596802,0.09404677897691727,0.14051248133182526
internvl_2_5_8b,train,0,17,1393,0.10765589773654938,0.1031811535358429,0.0847179964184761,0.12592288851737976
internvl_2_5_8b,train,0,18,1393,0.10531993955373764,0.10206431895494461,0.08542683720588684,0.1228349506855011
internvl_2_5_8b,train,0,19,1393,0.12418840080499649,0.12199176847934723,0.10010476410388947,0.1443958729505539
internvl_2_5_8b,train,0,20,1393,0.1470092535018921,0.142521470785141,0.11880557984113693,0.172105073928833
internvl_2_5_8b,train,0,21,1393,0.1579541265964508,0.15426427125930786,0.1274731308221817,0.18753530085086823
internvl_2_5_8b,train,0,22,1393,0.190528005361557,0.18613629043102264,0.1524510234594345,0.2244827002286911
internvl_2_5_8b,train,0,23,1393,0.20461779832839966,0.20213699340820312,0.17149591445922852,0.23716968297958374
internvl_2_5_8b,train,0,24,1393,0.1912619024515152,0.18695512413978577,0.15532299876213074,0.2250010222196579
internvl_2_5_8b,train,0,25,1393,0.1542007178068161,0.14949260652065277,0.12623673677444458,0.17852285504341125
internvl_2_5_8b,train,0,26,1393,0.15308429300785065,0.14831918478012085,0.12418776005506516,0.1780935525894165
internvl_2_5_8b,train,0,27,1393,0.1428912729024887,0.13914573192596436,0.11731445789337158,0.16495168209075928
internvl_2_5_8b,train,0,28,1393,0.15193158388137817,0.1511588841676712,0.12795321643352509,0.17463254928588867
internvl_2_5_8b,train,0,29,1393,0.1767917424440384,0.17364183068275452,0.14154116809368134,0.20942412316799164
internvl_2_5_8b,train,0,30,1393,0.14232894778251648,0.13920442759990692,0.11455231159925461,0.166086807847023
internvl_2_5_8b,train,0,31,1393,0.1800147294998169,0.17979855835437775,0.14071837067604065,0.21376319229602814
internvl_2_5_8b,train,0,32,1393,0.21882930397987366,0.21794208884239197,0.1835838407278061,0.25334590673446655
internvl_2_5_8b,train,1,1,7985,0.20597943663597107,0.20375661551952362,0.17494061589241028,0.23450098931789398
internvl_2_5_8b,train,1,2,7985,0.2647031545639038,0.26517197489738464,0.24444901943206787,0.2849692702293396
internvl_2_5_8b,train,1,3,7985,0.22280921041965485,0.22173574566841125,0.19649089872837067,0.24780236184597015
internvl_2_5_8b,train,1,4,7985,0.18580445647239685,0.18546827137470245,0.1650080680847168,0.2058892399072647
internvl_2_5_8b,train,1,5,7985,0.16594953835010529,0.16506440937519073,0.14459148049354553,0.18539662659168243
internvl_2_5_8b,train,1,6,7985,0.12898941338062286,0.1270005702972412,0.11028991639614105,0.14503070712089539
internvl_2_5_8b,train,1,7,7985,0.1327538937330246,0.1307755410671234,0.11439607292413712,0.14868319034576416
internvl_2_5_8b,train,1,8,7985,0.10979735851287842,0.10684964805841446,0.09240853786468506,0.12422902137041092
internvl_2_5_8b,train,1,9,7985,0.1137104257941246,0.1116047203540802,0.0967051237821579,0.12830141186714172
internvl_2_5_8b,train,1,10,7985,0.08378633856773376,0.08006609231233597,0.06604155898094177,0.09749136120080948
internvl_2_5_8b,train,1,11,7985,0.10565581917762756,0.10134932398796082,0.08376143872737885,0.12230625003576279
internvl_2_5_8b,train,1,12,7985,0.08202061057090759,0.0783396065235138,0.0651993453502655,0.09523395448923111
internvl_2_5_8b,train,1,13,7985,0.11003625392913818,0.10560379177331924,0.08523371815681458,0.12959575653076172
internvl_2_5_8b,train,1,14,7985,0.09135179966688156,0.0880945548415184,0.07596684247255325,0.10324250161647797
internvl_2_5_8b,train,1,15,7985,0.08384853601455688,0.07980620115995407,0.06606770306825638,0.09773548692464828
internvl_2_5_8b,train,1,16,7985,0.10347479581832886,0.09758960455656052,0.07949864864349365,0.1206357330083847
internvl_2_5_8b,train,1,17,7985,0.09561747312545776,0.091592937707901,0.07718304544687271,0.10977395623922348
internvl_2_5_8b,train,1,18,7985,0.09905873984098434,0.09561445564031601,0.07792463153600693,0.11634961515665054
internvl_2_5_8b,train,1,19,7985,0.10713323950767517,0.10270853340625763,0.08743688464164734,0.12300479412078857
internvl_2_5_8b,train,1,20,7985,0.12955980002880096,0.12381861358880997,0.10382896661758423,0.1493394523859024
internvl_2_5_8b,train,1,21,7985,0.14201779663562775,0.137151300907135,0.11361316591501236,0.1662561148405075
internvl_2_5_8b,train,1,22,7985,0.1806889772415161,0.17751482129096985,0.14685854315757751,0.21085654199123383
internvl_2_5_8b,train,1,23,7985,0.1829317808151245,0.17993521690368652,0.15307943522930145,0.21108700335025787
internvl_2_5_8b,train,1,24,7985,0.1772393435239792,0.17494319379329681,0.14644548296928406,0.20518720149993896
internvl_2_5_8b,train,1,25,7985,0.15443286299705505,0.15097090601921082,0.1276012808084488,0.17669622600078583
internvl_2_5_8b,train,1,26,7985,0.14232847094535828,0.13841207325458527,0.11727074533700943,0.16306689381599426
internvl_2_5_8b,train,1,27,7985,0.13768042623996735,0.13281595706939697,0.11182359606027603,0.15814971923828125
internvl_2_5_8b,train,1,28,7985,0.14564324915409088,0.14391294121742249,0.12000206857919693,0.16904886066913605
internvl_2_5_8b,train,1,29,7985,0.16230827569961548,0.1578953117132187,0.13183318078517914,0.18793435394763947
internvl_2_5_8b,train,1,30,7985,0.13999132812023163,0.13594256341457367,0.11259723454713821,0.1628587245941162
internvl_2_5_8b,train,1,31,7985,0.16549456119537354,0.1615992784500122,0.1316860318183899,0.19512756168842316
internvl_2_5_8b,train,1,32,7985,0.21428552269935608,0.21334496140480042,0.1854073852300644,0.24305346608161926
internvl_2_5_8b,test,0,1,373,0.20304931700229645,0.1990993320941925,0.1712639033794403,0.22900357842445374
internvl_2_5_8b,test,0,2,373,0.2676715552806854,0.2682779133319855,0.2463051676750183,0.2868981957435608
internvl_2_5_8b,test,0,3,373,0.22745651006698608,0.22674088180065155,0.20093847811222076,0.24811288714408875
internvl_2_5_8b,test,0,4,373,0.18510474264621735,0.18566012382507324,0.1652422398328781,0.20416399836540222
internvl_2_5_8b,test,0,5,373,0.16488659381866455,0.16029594838619232,0.14255845546722412,0.18258394300937653
internvl_2_5_8b,test,0,6,373,0.13336671888828278,0.1326982080936432,0.11715175956487656,0.1465575397014618
internvl_2_5_8b,test,0,7,373,0.1340472400188446,0.13258413970470428,0.11693448573350906,0.14733916521072388
internvl_2_5_8b,test,0,8,373,0.11433776468038559,0.11269630491733551,0.0963476300239563,0.12933853268623352
internvl_2_5_8b,test,0,9,373,0.12096145004034042,0.11991613358259201,0.10339256376028061,0.13739609718322754
internvl_2_5_8b,test,0,10,373,0.08717185258865356,0.08271483331918716,0.07098822295665741,0.0993061438202858
internvl_2_5_8b,test,0,11,373,0.12071461975574493,0.11552821844816208,0.09704465419054031,0.14003808796405792
internvl_2_5_8b,test,0,12,373,0.08670318871736526,0.08308378607034683,0.07033858448266983,0.09884770214557648
internvl_2_5_8b,test,0,13,373,0.11643490940332413,0.11073407530784607,0.09088070690631866,0.1320609599351883
internvl_2_5_8b,test,0,14,373,0.09641458094120026,0.09371054917573929,0.08184164017438889,0.10850439220666885
internvl_2_5_8b,test,0,15,373,0.09389551728963852,0.09050904214382172,0.07246178388595581,0.11156929284334183
internvl_2_5_8b,test,0,16,373,0.119759701192379,0.1158028095960617,0.09323541074991226,0.14313620328903198
internvl_2_5_8b,test,0,17,373,0.10619066655635834,0.10062303394079208,0.08081679791212082,0.12531378865242004
internvl_2_5_8b,test,0,18,373,0.10523718595504761,0.10135912150144577,0.08253311365842819,0.12263742089271545
internvl_2_5_8b,test,0,19,373,0.1241680383682251,0.1208762526512146,0.09949153661727905,0.14638583362102509
internvl_2_5_8b,test,0,20,373,0.14392541348934174,0.13805662095546722,0.11735121160745621,0.16608268022537231
