model,group,classifier,AUROC_mean,AUROC_std,HALL_AUPR_mean,HALL_AUPR_std,ensemble_AUROC,ensemble_HALL_AUPR
internvl_2_5_8b,visual,three_hidden,0.8722855214960479,0.001579941605260585,0.5511941400674076,0.009527350689654329,0.8771341816078658,0.5612453147528508
internvl_2_5_8b,visual,one_hidden,0.8639897821476769,0.004412138834405883,0.5696527767300502,0.015518661967447792,0.8666136495083864,0.5756887303344939
internvl_2_5_8b,visual,xgb,0.8557171775592828,0.0,0.5068760423170342,0.0,0.8557171775592828,0.5068760423170342
internvl_2_5_8b,visual_prompt_sum,three_hidden,0.8634114131482553,0.002993428209094517,0.5150551191108748,0.010378323958096023,0.8673076923076923,0.5183972272808655
internvl_2_5_8b,visual_prompt_sum,one_hidden,0.8222199730094467,0.01152454216833904,0.45898808023008025,0.023708164057830456,0.8272325043377674,0.47166412200757635
internvl_2_5_8b,visual_prompt_sum,xgb,0.8618478889531521,0.0,0.532873818336515,0.0,0.8618478889531521,0.532873818336515
internvl_2_5_8b,generation,three_hidden,0.8454742625795258,0.0047394013499498676,0.4790610154103449,0.024146706723874707,0.8520040485829959,0.49456167388850597
internvl_2_5_8b,generation,one_hidden,0.8245450163871216,0.004368186723392885,0.447611320129164,0.01514745172260998,0.825989010989011,0.448933031661303
internvl_2_5_8b,generation,xgb,0.8308473105841526,0.0,0.463866254147918,0.0,0.8308473105841526,0.463866254147918
internvl_2_5_8b,vp_generation,three_hidden,0.8735521496047811,0.006204880231907249,0.5401515090229564,0.018543711096262218,0.8788866396761135,0.5509530789784955
internvl_2_5_8b,vp_generation,one_hidden,0.8506757277809909,0.0012751109123556258,0.5177231664878637,0.0024548315990775005,0.851257952573742,0.5197869884850873
internvl_2_5_8b,vp_generation,xgb,0.8762781954887218,0.0,0.5645602884574663,0.0,0.8762781954887218,0.5645602884574663
