feature_set,seed,threshold_rule,auroc,real_aupr,hall_aupr,precision,recall,f1,decision_threshold
A,43,fixed_0.5,0.8851318385515268,0.9632484756037466,0.6714084268740869,0.8936781609195402,0.8933114485022569,0.8934947670839318,0.5
A,43,train_f1,0.8851318385515268,0.9632484756037466,0.6714084268740869,0.8895655704425497,0.8990562166598277,0.8942857142857142,0.486383855342865
A,44,fixed_0.5,0.8909009146138545,0.9663099280950712,0.6795236120820473,0.9122807017543859,0.8748461222814936,0.893171344784248,0.5
A,44,train_f1,0.8909009146138545,0.9663099280950712,0.6795236120820473,0.8848605577689242,0.9113664341403365,0.8979179300586214,0.410518616437912
A,45,fixed_0.5,0.8866452950024684,0.9654181149838389,0.6608839240768268,0.9204291461779168,0.8448912597455889,0.8810440735986307,0.5
A,45,train_f1,0.8866452950024684,0.9654181149838389,0.6608839240768268,0.8955906821963394,0.8834632745178498,0.8894856434620946,0.41744786500930786
B,43,fixed_0.5,0.8739577262385891,0.9595500146492009,0.642867914546817,0.8968287526427061,0.8703323758719738,0.8833819241982507,0.5
B,43,train_f1,0.8739577262385891,0.9595500146492009,0.642867914546817,0.8589306029579067,0.9294214197784161,0.8927867560110366,0.41424378752708435
B,44,fixed_0.5,0.8728939660256516,0.958987347271111,0.6463518977707219,0.864938080495356,0.9171112022979072,0.8902609042023502,0.5
B,44,train_f1,0.8728939660256516,0.958987347271111,0.6463518977707219,0.8647604327666152,0.9183422240459581,0.8907462686567165,0.497261106967926
B,45,fixed_0.5,0.8715037853774062,0.9586900031499268,0.6475795966401747,0.898804440649018,0.8637669265490358,0.880937434609751,0.5
B,45,train_f1,0.8715037853774062,0.9586900031499268,0.6475795966401747,0.8509847640282423,0.9396799343455068,0.8931357254290172,0.39976072311401367
F,43,fixed_0.5,0.8979930352065275,0.9676446832392215,0.7107458831893558,0.9010717230008244,0.8970045137464095,0.8990335184042771,0.5
F,43,train_f1,0.8979930352065275,0.9676446832392215,0.7107458831893558,0.8975091874234381,0.901928600738613,0.8997134670487106,0.4859384596347809
F,44,fixed_0.5,0.8969321687917756,0.9676153199805304,0.704865352432086,0.8939886271324127,0.9031596224866639,0.8985507246376812,0.5
F,44,train_f1,0.8969321687917756,0.9676153199805304,0.704865352432086,0.8989690721649485,0.8945424702503078,0.8967503085150144,0.5260182023048401
F,45,fixed_0.5,0.8978382170036109,0.9679373084214288,0.7027197865546562,0.8945028294260308,0.9080837094788674,0.9012421095499898,0.5
F,45,train_f1,0.8978382170036109,0.9679373084214288,0.7027197865546562,0.9019365471775855,0.8982355354944604,0.9000822368421053,0.5235773324966431
C_JS,43,fixed_0.5,0.8819087261326759,0.9633146084091846,0.6639639308242158,0.9380226266601082,0.7825194911776775,0.8532438478747204,0.5
C_JS,43,train_f1,0.8819087261326759,0.9633146084091846,0.6639639308242158,0.8684719535783365,0.9212146081247435,0.8940661091198726,0.3013565242290497
C_JS,44,fixed_0.5,0.8885036921971047,0.9652690571347902,0.6740166265785816,0.8937040065412919,0.8970045137464095,0.8953512185132091,0.5
C_JS,44,train_f1,0.8885036921971047,0.9652690571347902,0.6740166265785816,0.8885748889786032,0.9031596224866639,0.8958078958078958,0.48323479294776917
C_JS,45,fixed_0.5,0.8832636024430602,0.9633523663874604,0.672364492050217,0.8857142857142857,0.9031596224866639,0.8943518894758228,0.5
C_JS,45,train_f1,0.8832636024430602,0.9633523663874604,0.672364492050217,0.8864277084172372,0.9031596224866639,0.8947154471544716,0.50246661901474
D_JS,43,fixed_0.5,0.8741880725741433,0.9601094508768755,0.6554459899111252,0.9020949123557076,0.8658186294624538,0.8835845896147404,0.5
D_JS,43,train_f1,0.8741880725741433,0.9601094508768755,0.6554459899111252,0.8677431757016532,0.926138695116947,0.8959904724096864,0.37455978989601135
D_JS,44,fixed_0.5,0.8835796052049011,0.9632078795517505,0.669032878774948,0.8746081504702194,0.9158801805498564,0.8947684906794949,0.5
D_JS,44,train_f1,0.8835796052049011,0.9632078795517505,0.669032878774948,0.882024711040255,0.9080837094788674,0.8948645369995957,0.5175552368164062
D_JS,45,fixed_0.5,0.8824811194137395,0.9631021306844401,0.6586342854450661,0.9098005203816132,0.8608945424702503,0.8846721484292642,0.5
D_JS,45,train_f1,0.8824811194137395,0.9631021306844401,0.6586342854450661,0.8638803680981595,0.9244973327862126,0.8931615460852329,0.3843865394592285
E_JS,43,fixed_0.5,0.864644904918473,0.9567618618753849,0.6363524271235016,0.9480446927374302,0.6963479688141158,0.8029335225928554,0.5
E_JS,43,train_f1,0.864644904918473,0.9567618618753849,0.6363524271235016,0.8647604327666152,0.9183422240459581,0.8907462686567165,0.2647590637207031
E_JS,44,fixed_0.5,0.8827296966778617,0.9631331054378216,0.6645503916522248,0.8794801102796377,0.9162905211325401,0.897508038585209,0.5
E_JS,44,train_f1,0.8827296966778617,0.9631331054378216,0.6645503916522248,0.8844462215113954,0.9076733688961839,0.8959092750101255,0.5158041715621948
E_JS,45,fixed_0.5,0.8786427855006821,0.9613588174435035,0.6582447195449509,0.8862997187625552,0.9052113254000821,0.8956557044254974,0.5
E_JS,45,train_f1,0.8786427855006821,0.9613588174435035,0.6582447195449509,0.8796992481203008,0.9121871153057037,0.895648670427075,0.47986042499542236
G_JS,43,fixed_0.5,0.8992483648593353,0.9682021248770557,0.7163920791422361,0.8982498982498982,0.9056216659827657,0.9019207192480588,0.5
G_JS,43,train_f1,0.8992483648593353,0.9682021248770557,0.7163920791422361,0.9030800821355236,0.9023389413212967,0.9027093596059114,0.5193487405776978
