new,baseline,ensemble_auroc_delta,ensemble_hall_aupr_delta
AE+I,AE,0.016264882080617715,0.04062349031725798
AE+S,AE,0.02251201360316657,0.055052499892698115
AE+S,AE+I,0.006247131522548854,0.014429009575440133
AE+I+S,AE+I,0.007604901631118377,0.012069893276629995
AE+I+S,AE+S,0.0013577701085695226,-0.0023591162988101377
AE+N,AE+S,-0.0049145374581920365,-0.023785776759682853
AE+N,AE+S+kappa,-0.006918782081370312,-0.0289942742114474
AE+S+kappa,AE+S,0.002004244623178275,0.005208497451764549
AE+S+N,AE+S,-0.0017588505370600416,-0.011200956072539237
AE+S+kappa,AE+S+N,0.0037630951602383167,0.016409453524303785
U,AE+S+kappa,0.004483072148755096,0.009790721077105213
H_OT,U,0.001334619723086683,-0.0014447359215725708
H_JS,U,-0.00014584742854195643,-0.0016218611184861675
