feature_set,dimensions,ensemble_auroc,mean_real_aupr,mean_hall_aupr,mean_hall_precision,mean_hall_recall,mean_hall_f1,ae32_ensemble_auroc,product_minus_ae32_auroc,full_ae_ensemble_auroc,product_minus_full_ae_auroc,ensemble_hall_aupr,mean_seed_auroc,std_seed_auroc,full_ae_cosine_ensemble_auroc,product_minus_full_ae_cosine_auroc
A,64,0.8954916360551048,0.9659995059485965,0.6602050064131258,0.6522552097979297,0.5890926187118007,0.6189470111010665,0.8966063271161043,-0.0011146910609994842,0.894778604182233,0.000713031872871861,0.6727081511901053,0.8898375402406753,0.0014377374402289743,0.8982928326985304,-0.0028011966434255964
B,32,0.8724361671527282,0.9558951344041504,0.6388646974695827,0.6583524454886753,0.5345557122708039,0.5899684408598417,0.8685000228610056,0.003936144291722621,0.8764845908140427,-0.004048423661314526,0.643262871396581,0.8695103442674533,0.00011513519152333433,0.8688877918178435,0.0035483753348847236
F,96,0.8980002697019909,0.9671766556240153,0.7023426516010268,0.6512259814574411,0.6332863187588152,0.6416213898935316,0.8991175651813573,-0.0011172954793664536,0.9010008490403876,-0.0030005793383967028,0.7096198728815724,0.8955580004934891,0.0008415266403133176,0.9011854733646133,-0.0031852036626224267
C_JS,64,0.8876639119637141,0.9609619745072061,0.6752674107802,0.647044906538768,0.5937940761636107,0.6192758048289799,0.8887094412480836,-0.0010455292843695174,0.8911758254414632,-0.003511913477749151,0.6858962581378973,0.883010298641902,0.00257025916038193,0.8864699308324357,0.0011939811312783322
D_JS,64,0.8849258001207292,0.9621223887897704,0.6561477760352724,0.6441332462343077,0.5773389750822755,0.6088194008755136,0.8833527314271691,0.001573068693560109,0.8855965825400951,-0.0006707824193659118,0.6645217568178384,0.8805833665637824,0.002794106004942253,0.8809832894729988,0.003942510647730435
E_JS,64,0.8844008651299055,0.9604909658518426,0.6670868374191713,0.6441161067295629,0.5914433474377058,0.6158352009020325,0.8849315877170999,-0.0005307225871944432,0.8846589919280394,-0.000258126798133973,0.6755669437672347,0.8805625312168478,0.0007934202896793903,0.8860676928846711,-0.0016668277547656762
G_JS,192,0.903784104135064,0.9681102657956756,0.7073600600392419,0.6490609478473569,0.687823225199812,0.66757887759392,0.9031231606295285,0.0006609435055355828,0.9025687088972141,0.00121539523784997,0.7190872544774827,0.8984263332548149,0.0017124222075529908,0.9048200838854219,-0.0010359797503578516
H_JS,224,0.9064469772252295,0.9699054692158641,0.7080447548117933,0.6486686367614304,0.701457451810061,0.6737531801865387,0.9074644366672011,-0.0010174594419716243,0.9053380737606007,0.0011089034646287743,0.719617005770589,0.9022803901380129,0.0008075395813230847,0.907196470955237,-0.0007494937300075444
C_OT,64,0.8802633124844821,0.9568980981721245,0.6630837811783399,0.6450444178250373,0.5848613070051717,0.6127662952374734,0.8877565135056456,-0.007493201021163465,0.890029302600425,-0.009765990115942924,0.6747204148649181,0.8748899150940321,0.0006765011672866063,0.8837549693749337,-0.003491656890451611
D_OT,64,0.8890457005972221,0.9632206446835904,0.6638908415400073,0.6333905059864532,0.6046074283027738,0.6185686516025733,0.8912015802453132,-0.0021558796480910525,0.8969501103405247,-0.007904409743302643,0.6742195092253641,0.8841549887440898,0.0014712669769410412,0.8930047058946092,-0.00395900529738713
