layer,tau_train_median,train_raw_min,train_raw_max,test_raw_min,test_raw_max,train_bounded_min,train_bounded_max,test_bounded_min,test_bounded_max
1,0.9700912237167358,0.352626234292984,2.3294925689697266,0.3925129771232605,2.279646873474121,0.26659226417541504,0.7059958577156067,0.28806090354919434,0.7014862895011902
2,0.6247003078460693,0.3616862893104553,1.6735515594482422,0.3828388452529907,1.0983004570007324,0.36667802929878235,0.7281845808029175,0.3799741566181183,0.6374346613883972
3,0.5503332614898682,0.2120213508605957,1.806597352027893,0.25884556770324707,1.2542821168899536,0.27811381220817566,0.7665042281150818,0.319886714220047,0.6950412392616272
4,0.4933546781539917,0.13319343328475952,2.4897208213806152,0.1425212174654007,2.1136398315429688,0.21258293092250824,0.8346154093742371,0.22413370013237,0.8107572793960571
5,0.5860655307769775,0.15921296179294586,3.3934125900268555,0.15527693927288055,2.93099308013916,0.21362881362438202,0.8527280688285828,0.20945371687412262,0.8333648443222046
6,0.7097078561782837,0.1763899028301239,4.631114959716797,0.1948968768119812,3.4325385093688965,0.19906370341777802,0.867116391658783,0.2154497653245926,0.8286659717559814
7,1.0979924201965332,0.17370814085006714,8.30854320526123,0.20833581686019897,6.8466691970825195,0.13659515976905823,0.8832734227180481,0.1594819724559784,0.8617949485778809
8,1.206324815750122,0.18198134005069733,8.100228309631348,0.20113518834114075,8.427823066711426,0.13108156621456146,0.8703790307044983,0.14290650188922882,0.8747865557670593
9,1.4780783653259277,0.14517514407634735,9.713663101196289,0.19657161831855774,8.770981788635254,0.0894346758723259,0.8679313063621521,0.11738072335720062,0.8557840585708618
10,2.0630412101745605,0.2076108157634735,8.30466079711914,0.2178538292646408,7.413561820983887,0.09143224358558655,0.8010126352310181,0.09551243484020233,0.782301664352417
11,3.3140101432800293,0.2391393929719925,10.034863471984863,0.24668216705322266,10.531238555908203,0.06730350106954575,0.7517386078834534,0.0692792683839798,0.7606391310691833
12,5.20125675201416,0.3615848422050476,16.55983543395996,0.38492876291275024,15.893686294555664,0.0650000274181366,0.7609836459159851,0.06890726834535599,0.7534357905387878
13,3.369375467300415,0.20269888639450073,11.025683403015137,0.2095896452665329,10.747520446777344,0.05674542486667633,0.7659353017807007,0.058561522513628006,0.7613232135772705
14,3.877244234085083,0.3390952944755554,11.3737154006958,0.3363719880580902,9.825872421264648,0.08042409271001816,0.7457705140113831,0.07982975989580154,0.7170538306236267
15,6.29359769821167,0.23171177506446838,15.722604751586914,0.2673073410987854,15.130904197692871,0.03550969809293747,0.7141379117965698,0.04074244946241379,0.7062429785728455
16,4.715456008911133,0.3081064224243164,10.54248046875,0.320054292678833,12.418062210083008,0.061332255601882935,0.6909506320953369,0.06355945765972137,0.7247818112373352
17,4.316999435424805,0.2987007200717926,12.935079574584961,0.34504544734954834,12.505392074584961,0.06471406668424606,0.7497693300247192,0.07401160895824432,0.7433778047561646
18,6.083290100097656,0.395807147026062,13.666973114013672,0.44962427020072937,13.968900680541992,0.061089858412742615,0.6919894218444824,0.06882445514202118,0.696627140045166
19,5.163163185119629,0.21841730177402496,16.99894142150879,0.2256116271018982,14.08843994140625,0.040586087852716446,0.7670273780822754,0.0418669618666172,0.7318060994148254
20,6.960057258605957,0.3041393756866455,16.341018676757812,0.3886556029319763,14.132305145263672,0.04186827689409256,0.7012988924980164,0.05288757383823395,0.6700200438499451
21,9.482307434082031,0.31233853101730347,21.562196731567383,0.3787134289741516,22.298175811767578,0.031888701021671295,0.6945576071739197,0.03840509429574013,0.7016311287879944
22,6.471881866455078,0.1945999264717102,17.898832321166992,0.2764948904514313,16.118736267089844,0.029190797358751297,0.7344402074813843,0.04097205772995949,0.7135146260261536
23,6.713274955749512,0.245256707072258,21.7125244140625,0.30538004636764526,20.973155975341797,0.035245466977357864,0.763831615447998,0.043509770184755325,0.7575246691703796
24,3.2785162925720215,0.19024838507175446,12.969240188598633,0.19581171870231628,10.761061668395996,0.0548461489379406,0.7982172966003418,0.05635959282517433,0.7664804458618164
25,7.048081398010254,0.2418772429227829,20.333770751953125,0.3615896701812744,23.195343017578125,0.03317951038479805,0.7426003217697144,0.04879969358444214,0.7669549584388733
26,3.8829550743103027,0.2041834592819214,18.742965698242188,0.25060564279556274,20.639766693115234,0.049957554787397385,0.8283846378326416,0.06062706187367439,0.841658890247345
27,5.9184465408325195,0.30712229013442993,20.132863998413086,0.33144527673721313,16.992937088012695,0.049332406371831894,0.7728157639503479,0.05303216353058815,0.741680920124054
28,0.571265697479248,0.14238061010837555,11.91675090789795,0.16541358828544617,13.880805969238281,0.19951145350933075,0.9542549252510071,0.22453947365283966,0.9604716897010803
29,2.6419875621795654,0.22282400727272034,24.028085708618164,0.2294938862323761,23.111230850219727,0.07777963578701019,0.9009381532669067,0.07992177456617355,0.8974114060401917
30,3.8769371509552,0.5206130743026733,14.426310539245605,0.5644063353538513,14.472344398498535,0.11838707327842712,0.7881830930709839,0.12708009779453278,0.7887145280838013
31,1.7026880979537964,0.3833044767379761,6.757442474365234,0.5049124360084534,6.2725419998168945,0.18375159800052643,0.7987397313117981,0.22871547937393188,0.7865029573440552
32,18.19645118713379,8.520548820495605,72.44047546386719,7.217331409454346,67.82048797607422,0.3189186453819275,0.7992380261421204,0.28399279713630676,0.788455069065094
