feature_set,dimensions,ensemble_auroc,raw_reference,raw_reference_ensemble_auroc,log1p_minus_raw_auroc,bounded_reference,bounded_reference_ensemble_auroc,log1p_minus_bounded_auroc,d_ot_ensemble_auroc,log1p_combo_minus_d_ot_auroc,mean_hall_aupr,mean_hall_precision,mean_hall_recall,mean_hall_f1,seed43_auroc,seed44_auroc,seed45_auroc
log1p_strength,32,0.8921148629526117,strength,0.8860167620366088,0.006098100916002824,bounded_strength,0.8933403864841103,-0.001225523531498629,,,0.6865390969602018,0.6717776559331113,0.6064880112834979,0.6373538830342332,0.8883566872492886,0.8910105895650795,0.8899465399723238
D_OT+log1p_strength,96,0.9060939338466161,D_OT+strength,0.898662660106619,0.00743127373999708,D_OT+bounded_strength,0.906418618003013,-0.00032468415639697046,0.8969501103405247,0.009143823506091331,0.7044999945596079,0.6523283114042425,0.6704278326281147,0.6611719090582323,0.901494241630991,0.9030924863687637,0.8966485765696106
