model,label,layer,n_mentions,mean,q25,median,q75,raw_endpoint_js_residual_real_auroc
llava_1_5_7b,HALL,1,3487,0.004091975744813681,0.0016576796770095825,0.0035728365182876587,0.0061347028240561485,0.501866197742967
llava_1_5_7b,HALL,2,3487,0.015794141218066216,0.012662313878536224,0.015707574784755707,0.018786627799272537,0.46836995614400584
llava_1_5_7b,HALL,3,3487,-0.004743080120533705,-0.008714288473129272,-0.0037674307823181152,-5.728006362915039e-05,0.5409732690694457
llava_1_5_7b,HALL,4,3487,-0.0028171921148896217,-0.006791502237319946,-0.0025382637977600098,0.0015658289194107056,0.5771400845855749
llava_1_5_7b,HALL,5,3487,-0.005235402379184961,-0.007854431867599487,-0.0050712525844573975,-0.002210557460784912,0.489810420956625
llava_1_5_7b,HALL,6,3487,-0.005879429634660482,-0.009038329124450684,-0.0050355494022369385,-0.001594439148902893,0.4239058247457538
llava_1_5_7b,HALL,7,3487,-0.0056350636295974255,-0.00846545398235321,-0.003556281328201294,-0.0005569532513618469,0.297471352704453
llava_1_5_7b,HALL,8,3487,-0.004451599437743425,-0.008091002702713013,-0.002725064754486084,0.001200944185256958,0.2865172798517406
llava_1_5_7b,HALL,9,3487,-0.005605360027402639,-0.010294318199157715,-0.004020571708679199,0.0003389418125152588,0.298862937135144
llava_1_5_7b,HALL,10,3487,-0.014045942574739456,-0.021317973732948303,-0.01291656494140625,-0.0058743879199028015,0.2937097787966718
llava_1_5_7b,HALL,11,3487,-0.016939876601099968,-0.024929016828536987,-0.015794813632965088,-0.008037369698286057,0.3321805761412894
llava_1_5_7b,HALL,12,3487,-0.022686375305056572,-0.02997322380542755,-0.022945523262023926,-0.015802040696144104,0.44282563070888936
llava_1_5_7b,HALL,13,3487,-0.02770724706351757,-0.035771146416664124,-0.027350425720214844,-0.019226446747779846,0.4440933774632718
llava_1_5_7b,HALL,14,3487,-0.01802208088338375,-0.024313293397426605,-0.018267706036567688,-0.012036964297294617,0.49632907436132184
llava_1_5_7b,HALL,15,3487,-0.029270553961396217,-0.03565722703933716,-0.028797432780265808,-0.02275184541940689,0.3600959327123801
llava_1_5_7b,HALL,16,3487,-0.022966040298342705,-0.030411139130592346,-0.02288268506526947,-0.01499280333518982,0.3681285834262924
llava_1_5_7b,HALL,17,3487,-0.014895053580403328,-0.020201101899147034,-0.013890579342842102,-0.00826234370470047,0.23662453719215507
llava_1_5_7b,HALL,18,3487,-0.021130386739969254,-0.02746608853340149,-0.020398110151290894,-0.013877272605895996,0.29483320191669066
