model,label,layer,n_mentions,mean,q25,median,q75,raw_strength_real_auroc
llava_1_5_7b,HALL,1,3487,0.8661655187606812,0.6341387033462524,0.8026590943336487,0.9867347478866577,0.6912353049469555
llava_1_5_7b,HALL,2,3487,0.5736777186393738,0.5138904452323914,0.5579981207847595,0.6203452348709106,0.7177406983932497
llava_1_5_7b,HALL,3,3487,0.5474404096603394,0.4752603769302368,0.5387925505638123,0.6087625026702881,0.541053153530079
llava_1_5_7b,HALL,4,3487,0.4304488003253937,0.34522923827171326,0.4028637111186981,0.47622108459472656,0.7409558985095706
llava_1_5_7b,HALL,5,3487,0.499412477016449,0.3745468556880951,0.4562109708786011,0.5621026754379272,0.7335684177838517
llava_1_5_7b,HALL,6,3487,0.6128446459770203,0.4257507622241974,0.510219931602478,0.638772189617157,0.7435025509387956
llava_1_5_7b,HALL,7,3487,0.833581805229187,0.48483118414878845,0.613276481628418,0.8268786072731018,0.7770091253149642
llava_1_5_7b,HALL,8,3487,0.9104287624359131,0.5556631088256836,0.7225838899612427,1.0104912519454956,0.7526662755776345
llava_1_5_7b,HALL,9,3487,1.0807955265045166,0.6598407030105591,0.8614909052848816,1.1792030334472656,0.7643237076389658
llava_1_5_7b,HALL,10,3487,1.408124327659607,0.8803002834320068,1.1830949783325195,1.668546199798584,0.7755168711383191
llava_1_5_7b,HALL,11,3487,2.1285784244537354,1.3450020551681519,1.875306487083435,2.643641471862793,0.7807430533564979
llava_1_5_7b,HALL,12,3487,4.599792957305908,3.6525774002075195,4.482288360595703,5.404473304748535,0.6649385066854865
llava_1_5_7b,HALL,13,3487,2.605773687362671,1.8270297050476074,2.4738752841949463,3.2221126556396484,0.7316982090555262
llava_1_5_7b,HALL,14,3487,3.645672559738159,2.8088605403900146,3.680122137069702,4.500308036804199,0.5564501529586273
llava_1_5_7b,HALL,15,3487,5.060473442077637,3.5841212272644043,4.977683067321777,6.379207611083984,0.6855631849685414
llava_1_5_7b,HALL,16,3487,3.8276069164276123,2.894115924835205,3.8105783462524414,4.746508598327637,0.6864843107494024
llava_1_5_7b,HALL,17,3487,3.3308496475219727,2.430365562438965,3.1463212966918945,3.968003749847412,0.7257674224273037
llava_1_5_7b,HALL,18,3487,5.345543384552002,4.205550670623779,5.367530822753906,6.585840225219727,0.6222996729526351
llava_1_5_7b,HALL,19,3487,4.40252685546875,3.5640292167663574,4.415304183959961,5.287822723388672,0.6558301336445954
llava_1_5_7b,HALL,20,3487,6.252069473266602,5.182399749755859,6.617579460144043,7.714259147644043,0.565718486490235
llava_1_5_7b,HALL,21,3487,9.021544456481934,7.801907539367676,9.681327819824219,10.985945701599121,0.49193019678588606
llava_1_5_7b,HALL,22,3487,7.065091133117676,5.65848445892334,7.558323860168457,9.032899856567383,0.37987907034794177
llava_1_5_7b,HALL,23,3487,7.035116672515869,6.146103382110596,7.489163875579834,8.549459457397461,0.3891726910469443
llava_1_5_7b,HALL,24,3487,3.5250744819641113,2.9381539821624756,3.6685402393341064,4.306257724761963,0.39895311366447644
llava_1_5_7b,HALL,25,3487,7.633440017700195,6.258050441741943,8.085508346557617,9.493745803833008,0.39497880188251466
llava_1_5_7b,HALL,26,3487,4.171920299530029,3.2359795570373535,4.269084453582764,5.169571876525879,0.43164036944934703
llava_1_5_7b,HALL,27,3487,6.069202423095703,5.050603866577148,6.39833927154541,7.397980213165283,0.4343405647927151
llava_1_5_7b,HALL,28,3487,0.5707178711891174,0.4132400155067444,0.5036677122116089,0.6280627250671387,0.6243455149473021
llava_1_5_7b,HALL,29,3487,2.7488086223602295,2.0809926986694336,2.7273306846618652,3.3940935134887695,0.4854869977982923
llava_1_5_7b,HALL,30,3487,3.91359281539917,3.0925397872924805,3.8928744792938232,4.7762603759765625,0.5036737991804277
llava_1_5_7b,HALL,31,3487,1.5943448543548584,1.2533061504364014,1.5268757343292236,1.8513634204864502,0.6165870120893733
llava_1_5_7b,HALL,32,3487,16.00739097595215,14.017468452453613,15.440094947814941,17.14028549194336,0.7800365093057735
llava_1_5_7b,REAL,1,11976,1.1788071393966675,0.78443443775177,1.0287493467330933,1.6687607765197754,0.6912353049469555
llava_1_5_7b,REAL,2,11976,0.6525701880455017,0.5679988861083984,0.6477203369140625,0.7220776081085205,0.7177406983932497
llava_1_5_7b,REAL,3,11976,0.5697810053825378,0.473785400390625,0.5540413856506348,0.6471429467201233,0.541053153530079
llava_1_5_7b,REAL,4,11976,0.6196368336677551,0.41938531398773193,0.5421022176742554,0.7561061978340149,0.7409558985095706
llava_1_5_7b,REAL,5,11976,0.7501977682113647,0.47718316316604614,0.6562371253967285,0.908051609992981,0.7335684177838517
llava_1_5_7b,REAL,6,11976,1.0514271259307861,0.5448238849639893,0.8736556768417358,1.319685935974121,0.7435025509387956
llava_1_5_7b,REAL,7,11976,1.961434245109558,0.7175400853157043,1.6386762857437134,2.891144037246704,0.7770091253149642
llava_1_5_7b,REAL,8,11976,1.9291716814041138,0.8077951669692993,1.6909582614898682,2.8197813034057617,0.7526662755776345
llava_1_5_7b,REAL,9,11976,2.2450942993164062,1.0018714666366577,1.930058240890503,2.9731287956237793,0.7643237076389658
llava_1_5_7b,REAL,10,11976,2.6433472633361816,1.4441379308700562,2.6256866455078125,3.67732310295105,0.7755168711383191
llava_1_5_7b,REAL,11,11976,3.8264849185943604,2.4059433937072754,3.9486942291259766,5.165931701660156,0.7807430533564979
llava_1_5_7b,REAL,12,11976,5.79365873336792,4.298508644104004,5.4795684814453125,7.003086566925049,0.6649385066854865
llava_1_5_7b,REAL,13,11976,3.935218334197998,2.6315090656280518,3.773712158203125,5.189304351806641,0.7316982090555262
llava_1_5_7b,REAL,14,11976,3.9882490634918213,2.8224358558654785,3.941162109375,5.047054767608643,0.5564501529586273
llava_1_5_7b,REAL,15,11976,6.78965425491333,4.741981029510498,6.86350154876709,8.899964332580566,0.6855631849685414
llava_1_5_7b,REAL,16,11976,4.891957759857178,3.653766632080078,5.084383010864258,6.208081245422363,0.6864843107494024
llava_1_5_7b,REAL,17,11976,5.347153186798096,3.0880415439605713,5.287165641784668,7.525554656982422,0.7257674224273037
llava_1_5_7b,REAL,18,11976,6.220403671264648,4.74652099609375,6.342540740966797,7.823467254638672,0.6222996729526351
llava_1_5_7b,REAL,19,11976,5.620128154754639,3.8748347759246826,5.596310615539551,7.389834403991699,0.6558301336445954
llava_1_5_7b,REAL,20,11976,6.714847564697266,4.9894280433654785,7.116742134094238,8.61354923248291,0.565718486490235
llava_1_5_7b,REAL,21,11976,8.944561958312988,6.740694522857666,9.395242691040039,11.410253524780273,0.49193019678588606
llava_1_5_7b,REAL,22,11976,5.980334281921387,3.8109240531921387,6.08345890045166,8.03801441192627,0.37987907034794177
llava_1_5_7b,REAL,23,11976,6.1724090576171875,4.291528701782227,6.383939266204834,8.032997131347656,0.3891726910469443
llava_1_5_7b,REAL,24,11976,3.0901143550872803,2.0094246864318848,3.1106719970703125,4.058718681335449,0.39895311366447644
llava_1_5_7b,REAL,25,11976,6.745647430419922,4.568818092346191,6.692548751831055,8.777898788452148,0.39497880188251466
llava_1_5_7b,REAL,26,11976,3.876338005065918,2.544203519821167,3.7818987369537354,4.890543460845947,0.43164036944934703
llava_1_5_7b,REAL,27,11976,5.605325222015381,3.7260947227478027,5.740603446960449,7.265202522277832,0.4343405647927151
llava_1_5_7b,REAL,28,11976,0.7406105399131775,0.45140761137008667,0.607114851474762,0.8514609336853027,0.6243455149473021
llava_1_5_7b,REAL,29,11976,2.8733537197113037,1.7665435075759888,2.613058090209961,3.5364151000976562,0.4854869977982923
llava_1_5_7b,REAL,30,11976,3.9997029304504395,2.8374195098876953,3.88142728805542,5.025893211364746,0.5036737991804277
llava_1_5_7b,REAL,31,11976,1.9346424341201782,1.3256279230117798,1.787405014038086,2.3762755393981934,0.6165870120893733
llava_1_5_7b,REAL,32,11976,20.592586517333984,16.64674186706543,19.126142501831055,22.24887466430664,0.7800365093057735
