model,label,layer,n_mentions,mean,q25,median,q75,raw_d_js_union_topk_real_auroc
llava_1_5_7b,HALL,1,3487,0.001037359470501542,0.0005818562349304557,0.0009202783112414181,0.0013276580721139908,0.5030825200731259
llava_1_5_7b,HALL,2,3487,0.004735116846859455,0.0018733919132500887,0.0026292535476386547,0.005540743470191956,0.39012288749183677
llava_1_5_7b,HALL,3,3487,0.0008809962309896946,0.0006195106543600559,0.000813060556538403,0.0010665152221918106,0.5274812841436625
llava_1_5_7b,HALL,4,3487,0.001481753308326006,0.0007917093462310731,0.0012084939517080784,0.001920739421620965,0.6232869500591854
llava_1_5_7b,HALL,5,3487,0.0012163752689957619,0.0006654431344941258,0.0009978993330150843,0.0014980679843574762,0.6604636478769603
llava_1_5_7b,HALL,6,3487,0.0017359104240313172,0.0011717792367562652,0.0014994601951912045,0.002029688563197851,0.5563064758711572
llava_1_5_7b,HALL,7,3487,0.002916332334280014,0.0022001760080456734,0.0027638101018965244,0.003457803511992097,0.3382431146587219
llava_1_5_7b,HALL,8,3487,0.0022350293584167957,0.0015686401166021824,0.0020923728588968515,0.0027146735228598118,0.4007201382978173
llava_1_5_7b,HALL,9,3487,0.0009775510989129543,0.0005457900115288794,0.0007955029141157866,0.001203959109261632,0.5680888112138626
llava_1_5_7b,HALL,10,3487,0.0007461074856109917,0.00042615458369255066,0.0005965263117104769,0.0008769204723648727,0.612046025901339
llava_1_5_7b,HALL,11,3487,0.0005169142968952656,0.0002902221749536693,0.00042971622315235436,0.0006487708305940032,0.6441512218586873
llava_1_5_7b,HALL,12,3487,0.00075653160456568,0.00042891333578154445,0.0006345295114442706,0.000932438881136477,0.7005680058137498
llava_1_5_7b,HALL,13,3487,0.0007680793642066419,0.0003891809901688248,0.0006106762448325753,0.0009615635499358177,0.6130038492049581
llava_1_5_7b,HALL,14,3487,0.0019103551749140024,0.0012099063023924828,0.0017779705813154578,0.0024322867393493652,0.415161014601615
llava_1_5_7b,HALL,15,3487,0.0018766002031043172,0.0011028082808479667,0.0016025600489228964,0.002260105451568961,0.4357976540022019
llava_1_5_7b,HALL,16,3487,0.0010273248190060258,0.0006095750723034143,0.0008778689661994576,0.0012691239826381207,0.450474903061069
llava_1_5_7b,HALL,17,3487,0.0011677746661007404,0.0005596616538241506,0.0008416078635491431,0.001351413200609386,0.6514635235483873
llava_1_5_7b,HALL,18,3487,0.0016975635662674904,0.001004098798148334,0.0014912603655830026,0.002182458760216832,0.43923995347544337
llava_1_5_7b,HALL,19,3487,0.0009677966008894145,0.00047770081437192857,0.000708643754478544,0.001078275847248733,0.7241841128964746
llava_1_5_7b,HALL,20,3487,0.0007861593621782959,0.0003249607398174703,0.0005105284508317709,0.000810086028650403,0.6777869619364912
llava_1_5_7b,HALL,21,3487,0.0038834381848573685,0.0022332479711622,0.0032051517628133297,0.004640952683985233,0.5729166846263026
llava_1_5_7b,HALL,22,3487,0.0012352518970146775,0.0005159885622560978,0.0007911840220913291,0.0012930541997775435,0.56520600229232
llava_1_5_7b,HALL,23,3487,0.0021482089068740606,0.0005306055536493659,0.0009329164167866111,0.0020645377226173878,0.5463984081344986
llava_1_5_7b,HALL,24,3487,0.0010741309961304069,0.00014605815522372723,0.0002817802596837282,0.000729371968191117,0.6090669054388291
llava_1_5_7b,HALL,25,3487,0.0020778689067810774,0.00043807929614558816,0.0008964660810306668,0.001930187689140439,0.5097175040263109
llava_1_5_7b,HALL,26,3487,0.0038340960163623095,0.00022687591263093054,0.0006215563626028597,0.002655748277902603,0.5162451492220652
llava_1_5_7b,HALL,27,3487,0.0029683688189834356,0.00033046104363165796,0.0007948320126160979,0.002448932733386755,0.5391339149956542
llava_1_5_7b,HALL,28,3487,0.001025621430017054,0.00045017569209448993,0.0007340600714087486,0.0011720973998308182,0.4537128697697469
llava_1_5_7b,HALL,29,3487,0.0016978848725557327,0.0009255502372980118,0.0013837831793352962,0.0020866922568529844,0.6119385434668209
llava_1_5_7b,HALL,30,3487,0.001833528047427535,0.0003883121535181999,0.0006777530070394278,0.001456940546631813,0.5745989996434893
llava_1_5_7b,HALL,31,3487,0.003684660652652383,0.00233630184084177,0.003198073012754321,0.004396575503051281,0.46468320207952474
llava_1_5_7b,HALL,32,3487,0.053173016756772995,0.04463379457592964,0.05313807725906372,0.06184970587491989,0.4668685186068533
llava_1_5_7b,REAL,1,11976,0.0011015349300578237,0.0005637180292978883,0.000894558965228498,0.0013793375110253692,0.5030825200731259
llava_1_5_7b,REAL,2,11976,0.0031408551149070263,0.0016352456295862794,0.002197421621531248,0.0030192385893315077,0.39012288749183677
llava_1_5_7b,REAL,3,11976,0.000927031331229955,0.0006383585277944803,0.0008495026850141585,0.0011310980189591646,0.5274812841436625
llava_1_5_7b,REAL,4,11976,0.001999265281483531,0.0010356216225773096,0.001685640076175332,0.002604189794510603,0.6232869500591854
llava_1_5_7b,REAL,5,11976,0.001765736611559987,0.0009335302165709436,0.001515161944553256,0.0022951955907046795,0.6604636478769603
llava_1_5_7b,REAL,6,11976,0.0019362656166777015,0.0012369315372779965,0.0016595376655459404,0.002309144474565983,0.5563064758711572
llava_1_5_7b,REAL,7,11976,0.002352716401219368,0.0015981707256287336,0.0021888231858611107,0.0029209123458713293,0.3382431146587219
llava_1_5_7b,REAL,8,11976,0.0019887720700353384,0.001207567984238267,0.0017511602491140366,0.0024902457371354103,0.4007201382978173
llava_1_5_7b,REAL,9,11976,0.0011756052263081074,0.0005982591537758708,0.0009399595437571406,0.0015172676648944616,0.5680888112138626
llava_1_5_7b,REAL,10,11976,0.0009491415112279356,0.0005081645213067532,0.0007797026191838086,0.0012044011382386088,0.612046025901339
llava_1_5_7b,REAL,11,11976,0.0007239699480123818,0.00038933526957407594,0.0005911532207392156,0.0009072792599909008,0.6441512218586873
llava_1_5_7b,REAL,12,11976,0.0011619575088843703,0.0006521481554955244,0.0009896735427901149,0.0015036915428936481,0.7005680058137498
llava_1_5_7b,REAL,13,11976,0.0010110539151355624,0.0005165135371498764,0.0007974258624017239,0.0012400065315887332,0.6130038492049581
llava_1_5_7b,REAL,14,11976,0.0017177340341731906,0.0009765066206455231,0.0014617759734392166,0.0021622374188154936,0.415161014601615
llava_1_5_7b,REAL,15,11976,0.0017205673502758145,0.0009075760608538985,0.0013865809887647629,0.0021082337480038404,0.4357976540022019
llava_1_5_7b,REAL,16,11976,0.0009622220532037318,0.0005354728200472891,0.0008031479083001614,0.0011901953257620335,0.450474903061069
llava_1_5_7b,REAL,17,11976,0.0015813101781532168,0.0008110215421766043,0.001228273380547762,0.00192194280680269,0.6514635235483873
llava_1_5_7b,REAL,18,11976,0.0015569281531497836,0.0008572919759899378,0.0013010932598263025,0.0019605031702667475,0.43923995347544337
llava_1_5_7b,REAL,19,11976,0.0019803408067673445,0.0007696831016801298,0.001352634746581316,0.002471970859915018,0.7241841128964746
llava_1_5_7b,REAL,20,11976,0.0014543147990480065,0.00048706005327403545,0.00084873684681952,0.0016912623541429639,0.6777869619364912
llava_1_5_7b,REAL,21,11976,0.004824753850698471,0.0024114500265568495,0.003802390769124031,0.005994681268930435,0.5729166846263026
llava_1_5_7b,REAL,22,11976,0.0016032264102250338,0.0005779806524515152,0.0009505174239166081,0.0017106637824326754,0.56520600229232
llava_1_5_7b,REAL,23,11976,0.002876974642276764,0.000611528696026653,0.0011159154819324613,0.0024224298540502787,0.5463984081344986
llava_1_5_7b,REAL,24,11976,0.0017832231242209673,0.00021504727192223072,0.00048001823597587645,0.0013296015094965696,0.6090669054388291
llava_1_5_7b,REAL,25,11976,0.0025818056892603636,0.0004314706311561167,0.0009243534877896309,0.0021973908878862858,0.5097175040263109
llava_1_5_7b,REAL,26,11976,0.004708476364612579,0.0002418611984467134,0.0006451996741816401,0.0035065095871686935,0.5162451492220652
llava_1_5_7b,REAL,27,11976,0.0034289974719285965,0.0004007387615274638,0.0009908253559842706,0.0030948971398174763,0.5391339149956542
llava_1_5_7b,REAL,28,11976,0.0009415430249646306,0.0003683525719679892,0.0006473945104517043,0.0011019252706319094,0.4537128697697469
llava_1_5_7b,REAL,29,11976,0.0026092086918652058,0.0011255035642534494,0.001789699774235487,0.0028705084696412086,0.6119385434668209
