feature_set,dimensions,ensemble_auroc,mean_real_aupr,mean_hall_aupr,mean_hall_precision,mean_hall_recall,mean_hall_f1,mean_seed_auroc,std_seed_auroc,ensemble_real_aupr,ensemble_hall_aupr,seed43_auroc,seed44_auroc,seed45_auroc
AE,32,0.8764845908140427,0.9590757883567461,0.6455998029859046,0.6607915890950304,0.4720263281617301,0.5497562571939035,0.8727851592138823,0.001004767180084124,0.960602638183228,0.6541331441395691,0.8739577262385891,0.8728939660256516,0.8715037853774062
AE+I,64,0.8927494728946604,0.9634564627587014,0.6897784697428886,0.6598277202519597,0.6403385049365303,0.648090817205408,0.8900341255974006,0.0013324303307445942,0.9646014130076566,0.6947566344568271,0.8915184511466097,0.8882866573332029,0.8902972683123891
AE+S,64,0.8989966044172093,0.9667462682088752,0.7036249723101505,0.6639092516356437,0.6652562294311236,0.664488149195846,0.8960087577908281,0.0006584115659336249,0.9679220365123529,0.7091856440322672,0.8954548848181508,0.8956374834836468,0.8969339050706869
AE+I+S,96,0.9003543745257788,0.9674725418208675,0.6990878763318186,0.6535453476870633,0.6633756464503997,0.6579474769951555,0.8968866397003259,0.000851521160220294,0.9687614293282154,0.7068265277334571,0.896521249449455,0.898063065122613,0.8960756045289099
AE+N,64,0.8940820669590173,0.9658358953908817,0.6802602630638889,0.6575643132216217,0.6201222378937471,0.6380348080130575,0.8910757964841896,0.0004903012136706603,0.9668827716985704,0.6853998672725844,0.8904546909336724,0.891119396376849,0.8916533021420472
AE+S+kappa,96,0.9010008490403876,0.9677324372137269,0.7061103407253659,0.6519096614671916,0.6549130230371415,0.6533695044530958,0.897587807000638,0.000467894763580296,0.9690612619396076,0.7143941414840318,0.8979930352065275,0.8969321687917756,0.8978382170036109
AE+S+N,96,0.8972377538801493,0.966721875809197,0.6916728098426496,0.6423780006380383,0.6356370474847203,0.6386071720877836,0.8935007029035793,0.0009614423423352355,0.9684271704030705,0.697984687959728,0.8947571900756612,0.8924224736997152,0.8933224449353612
U,128,0.9054839211891427,0.9692875917149443,0.7153610688216133,0.6496157871072101,0.6854724964739068,0.666304580429088,0.9018167072087793,0.0012458220593051,0.9708316262467358,0.724184862561137,0.9002143146936077,0.9032522240285955,0.9019835829041347
H_OT,224,0.9068185409122294,0.9695004118374954,0.7042112070794025,0.6554232627865534,0.6770098730606487,0.6660246335626984,0.9005629209150037,0.0004950481225971928,0.9717313284986258,0.7227401266395644,0.8998884730179364,0.9007375134055202,0.9010627763215542
H_JS,224,0.9053380737606007,0.968837859053035,0.7056718937391245,0.6540605584709683,0.6911142454160789,0.6719168368733115,0.8996118259114162,0.0018782515104265793,0.9708582485735935,0.7225630014426508,0.9017546834676731,0.8998997588308593,0.8971810354357164
